label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
A,5,0.1412,0.136,0.1459,0.1011,0.0966,0.105,0.2341,0.2264,0.2408,0.2225,0.2014,0.2401,0.9608,0.1706,normal,False,0.0,0
A,10,0.3481,0.3397,0.3567,0.2492,0.2416,0.2569,0.5774,0.5674,0.5875,0.2225,0.2014,0.2401,0.9608,0.1706,normal,False,0.0,0
A,15,0.4587,0.4492,0.4688,0.3284,0.3196,0.3376,0.7606,0.7509,0.77,0.2225,0.2014,0.2401,0.9608,0.1706,normal,False,0.0,0
A,20,0.5032,0.4934,0.5135,0.3603,0.3507,0.3699,0.8345,0.8263,0.8424,0.2225,0.2014,0.2401,0.9608,0.1706,normal,False,0.0,0
A,25,0.5252,0.5156,0.5354,0.376,0.3662,0.3858,0.8709,0.8641,0.8783,0.2225,0.2014,0.2401,0.9608,0.1706,normal,False,0.0,0
A,30,0.5363,0.5263,0.5464,0.384,0.3741,0.3938,0.8894,0.8832,0.8963,0.2225,0.2014,0.2401,0.9608,0.1706,normal,False,0.0,0
A,35,0.5453,0.5352,0.5555,0.3905,0.3804,0.4003,0.9043,0.8985,0.9104,0.2225,0.2014,0.2401,0.9608,0.1706,normal,False,0.0,0
A,40,0.5518,0.5416,0.5619,0.3951,0.3846,0.4051,0.915,0.9099,0.9207,0.2225,0.2014,0.2401,0.9608,0.1706,normal,False,0.0,0
A,45,0.5543,0.5441,0.5642,0.3968,0.3864,0.4067,0.9191,0.9141,0.9245,0.2225,0.2014,0.2401,0.9608,0.1706,normal,False,0.0,0
A,50,0.5572,0.5467,0.5671,0.399,0.3886,0.4089,0.9239,0.9192,0.9291,0.2225,0.2014,0.2401,0.9608,0.1706,normal,False,0.0,0
A,75,0.5632,0.5525,0.5729,0.4032,0.3925,0.413,0.9339,0.9296,0.9387,0.2225,0.2014,0.2401,0.9608,0.1706,normal,False,0.0,0
A,100,0.5666,0.5561,0.5764,0.4056,0.3951,0.4156,0.9395,0.9354,0.9442,0.2225,0.2014,0.2401,0.9608,0.1706,normal,False,0.0,0
A,125,0.5668,0.5564,0.5767,0.4058,0.3951,0.4158,0.9399,0.9358,0.9445,0.2225,0.2014,0.2401,0.9608,0.1706,normal,False,0.0,0
A,150,0.5688,0.5583,0.5786,0.4073,0.3966,0.4172,0.9432,0.9393,0.9477,0.2225,0.2014,0.2401,0.9608,0.1706,normal,False,0.0,0
