label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
D,5,0.1904,0.1844,0.1963,0.1621,0.1565,0.1675,0.2308,0.2236,0.2372,0.3441,0.3253,0.3634,0.9086,0.3749,normal,False,0.0,0
D,10,0.4666,0.458,0.4759,0.3975,0.3884,0.4077,0.5651,0.5548,0.5754,0.3441,0.3253,0.3634,0.9086,0.3749,normal,False,0.0,0
D,15,0.606,0.5972,0.6162,0.5162,0.5059,0.527,0.7339,0.7242,0.7439,0.3441,0.3253,0.3634,0.9086,0.3749,normal,False,0.0,0
D,20,0.6588,0.6502,0.6683,0.5611,0.5504,0.572,0.7978,0.7888,0.8067,0.3441,0.3253,0.3634,0.9086,0.3749,normal,False,0.0,0
D,25,0.6897,0.6814,0.6988,0.5875,0.5769,0.5982,0.8352,0.8265,0.8436,0.3441,0.3253,0.3634,0.9086,0.3749,normal,False,0.0,0
D,30,0.7001,0.692,0.7089,0.5964,0.5855,0.6071,0.8479,0.8397,0.8559,0.3441,0.3253,0.3634,0.9086,0.3749,normal,False,0.0,0
D,35,0.7111,0.7029,0.7198,0.6057,0.595,0.6167,0.8612,0.8535,0.8686,0.3441,0.3253,0.3634,0.9086,0.3749,normal,False,0.0,0
D,40,0.7164,0.7081,0.725,0.6102,0.5993,0.6214,0.8675,0.8603,0.8743,0.3441,0.3253,0.3634,0.9086,0.3749,normal,False,0.0,0
D,45,0.7198,0.7116,0.7282,0.6131,0.6021,0.6242,0.8716,0.8646,0.8784,0.3441,0.3253,0.3634,0.9086,0.3749,normal,False,0.0,0
D,50,0.7222,0.7141,0.7306,0.6151,0.6042,0.6262,0.8746,0.8676,0.8812,0.3441,0.3253,0.3634,0.9086,0.3749,normal,False,0.0,0
D,75,0.7265,0.7182,0.7346,0.6188,0.6079,0.6298,0.8798,0.8732,0.8861,0.3441,0.3253,0.3634,0.9086,0.3749,normal,False,0.0,0
D,100,0.7283,0.72,0.7364,0.6204,0.6093,0.6313,0.882,0.8754,0.8882,0.3441,0.3253,0.3634,0.9086,0.3749,normal,False,0.0,0
D,125,0.7283,0.72,0.7364,0.6204,0.6093,0.6313,0.882,0.8754,0.8882,0.3441,0.3253,0.3634,0.9086,0.3749,normal,False,0.0,0
D,150,0.7299,0.7215,0.7378,0.6217,0.6108,0.6326,0.8839,0.8773,0.8901,0.3441,0.3253,0.3634,0.9086,0.3749,normal,False,0.0,0
