label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
E,5,0.203,0.1659,0.2485,0.2042,0.1663,0.2506,0.2019,0.1633,0.2489,0.4564,0.3543,0.5488,0.8235,0.6221,0.4568,0.8234,0.6229,normal,False,0.0,0,,
E,10,0.4822,0.4313,0.536,0.4851,0.4307,0.5416,0.4794,0.4223,0.5385,0.4564,0.3543,0.5488,0.8235,0.6221,0.4568,0.8234,0.6229,normal,False,0.0,0,,
E,15,0.6394,0.5873,0.6908,0.6433,0.5856,0.6989,0.6356,0.5722,0.6944,0.4564,0.3543,0.5488,0.8235,0.6221,0.4568,0.8234,0.6229,normal,False,0.0,0,,
E,20,0.6943,0.6442,0.7419,0.6985,0.6412,0.7519,0.6902,0.6267,0.7456,0.4564,0.3543,0.5488,0.8235,0.6221,0.4568,0.8234,0.6229,normal,False,0.0,0,,
E,25,0.7148,0.6654,0.7608,0.7192,0.6621,0.7715,0.7106,0.6477,0.7656,0.4564,0.3543,0.5488,0.8235,0.6221,0.4568,0.8234,0.6229,normal,False,0.0,0,,
E,30,0.7223,0.6731,0.7679,0.7267,0.6696,0.7788,0.718,0.6546,0.7729,0.4564,0.3543,0.5488,0.8235,0.6221,0.4568,0.8234,0.6229,normal,False,0.0,0,,
E,35,0.7279,0.679,0.773,0.7323,0.6755,0.7841,0.7236,0.6603,0.7781,0.4564,0.3543,0.5488,0.8235,0.6221,0.4568,0.8234,0.6229,normal,False,0.0,0,,
E,40,0.7316,0.6836,0.7763,0.7361,0.6795,0.7875,0.7273,0.6646,0.7809,0.4564,0.3543,0.5488,0.8235,0.6221,0.4568,0.8234,0.6229,normal,False,0.0,0,,
E,45,0.7338,0.6861,0.7782,0.7383,0.6815,0.7896,0.7295,0.667,0.783,0.4564,0.3543,0.5488,0.8235,0.6221,0.4568,0.8234,0.6229,normal,False,0.0,0,,
E,50,0.7342,0.6865,0.7785,0.7387,0.6821,0.7899,0.7299,0.6675,0.7834,0.4564,0.3543,0.5488,0.8235,0.6221,0.4568,0.8234,0.6229,normal,False,0.0,0,,
E,75,0.7364,0.689,0.7805,0.7409,0.6842,0.792,0.7321,0.6699,0.7851,0.4564,0.3543,0.5488,0.8235,0.6221,0.4568,0.8234,0.6229,normal,False,0.0,0,,
E,100,0.7387,0.6918,0.7825,0.7432,0.6869,0.794,0.7343,0.6725,0.7871,0.4564,0.3543,0.5488,0.8235,0.6221,0.4568,0.8234,0.6229,normal,False,0.0,0,,
E,125,0.7391,0.6921,0.7827,0.7436,0.6873,0.7943,0.7347,0.673,0.7874,0.4564,0.3543,0.5488,0.8235,0.6221,0.4568,0.8234,0.6229,normal,False,0.0,0,,
E,150,0.7391,0.6921,0.7827,0.7436,0.6873,0.7943,0.7347,0.673,0.7874,0.4564,0.3543,0.5488,0.8235,0.6221,0.4568,0.8234,0.6229,normal,False,0.0,0,,
