label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
text-1of5,5,0.1332,0.1109,0.1598,0.0778,0.0637,0.095,0.4617,0.4115,0.515,-0.1088,-0.1763,-0.0434,0.9111,0.0363,-0.1082,0.9113,0.0363,normal,False,0.044573643410852716,1032,zero_fraction_heuristic,
text-1of5,10,0.2342,0.2021,0.2693,0.1368,0.1158,0.1606,0.8121,0.7676,0.8512,-0.1088,-0.1763,-0.0434,0.9111,0.0363,-0.1082,0.9113,0.0363,normal,False,0.04844961240310078,1032,zero_fraction_heuristic,
text-1of5,15,0.2576,0.224,0.2944,0.1505,0.1283,0.1757,0.8933,0.855,0.9237,-0.1088,-0.1763,-0.0434,0.9111,0.0363,-0.1082,0.9113,0.0363,normal,False,0.050387596899224806,1032,zero_fraction_heuristic,
text-1of5,20,0.2636,0.2297,0.301,0.154,0.1317,0.1798,0.9142,0.8766,0.9416,-0.1088,-0.1763,-0.0434,0.9111,0.0363,-0.1082,0.9113,0.0363,normal,False,0.05232558139534884,1032,zero_fraction_heuristic,
text-1of5,25,0.2656,0.2315,0.303,0.1552,0.1328,0.1811,0.9211,0.8844,0.9477,-0.1088,-0.1763,-0.0434,0.9111,0.0363,-0.1082,0.9113,0.0363,normal,False,0.05232558139534884,1032,zero_fraction_heuristic,
text-1of5,30,0.2676,0.2339,0.3052,0.1564,0.134,0.1821,0.9281,0.8918,0.9539,-0.1088,-0.1763,-0.0434,0.9111,0.0363,-0.1082,0.9113,0.0363,normal,False,0.05232558139534884,1032,zero_fraction_heuristic,
text-1of5,35,0.269,0.2349,0.3066,0.1572,0.1347,0.183,0.9327,0.8971,0.9572,-0.1088,-0.1763,-0.0434,0.9111,0.0363,-0.1082,0.9113,0.0363,normal,False,0.05232558139534884,1032,zero_fraction_heuristic,
text-1of5,40,0.269,0.2349,0.3066,0.1572,0.1347,0.183,0.9327,0.8971,0.9572,-0.1088,-0.1763,-0.0434,0.9111,0.0363,-0.1082,0.9113,0.0363,normal,False,0.05232558139534884,1032,zero_fraction_heuristic,
text-1of5,45,0.269,0.2349,0.3066,0.1572,0.1347,0.183,0.9327,0.8971,0.9572,-0.1088,-0.1763,-0.0434,0.9111,0.0363,-0.1082,0.9113,0.0363,normal,False,0.05232558139534884,1032,zero_fraction_heuristic,
text-1of5,50,0.269,0.2349,0.3066,0.1572,0.1347,0.183,0.9327,0.8971,0.9572,-0.1088,-0.1763,-0.0434,0.9111,0.0363,-0.1082,0.9113,0.0363,normal,False,0.05232558139534884,1032,zero_fraction_heuristic,
text-1of5,75,0.269,0.2349,0.3066,0.1572,0.1347,0.183,0.9327,0.8971,0.9572,-0.1088,-0.1763,-0.0434,0.9111,0.0363,-0.1082,0.9113,0.0363,normal,False,0.05232558139534884,1032,zero_fraction_heuristic,
text-1of5,100,0.2703,0.2365,0.3081,0.1579,0.1354,0.1839,0.9374,0.9023,0.9611,-0.1088,-0.1763,-0.0434,0.9111,0.0363,-0.1082,0.9113,0.0363,normal,False,0.05232558139534884,1032,zero_fraction_heuristic,
text-1of5,125,0.2703,0.2365,0.3081,0.1579,0.1354,0.1839,0.9374,0.9023,0.9611,-0.1088,-0.1763,-0.0434,0.9111,0.0363,-0.1082,0.9113,0.0363,normal,False,0.05232558139534884,1032,zero_fraction_heuristic,
text-1of5,150,0.273,0.2387,0.3104,0.1595,0.1367,0.1855,0.9466,0.913,0.9685,-0.1088,-0.1763,-0.0434,0.9111,0.0363,-0.1082,0.9113,0.0363,normal,False,0.05232558139534884,1032,zero_fraction_heuristic,
