label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
text-baseline,5,0.185,0.157,0.2177,0.1143,0.0953,0.1379,0.4849,0.4325,0.5379,0.0883,0.0686,0.1116,1.0,0.0251,0.0877,1.0,0.0251,normal,False,0.01744186046511628,1032,processed_tiles,0
text-baseline,10,0.301,0.2649,0.342,0.186,0.1601,0.2164,0.7889,0.7423,0.8304,0.0883,0.0686,0.1116,1.0,0.0251,0.0877,1.0,0.0251,normal,False,0.01744186046511628,1032,processed_tiles,0
text-baseline,15,0.3347,0.2965,0.3765,0.2068,0.1791,0.2382,0.877,0.837,0.9087,0.0883,0.0686,0.1116,1.0,0.0251,0.0877,1.0,0.0251,normal,False,0.01744186046511628,1032,processed_tiles,0
text-baseline,20,0.3417,0.3033,0.3834,0.2112,0.1831,0.2433,0.8956,0.8575,0.9265,0.0883,0.0686,0.1116,1.0,0.0251,0.0877,1.0,0.0251,normal,False,0.01744186046511628,1032,processed_tiles,0
text-baseline,25,0.3444,0.3059,0.3863,0.2128,0.1849,0.2448,0.9026,0.8644,0.9326,0.0883,0.0686,0.1116,1.0,0.0251,0.0877,1.0,0.0251,normal,False,0.01744186046511628,1032,processed_tiles,0
text-baseline,30,0.3453,0.3066,0.3871,0.2133,0.1853,0.2455,0.9049,0.8668,0.9344,0.0883,0.0686,0.1116,1.0,0.0251,0.0877,1.0,0.0251,normal,False,0.01744186046511628,1032,processed_tiles,0
text-baseline,35,0.3462,0.3075,0.388,0.2139,0.1858,0.2461,0.9072,0.8696,0.9359,0.0883,0.0686,0.1116,1.0,0.0251,0.0877,1.0,0.0251,normal,False,0.01744186046511628,1032,processed_tiles,0
text-baseline,40,0.3462,0.3075,0.388,0.2139,0.1858,0.2461,0.9072,0.8696,0.9359,0.0883,0.0686,0.1116,1.0,0.0251,0.0877,1.0,0.0251,normal,False,0.01744186046511628,1032,processed_tiles,0
text-baseline,45,0.3462,0.3075,0.388,0.2139,0.1858,0.2461,0.9072,0.8696,0.9359,0.0883,0.0686,0.1116,1.0,0.0251,0.0877,1.0,0.0251,normal,False,0.01744186046511628,1032,processed_tiles,0
text-baseline,50,0.3462,0.3075,0.388,0.2139,0.1858,0.2461,0.9072,0.8696,0.9359,0.0883,0.0686,0.1116,1.0,0.0251,0.0877,1.0,0.0251,normal,False,0.01744186046511628,1032,processed_tiles,0
text-baseline,75,0.3462,0.3075,0.388,0.2139,0.1858,0.2461,0.9072,0.8696,0.9359,0.0883,0.0686,0.1116,1.0,0.0251,0.0877,1.0,0.0251,normal,False,0.01744186046511628,1032,processed_tiles,0
text-baseline,100,0.3471,0.3086,0.3891,0.2144,0.1864,0.2469,0.9095,0.8718,0.9378,0.0883,0.0686,0.1116,1.0,0.0251,0.0877,1.0,0.0251,normal,False,0.01744186046511628,1032,processed_tiles,0
text-baseline,125,0.3471,0.3086,0.3891,0.2144,0.1864,0.2469,0.9095,0.8718,0.9378,0.0883,0.0686,0.1116,1.0,0.0251,0.0877,1.0,0.0251,normal,False,0.01744186046511628,1032,processed_tiles,0
text-baseline,150,0.3524,0.3137,0.3937,0.2177,0.1897,0.2497,0.9234,0.8875,0.9499,0.0883,0.0686,0.1116,1.0,0.0251,0.0877,1.0,0.0251,normal,False,0.01744186046511628,1032,processed_tiles,0
