label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
single-pass-run_4-rescore-2026-09-07,5,0.1378,0.1115,0.1677,0.0871,0.0687,0.1087,0.3287,0.283,0.3782,0.256,0.1948,0.308,0.9913,0.1512,0.2554,0.9913,0.1512,normal,False,0.08008213552361396,487,processed_tiles,0
single-pass-run_4-rescore-2026-09-07,10,0.2755,0.2364,0.3171,0.1743,0.145,0.2069,0.6575,0.608,0.7042,0.256,0.1948,0.308,0.9913,0.1512,0.2554,0.9913,0.1512,normal,False,0.08213552361396304,487,processed_tiles,0
single-pass-run_4-rescore-2026-09-07,15,0.3343,0.2875,0.3822,0.2115,0.1762,0.2497,0.7977,0.7521,0.8372,0.256,0.1948,0.308,0.9913,0.1512,0.2554,0.9913,0.1512,normal,False,0.08213552361396304,487,processed_tiles,0
single-pass-run_4-rescore-2026-09-07,20,0.3613,0.3121,0.4119,0.2285,0.1911,0.2691,0.8621,0.8229,0.8963,0.256,0.1948,0.308,0.9913,0.1512,0.2554,0.9913,0.1512,normal,False,0.08213552361396304,487,processed_tiles,0
single-pass-run_4-rescore-2026-09-07,25,0.3738,0.3232,0.4256,0.2364,0.1979,0.2786,0.892,0.8574,0.9205,0.256,0.1948,0.308,0.9913,0.1512,0.2554,0.9913,0.1512,normal,False,0.08213552361396304,487,processed_tiles,0
single-pass-run_4-rescore-2026-09-07,30,0.3815,0.33,0.4338,0.2413,0.202,0.2841,0.9103,0.8778,0.9363,0.256,0.1948,0.308,0.9913,0.1512,0.2554,0.9913,0.1512,normal,False,0.08213552361396304,487,processed_tiles,0
single-pass-run_4-rescore-2026-09-07,35,0.3863,0.3342,0.4386,0.2444,0.2046,0.2874,0.9218,0.8902,0.946,0.256,0.1948,0.308,0.9913,0.1512,0.2554,0.9913,0.1512,normal,False,0.08213552361396304,487,processed_tiles,0
single-pass-run_4-rescore-2026-09-07,40,0.3902,0.3379,0.4432,0.2468,0.2068,0.29,0.931,0.901,0.9532,0.256,0.1948,0.308,0.9913,0.1512,0.2554,0.9913,0.1512,normal,False,0.08213552361396304,487,processed_tiles,0
single-pass-run_4-rescore-2026-09-07,45,0.3921,0.3399,0.4446,0.248,0.208,0.2911,0.9356,0.9069,0.9565,0.256,0.1948,0.308,0.9913,0.1512,0.2554,0.9913,0.1512,normal,False,0.08213552361396304,487,processed_tiles,0
single-pass-run_4-rescore-2026-09-07,50,0.3921,0.3399,0.4446,0.248,0.208,0.2911,0.9356,0.9069,0.9565,0.256,0.1948,0.308,0.9913,0.1512,0.2554,0.9913,0.1512,normal,False,0.08213552361396304,487,processed_tiles,0
single-pass-run_4-rescore-2026-09-07,75,0.395,0.3424,0.4475,0.2498,0.2094,0.2931,0.9425,0.9149,0.9622,0.256,0.1948,0.308,0.9913,0.1512,0.2554,0.9913,0.1512,normal,False,0.08213552361396304,487,processed_tiles,0
single-pass-run_4-rescore-2026-09-07,100,0.3969,0.3444,0.4494,0.2511,0.2107,0.2945,0.9471,0.9215,0.9656,0.256,0.1948,0.308,0.9913,0.1512,0.2554,0.9913,0.1512,normal,False,0.08213552361396304,487,processed_tiles,0
single-pass-run_4-rescore-2026-09-07,125,0.3969,0.3444,0.4494,0.2511,0.2107,0.2945,0.9471,0.9215,0.9656,0.256,0.1948,0.308,0.9913,0.1512,0.2554,0.9913,0.1512,normal,False,0.08213552361396304,487,processed_tiles,0
single-pass-run_4-rescore-2026-09-07,150,0.3969,0.3444,0.4494,0.2511,0.2107,0.2945,0.9471,0.9215,0.9656,0.256,0.1948,0.308,0.9913,0.1512,0.2554,0.9913,0.1512,normal,False,0.08213552361396304,487,processed_tiles,0
