label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
baseline-pro-image-high-t-0-0-rescore-2026-09-07,5,0.0966,0.0732,0.1241,0.0765,0.0576,0.099,0.131,0.0996,0.168,0.6481,0.593,0.6994,0.9884,0.6253,0.6482,0.9885,0.6254,partial_coverage,True,0.0,0,,
baseline-pro-image-high-t-0-0-rescore-2026-09-07,10,0.3079,0.2679,0.3512,0.2439,0.2092,0.2818,0.4176,0.3634,0.4718,0.6481,0.593,0.6994,0.9884,0.6253,0.6482,0.9885,0.6254,partial_coverage,True,0.0,0,,
baseline-pro-image-high-t-0-0-rescore-2026-09-07,15,0.452,0.4112,0.4928,0.3579,0.3194,0.3971,0.613,0.5586,0.6623,0.6481,0.593,0.6994,0.9884,0.6253,0.6482,0.9885,0.6254,partial_coverage,True,0.0,0,,
baseline-pro-image-high-t-0-0-rescore-2026-09-07,20,0.5446,0.5009,0.5876,0.4313,0.3879,0.4749,0.7387,0.6824,0.7864,0.6481,0.593,0.6994,0.9884,0.6253,0.6482,0.9885,0.6254,partial_coverage,True,0.0,0,,
baseline-pro-image-high-t-0-0-rescore-2026-09-07,25,0.5847,0.5408,0.6269,0.4631,0.4181,0.5079,0.7931,0.7379,0.8364,0.6481,0.593,0.6994,0.9884,0.6253,0.6482,0.9885,0.6254,partial_coverage,True,0.0,0,,
baseline-pro-image-high-t-0-0-rescore-2026-09-07,30,0.6209,0.5775,0.6608,0.4918,0.4459,0.5366,0.8422,0.7872,0.8798,0.6481,0.593,0.6994,0.9884,0.6253,0.6482,0.9885,0.6254,partial_coverage,True,0.0,0,,
baseline-pro-image-high-t-0-0-rescore-2026-09-07,35,0.6441,0.6009,0.6841,0.5101,0.4629,0.5558,0.8736,0.8173,0.9085,0.6481,0.593,0.6994,0.9884,0.6253,0.6482,0.9885,0.6254,partial_coverage,True,0.0,0,,
baseline-pro-image-high-t-0-0-rescore-2026-09-07,40,0.6582,0.6155,0.698,0.5213,0.4742,0.5676,0.8928,0.837,0.9245,0.6481,0.593,0.6994,0.9884,0.6253,0.6482,0.9885,0.6254,partial_coverage,True,0.0,0,,
baseline-pro-image-high-t-0-0-rescore-2026-09-07,45,0.6656,0.6237,0.7049,0.5271,0.4804,0.5737,0.9027,0.8481,0.9325,0.6481,0.593,0.6994,0.9884,0.6253,0.6482,0.9885,0.6254,partial_coverage,True,0.0,0,,
baseline-pro-image-high-t-0-0-rescore-2026-09-07,50,0.6656,0.6237,0.7049,0.5271,0.4804,0.5737,0.9027,0.8481,0.9325,0.6481,0.593,0.6994,0.9884,0.6253,0.6482,0.9885,0.6254,partial_coverage,True,0.0,0,,
baseline-pro-image-high-t-0-0-rescore-2026-09-07,75,0.6734,0.6304,0.7125,0.5333,0.4859,0.5801,0.9134,0.8587,0.9423,0.6481,0.593,0.6994,0.9884,0.6253,0.6482,0.9885,0.6254,partial_coverage,True,0.0,0,,
baseline-pro-image-high-t-0-0-rescore-2026-09-07,100,0.6751,0.6319,0.7148,0.5347,0.4868,0.5819,0.9157,0.8608,0.9446,0.6481,0.593,0.6994,0.9884,0.6253,0.6482,0.9885,0.6254,partial_coverage,True,0.0,0,,
baseline-pro-image-high-t-0-0-rescore-2026-09-07,125,0.6785,0.6356,0.7177,0.5374,0.4899,0.5844,0.9203,0.8653,0.9483,0.6481,0.593,0.6994,0.9884,0.6253,0.6482,0.9885,0.6254,partial_coverage,True,0.0,0,,
baseline-pro-image-high-t-0-0-rescore-2026-09-07,150,0.6802,0.6372,0.7193,0.5387,0.491,0.586,0.9226,0.8675,0.9505,0.6481,0.593,0.6994,0.9884,0.6253,0.6482,0.9885,0.6254,partial_coverage,True,0.0,0,,
