label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
baseline-pro-text-high-t-0-0-rescore-2026-09-07,5,0.1713,0.1409,0.2068,0.1199,0.0962,0.1482,0.2996,0.2527,0.3509,0.3992,0.346,0.4515,0.9927,0.3036,0.3992,0.9928,0.304,partial_coverage,True,0.0,0,,
baseline-pro-text-high-t-0-0-rescore-2026-09-07,10,0.381,0.3343,0.4282,0.2667,0.2262,0.3099,0.6667,0.6126,0.7158,0.3992,0.346,0.4515,0.9927,0.3036,0.3992,0.9928,0.304,partial_coverage,True,0.0,0,,
baseline-pro-text-high-t-0-0-rescore-2026-09-07,15,0.4656,0.4125,0.5182,0.326,0.2785,0.3764,0.8146,0.7601,0.8566,0.3992,0.346,0.4515,0.9927,0.3036,0.3992,0.9928,0.304,partial_coverage,True,0.0,0,,
baseline-pro-text-high-t-0-0-rescore-2026-09-07,20,0.4919,0.4378,0.5452,0.3444,0.2953,0.3963,0.8606,0.8075,0.8983,0.3992,0.346,0.4515,0.9927,0.3036,0.3992,0.9928,0.304,partial_coverage,True,0.0,0,,
baseline-pro-text-high-t-0-0-rescore-2026-09-07,25,0.5011,0.446,0.5546,0.3508,0.3008,0.4032,0.8767,0.8229,0.9115,0.3992,0.346,0.4515,0.9927,0.3036,0.3992,0.9928,0.304,partial_coverage,True,0.0,0,,
baseline-pro-text-high-t-0-0-rescore-2026-09-07,30,0.5111,0.4559,0.5645,0.3579,0.3075,0.4107,0.8943,0.841,0.9261,0.3992,0.346,0.4515,0.9927,0.3036,0.3992,0.9928,0.304,partial_coverage,True,0.0,0,,
baseline-pro-text-high-t-0-0-rescore-2026-09-07,35,0.5155,0.4599,0.5691,0.3609,0.3104,0.4146,0.9019,0.8474,0.9325,0.3992,0.346,0.4515,0.9927,0.3036,0.3992,0.9928,0.304,partial_coverage,True,0.0,0,,
baseline-pro-text-high-t-0-0-rescore-2026-09-07,40,0.5195,0.4637,0.573,0.3637,0.3125,0.4175,0.9088,0.8544,0.9383,0.3992,0.346,0.4515,0.9927,0.3036,0.3992,0.9928,0.304,partial_coverage,True,0.0,0,,
baseline-pro-text-high-t-0-0-rescore-2026-09-07,45,0.5199,0.464,0.5735,0.364,0.3127,0.4177,0.9095,0.855,0.939,0.3992,0.346,0.4515,0.9927,0.3036,0.3992,0.9928,0.304,partial_coverage,True,0.0,0,,
baseline-pro-text-high-t-0-0-rescore-2026-09-07,50,0.5208,0.4651,0.5746,0.3646,0.3136,0.4185,0.9111,0.8561,0.9402,0.3992,0.346,0.4515,0.9927,0.3036,0.3992,0.9928,0.304,partial_coverage,True,0.0,0,,
baseline-pro-text-high-t-0-0-rescore-2026-09-07,75,0.5264,0.4703,0.5809,0.3686,0.3172,0.4233,0.921,0.8652,0.9481,0.3992,0.346,0.4515,0.9927,0.3036,0.3992,0.9928,0.304,partial_coverage,True,0.0,0,,
baseline-pro-text-high-t-0-0-rescore-2026-09-07,100,0.5278,0.4718,0.5826,0.3695,0.3179,0.4242,0.9233,0.8677,0.9502,0.3992,0.346,0.4515,0.9927,0.3036,0.3992,0.9928,0.304,partial_coverage,True,0.0,0,,
baseline-pro-text-high-t-0-0-rescore-2026-09-07,125,0.5291,0.4734,0.5839,0.3704,0.3187,0.4252,0.9256,0.8695,0.9524,0.3992,0.346,0.4515,0.9927,0.3036,0.3992,0.9928,0.304,partial_coverage,True,0.0,0,,
baseline-pro-text-high-t-0-0-rescore-2026-09-07,150,0.53,0.4741,0.5845,0.3711,0.3193,0.4257,0.9272,0.8711,0.9534,0.3992,0.346,0.4515,0.9927,0.3036,0.3992,0.9928,0.304,partial_coverage,True,0.0,0,,
