label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pro-image-high-t0-single-pass-run_1-rescore-2026-09-07,5,0.0962,0.0726,0.1237,0.076,0.057,0.0988,0.131,0.0993,0.1682,0.6508,0.5965,0.7019,0.9913,0.624,0.6508,0.9914,0.6241,partial_coverage,True,0.3326488706365503,487,processed_tiles,1
pro-image-high-t0-single-pass-run_1-rescore-2026-09-07,10,0.3038,0.2641,0.3463,0.24,0.2061,0.2772,0.4138,0.3607,0.4681,0.6508,0.5965,0.7019,0.9913,0.624,0.6508,0.9914,0.6241,partial_coverage,True,0.3326488706365503,487,processed_tiles,1
pro-image-high-t0-single-pass-run_1-rescore-2026-09-07,15,0.4473,0.4072,0.4879,0.3533,0.3156,0.3917,0.6092,0.5552,0.658,0.6508,0.5965,0.7019,0.9913,0.624,0.6508,0.9914,0.6241,partial_coverage,True,0.3326488706365503,487,processed_tiles,1
pro-image-high-t0-single-pass-run_1-rescore-2026-09-07,20,0.5401,0.497,0.5827,0.4267,0.3841,0.4699,0.7356,0.6794,0.783,0.6508,0.5965,0.7019,0.9913,0.624,0.6508,0.9914,0.6241,partial_coverage,True,0.3326488706365503,487,processed_tiles,1
pro-image-high-t0-single-pass-run_1-rescore-2026-09-07,25,0.5772,0.5333,0.6192,0.456,0.4113,0.5,0.7862,0.7314,0.8298,0.6508,0.5965,0.7019,0.9913,0.624,0.6508,0.9914,0.6241,partial_coverage,True,0.3326488706365503,487,processed_tiles,1
pro-image-high-t0-single-pass-run_1-rescore-2026-09-07,30,0.616,0.573,0.6556,0.4867,0.4421,0.5305,0.8391,0.7844,0.8772,0.6508,0.5965,0.7019,0.9913,0.624,0.6508,0.9914,0.6241,partial_coverage,True,0.3326488706365503,487,processed_tiles,1
pro-image-high-t0-single-pass-run_1-rescore-2026-09-07,35,0.643,0.6004,0.6826,0.508,0.4612,0.5525,0.8759,0.8209,0.9106,0.6508,0.5965,0.7019,0.9913,0.624,0.6508,0.9914,0.6241,partial_coverage,True,0.3326488706365503,487,processed_tiles,1
pro-image-high-t0-single-pass-run_1-rescore-2026-09-07,40,0.6565,0.6138,0.6958,0.5187,0.4725,0.5642,0.8943,0.8386,0.9256,0.6508,0.5965,0.7019,0.9913,0.624,0.6508,0.9914,0.6241,partial_coverage,True,0.3326488706365503,487,processed_tiles,1
pro-image-high-t0-single-pass-run_1-rescore-2026-09-07,45,0.665,0.6235,0.7041,0.5253,0.479,0.5714,0.9057,0.8513,0.935,0.6508,0.5965,0.7019,0.9913,0.624,0.6508,0.9914,0.6241,partial_coverage,True,0.3326488706365503,487,processed_tiles,1
pro-image-high-t0-single-pass-run_1-rescore-2026-09-07,50,0.665,0.6235,0.7041,0.5253,0.479,0.5714,0.9057,0.8513,0.935,0.6508,0.5965,0.7019,0.9913,0.624,0.6508,0.9914,0.6241,partial_coverage,True,0.3326488706365503,487,processed_tiles,1
pro-image-high-t0-single-pass-run_1-rescore-2026-09-07,75,0.6717,0.6289,0.7105,0.5307,0.4835,0.5766,0.9149,0.8609,0.9432,0.6508,0.5965,0.7019,0.9913,0.624,0.6508,0.9914,0.6241,partial_coverage,True,0.3326488706365503,487,processed_tiles,1
pro-image-high-t0-single-pass-run_1-rescore-2026-09-07,100,0.6734,0.6302,0.713,0.532,0.4843,0.5783,0.9172,0.8626,0.9456,0.6508,0.5965,0.7019,0.9913,0.624,0.6508,0.9914,0.6241,partial_coverage,True,0.3326488706365503,487,processed_tiles,1
pro-image-high-t0-single-pass-run_1-rescore-2026-09-07,125,0.6768,0.6341,0.7157,0.5347,0.4876,0.5809,0.9218,0.8673,0.9494,0.6508,0.5965,0.7019,0.9913,0.624,0.6508,0.9914,0.6241,partial_coverage,True,0.3326488706365503,487,processed_tiles,1
pro-image-high-t0-single-pass-run_1-rescore-2026-09-07,150,0.6785,0.6358,0.7172,0.536,0.4889,0.5826,0.9241,0.8693,0.9515,0.6508,0.5965,0.7019,0.9913,0.624,0.6508,0.9914,0.6241,partial_coverage,True,0.3326488706365503,487,processed_tiles,1
