temperature,pool_size,threshold,f1,precision,recall,f1_ci_lo,f1_ci_hi,p_ci_lo,p_ci_hi,r_ci_lo,r_ci_hi,n_detections
high,5,1,0.2355,0.1359,0.8831,0.196,0.2757,0.1103,0.1629,0.848,0.9139,3503
high,5,2,0.5149,0.3726,0.833,0.4567,0.5667,0.3178,0.4244,0.7892,0.8728,1205
high,5,3,0.6461,0.5429,0.7978,0.5938,0.6932,0.4821,0.6025,0.7476,0.8432,792
high,5,4,0.7129,0.7007,0.7254,0.6614,0.7573,0.6384,0.7542,0.6649,0.78,558
high,5,5,0.7048,0.8672,0.5937,0.6492,0.7506,0.8172,0.905,0.5285,0.6548,369
high,10,1,0.1668,0.0917,0.9184,0.1366,0.1995,0.0737,0.1118,0.8913,0.9441,5398
high,10,2,0.383,0.2448,0.8794,0.3284,0.4328,0.2023,0.287,0.8447,0.91,1936
high,10,3,0.5086,0.3626,0.8516,0.4505,0.5588,0.3082,0.413,0.8117,0.8905,1266
high,10,4,0.583,0.4501,0.8275,0.527,0.6312,0.39,0.5029,0.7772,0.8745,991
high,10,5,0.6397,0.5298,0.8071,0.5822,0.6871,0.4644,0.5887,0.754,0.856,821
high,10,6,0.7117,0.646,0.7922,0.662,0.753,0.5811,0.6982,0.7384,0.843,661
high,10,7,0.7347,0.7153,0.7551,0.686,0.7774,0.6533,0.7648,0.6977,0.8102,569
high,10,8,0.7466,0.7798,0.7161,0.6992,0.792,0.717,0.8253,0.6563,0.7738,495
high,10,9,0.7344,0.8547,0.6438,0.6826,0.7799,0.8051,0.8927,0.5784,0.7063,406
high,10,10,0.6432,0.9298,0.4917,0.5851,0.6954,0.8926,0.9596,0.4303,0.5544,285
high,30,1,0.0863,0.0452,0.9425,0.0692,0.105,0.0359,0.0555,0.9209,0.9616,11232
high,30,2,0.217,0.123,0.9202,0.1807,0.2541,0.1004,0.147,0.8924,0.944,4032
high,30,3,0.306,0.1843,0.9017,0.2596,0.352,0.1517,0.218,0.8677,0.9309,2637
high,30,4,0.3678,0.2318,0.8905,0.3159,0.4172,0.1925,0.2713,0.8531,0.9218,2071
high,30,5,0.4278,0.2826,0.8794,0.3725,0.4778,0.2377,0.3287,0.8393,0.9143,1677
high,30,6,0.4684,0.321,0.8664,0.4128,0.518,0.2718,0.3681,0.8218,0.9053,1455
high,30,7,0.5082,0.3602,0.8627,0.4527,0.5581,0.3085,0.4095,0.8169,0.9037,1291
high,30,8,0.5334,0.3883,0.8516,0.4782,0.5818,0.3341,0.4389,0.8051,0.8931,1182
high,30,9,0.5597,0.4186,0.8442,0.5045,0.6091,0.3622,0.4728,0.7962,0.8887,1087
high,30,10,0.5863,0.4506,0.8386,0.5296,0.6335,0.39,0.5073,0.7913,0.8835,1003
high,30,11,0.6101,0.4812,0.833,0.5522,0.6584,0.4188,0.5373,0.7865,0.877,933
high,30,12,0.6303,0.5097,0.8256,0.5754,0.6777,0.4462,0.5665,0.7739,0.8691,873
high,30,13,0.6562,0.5478,0.8182,0.6031,0.7029,0.486,0.6043,0.7671,0.8631,805
high,30,14,0.6739,0.5775,0.8089,0.6218,0.7208,0.5165,0.6333,0.7561,0.8569,755
high,30,15,0.6928,0.609,0.8033,0.6437,0.7385,0.5462,0.6654,0.75,0.853,711
high,30,16,0.709,0.638,0.7978,0.6595,0.7536,0.5751,0.6946,0.7438,0.8487,674
high,30,17,0.7247,0.6651,0.7959,0.6765,0.7664,0.6027,0.7201,0.7425,0.8464,645
high,30,18,0.7435,0.7018,0.7904,0.6969,0.7853,0.6432,0.7529,0.7338,0.8427,607
high,30,19,0.7577,0.739,0.7774,0.7128,0.7986,0.6836,0.7844,0.7215,0.8299,567
high,30,20,0.7674,0.7667,0.7681,0.7234,0.8073,0.716,0.8118,0.7121,0.8217,540
high,30,21,0.7705,0.7846,0.757,0.7247,0.8108,0.7333,0.8264,0.697,0.8108,520
high,30,22,0.7701,0.8069,0.7365,0.7217,0.8112,0.7552,0.8477,0.6751,0.7928,492
high,30,23,0.7648,0.8182,0.718,0.717,0.8058,0.7661,0.8575,0.6555,0.776,473
high,30,24,0.7622,0.8427,0.6957,0.7142,0.8042,0.7968,0.8791,0.6331,0.7571,445
high,30,25,0.7583,0.8646,0.6753,0.71,0.8008,0.8207,0.8995,0.6127,0.7367,421
