cell,prob_t,min_votes,n_detections,tp,fp,fn,precision,recall,corrected_f1
g384_ov128_55map,0.0,1,38713,4677,34036,483,0.12081213029214992,0.9063953488372093,0.21320630000227928
g384_ov128_55map,0.0,2,25258,4610,20648,550,0.18251643043788107,0.8934108527131783,0.30311000065750543
g384_ov128_55map,0.0,3,21230,4555,16675,605,0.21455487517663682,0.8827519379844961,0.3452065176203107
g384_ov128_55map,0.0,4,18742,4501,14241,659,0.24015579980791804,0.8722868217054264,0.3766212032465902
g384_ov128_55map,0.0,5,16931,4460,12471,700,0.2634221250959778,0.8643410852713178,0.40378434656647505
g384_ov128_55map,0.0,6,15462,4392,11070,768,0.2840512223515716,0.8511627906976744,0.42595286587139947
g384_ov128_55map,0.0,7,14168,4317,9851,843,0.30470073404856013,0.8366279069767442,0.44670943708609273
g384_ov128_55map,0.0,8,12910,4220,8690,940,0.3268783888458559,0.8178294573643411,0.46707249584947425
g384_ov128_55map,0.0,9,11609,4081,7528,1079,0.3515376001378241,0.790891472868217,0.48673146878168044
g384_ov128_55map,0.0,10,9802,3774,6028,1386,0.3850234645990614,0.7313953488372092,0.5044780109611015
g384_ov128_55map,0.05,1,28711,4661,24050,499,0.16234195952770716,0.9032945736434108,0.27522069026600926
g384_ov128_55map,0.05,2,18924,4591,14333,569,0.24260198689494822,0.8897286821705427,0.38124896196645075
g384_ov128_55map,0.05,3,16088,4537,11551,623,0.28201143709597215,0.8792635658914729,0.4270519578313253
g384_ov128_55map,0.05,4,14369,4483,9886,677,0.31199109193402463,0.868798449612403,0.4591120897127349
g384_ov128_55map,0.05,5,13082,4443,8639,717,0.3396269683534628,0.861046511627907,0.4871176406095823
g384_ov128_55map,0.05,6,12052,4375,7677,785,0.3630102887487554,0.8478682170542635,0.5083662561003951
g384_ov128_55map,0.05,7,11117,4299,6818,861,0.3867050463254475,0.833139534883721,0.5282300178165509
g384_ov128_55map,0.05,8,10225,4203,6022,957,0.41105134474327626,0.8145348837209302,0.5463763405914852
g384_ov128_55map,0.05,9,9281,4068,5213,1092,0.4383148367632798,0.7883720930232558,0.5633958867114466
g384_ov128_55map,0.05,10,7994,3763,4231,1397,0.4707280460345259,0.7292635658914729,0.5721453550250875
g384_ov128_55map,0.1,1,13024,4610,8414,550,0.35396191646191644,0.8934108527131783,0.5070391553013639
g384_ov128_55map,0.1,2,9907,4538,5369,622,0.4580599576057333,0.8794573643410852,0.6023760536271321
g384_ov128_55map,0.1,3,8704,4480,4224,680,0.5147058823529411,0.8682170542635659,0.6462781304096941
g384_ov128_55map,0.1,4,7998,4427,3571,733,0.5535133783445861,0.8579457364341085,0.6728986168110654
g384_ov128_55map,0.1,5,7520,4388,3132,772,0.5835106382978723,0.8503875968992248,0.6921135646687697
g384_ov128_55map,0.1,6,7102,4319,2783,841,0.6081385525204168,0.837015503875969,0.7044527809492742
g384_ov128_55map,0.1,7,6702,4247,2455,913,0.6336914353924201,0.8230620155038759,0.7160681166750968
g384_ov128_55map,0.1,8,6331,4154,2177,1006,0.6561364713315432,0.8050387596899224,0.7230006091723957
g384_ov128_55map,0.1,9,5914,4020,1894,1140,0.67974298275279,0.7790697674418605,0.7260249232436338
g384_ov128_55map,0.1,10,5270,3726,1544,1434,0.7070208728652752,0.7220930232558139,0.7144774688398849
g384_ov128_55map,0.15,1,7372,4439,2933,721,0.6021432447097125,0.8602713178294573,0.7084264283434408
g384_ov128_55map,0.15,2,6106,4366,1740,794,0.7150343924009172,0.8461240310077519,0.7750754482513759
g384_ov128_55map,0.15,3,5563,4309,1254,851,0.774582060039547,0.835077519379845,0.8036929963629582
g384_ov128_55map,0.15,4,5251,4260,991,900,0.8112740430394211,0.8255813953488372,0.818365190663721
g384_ov128_55map,0.15,5,5024,4221,803,939,0.8401671974522293,0.8180232558139535,0.8289473684210528
g384_ov128_55map,0.15,6,4821,4160,661,1000,0.8628915162829288,0.8062015503875969,0.8335838092375514
g384_ov128_55map,0.15,7,4639,4097,542,1063,0.8831644751023927,0.7939922480620155,0.8362077763037044
g384_ov128_55map,0.15,8,4475,4011,464,1149,0.8963128491620111,0.7773255813953488,0.8325895173845355
g384_ov128_55map,0.15,9,4282,3885,397,1275,0.9072863148061654,0.752906976744186,0.8229188731201017
g384_ov128_55map,0.15,10,3911,3602,309,1558,0.9209920736384556,0.6980620155038759,0.7941792525631132
g384_ov128_55map,0.2,1,6952,4359,2593,801,0.6270138089758343,0.8447674418604652,0.7197820343461031
g384_ov128_55map,0.2,2,5809,4285,1524,875,0.7376484765019797,0.8304263565891473,0.7812927340687392
g384_ov128_55map,0.2,3,5311,4228,1083,932,0.7960836000753154,0.8193798449612403,0.8075637474930761
g384_ov128_55map,0.2,4,5028,4175,853,985,0.8303500397772474,0.8091085271317829,0.8195916764821358
g384_ov128_55map,0.2,5,4823,4139,684,1021,0.8581795562927639,0.8021317829457364,0.829209656415907
g384_ov128_55map,0.2,6,4641,4081,560,1079,0.8793363499245852,0.790891472868217,0.8327721661054994
g384_ov128_55map,0.2,7,4474,4020,454,1140,0.8985248100134108,0.7790697674418605,0.834544322192236
g384_ov128_55map,0.2,8,4323,3937,386,1223,0.9107101549849641,0.762984496124031,0.8303279552884109
g384_ov128_55map,0.2,9,4144,3818,326,1342,0.9213320463320464,0.7399224806201551,0.8207222699914016
g384_ov128_55map,0.2,10,3800,3544,256,1616,0.9326315789473684,0.6868217054263566,0.7910714285714285
g384_ov128_55map,0.25,1,6136,4119,2017,1041,0.671284224250326,0.7982558139534883,0.7292847025495751
g384_ov128_55map,0.25,2,5194,4033,1161,1127,0.7764728532922603,0.7815891472868217,0.7790225999613676
g384_ov128_55map,0.25,3,4780,3977,803,1183,0.8320083682008368,0.7707364341085271,0.8002012072434608
g384_ov128_55map,0.25,4,4543,3926,617,1234,0.8641866607968303,0.7608527131782946,0.8092342574461507
g384_ov128_55map,0.25,5,4368,3890,478,1270,0.8905677655677655,0.7538759689922481,0.8165407220822838
g384_ov128_55map,0.25,6,4219,3834,385,1326,0.9087461483763926,0.7430232558139535,0.8175711696342894
g384_ov128_55map,0.25,7,4084,3781,303,1379,0.9258080313418218,0.7327519379844961,0.8180441367373431
g384_ov128_55map,0.25,8,3952,3703,249,1457,0.9369939271255061,0.7176356589147287,0.8127743634767339
g384_ov128_55map,0.25,9,3797,3593,204,1567,0.9462733737160917,0.6963178294573643,0.8022775482862565
g384_ov128_55map,0.25,10,3492,3339,153,1821,0.9561855670103093,0.647093023255814,0.7718446601941747
g384_ov128_55map,0.3,1,6135,4119,2016,1041,0.6713936430317848,0.7982558139534883,0.7293492695883134
g384_ov128_55map,0.3,2,5194,4033,1161,1127,0.7764728532922603,0.7815891472868217,0.7790225999613676
g384_ov128_55map,0.3,3,4780,3977,803,1183,0.8320083682008368,0.7707364341085271,0.8002012072434608
g384_ov128_55map,0.3,4,4543,3926,617,1234,0.8641866607968303,0.7608527131782946,0.8092342574461507
g384_ov128_55map,0.3,5,4368,3890,478,1270,0.8905677655677655,0.7538759689922481,0.8165407220822838
g384_ov128_55map,0.3,6,4219,3834,385,1326,0.9087461483763926,0.7430232558139535,0.8175711696342894
g384_ov128_55map,0.3,7,4084,3781,303,1379,0.9258080313418218,0.7327519379844961,0.8180441367373431
g384_ov128_55map,0.3,8,3952,3703,249,1457,0.9369939271255061,0.7176356589147287,0.8127743634767339
g384_ov128_55map,0.3,9,3797,3593,204,1567,0.9462733737160917,0.6963178294573643,0.8022775482862565
g384_ov128_55map,0.3,10,3492,3339,153,1821,0.9561855670103093,0.647093023255814,0.7718446601941747
g384_ov128_55map,0.35,1,6086,4100,1986,1060,0.6736772921459087,0.7945736434108527,0.7291481415614441
g384_ov128_55map,0.35,2,5159,4015,1144,1145,0.7782515991471215,0.7781007751937985,0.7781761798623897
g384_ov128_55map,0.35,3,4753,3959,794,1201,0.8329476120345045,0.7672480620155039,0.79874911732069
g384_ov128_55map,0.35,4,4517,3908,609,1252,0.865176001771087,0.7573643410852713,0.8076883331611036
g384_ov128_55map,0.35,5,4345,3873,472,1287,0.8913693901035673,0.7505813953488372,0.8149395055234088
g384_ov128_55map,0.35,6,4196,3817,379,1343,0.9096758817921831,0.7397286821705427,0.8159469858914066
g384_ov128_55map,0.35,7,4062,3765,297,1395,0.9268833087149188,0.7296511627906976,0.8165256994144436
g384_ov128_55map,0.35,8,3931,3688,243,1472,0.9381836682777919,0.7147286821705426,0.8113518864811352
g384_ov128_55map,0.35,9,3776,3578,198,1582,0.9475635593220338,0.6934108527131783,0.8008057296329454
g384_ov128_55map,0.35,10,3476,3327,149,1833,0.9571346375143843,0.6447674418604651,0.7704955998147291
g384_ov128_55map,0.4,1,6064,4094,1970,1066,0.6751319261213721,0.7934108527131783,0.7295081967213115
g384_ov128_55map,0.4,2,5140,4007,1133,1153,0.7795719844357977,0.7765503875968992,0.7780582524271845
g384_ov128_55map,0.4,3,4741,3952,789,1208,0.8335794136258173,0.765891472868217,0.7983032016967982
g384_ov128_55map,0.4,4,4505,3901,604,1259,0.8659267480577136,0.7560077519379845,0.8072426280393172
g384_ov128_55map,0.4,5,4333,3866,467,1294,0.892222478652204,0.7492248062015504,0.8144948909722954
g384_ov128_55map,0.4,6,4185,3810,375,1350,0.910394265232975,0.7383720930232558,0.8154093097913323
g384_ov128_55map,0.4,7,4051,3758,293,1402,0.9276721797087139,0.7282945736434109,0.8159808924112474
g384_ov128_55map,0.4,8,3921,3681,240,1479,0.9387911247130833,0.7133720930232558,0.8107036669970268
g384_ov128_55map,0.4,9,3766,3571,195,1589,0.9482209240573553,0.6920542635658915,0.800134438718351
g384_ov128_55map,0.4,10,3470,3322,148,1838,0.9573487031700288,0.6437984496124031,0.7698725376593278
g384_ov128_55map,0.5,1,5821,3982,1839,1178,0.6840749012197217,0.7717054263565891,0.725252709225025
g384_ov128_55map,0.5,2,4943,3893,1050,1267,0.7875783936880437,0.7544573643410852,0.7706621795506285
g384_ov128_55map,0.5,3,4562,3837,725,1323,0.8410784743533538,0.7436046511627907,0.7893437564287183
g384_ov128_55map,0.5,4,4343,3789,554,1371,0.8724384066313609,0.7343023255813953,0.7974323897716512
g384_ov128_55map,0.5,5,4182,3755,427,1405,0.897895743663319,0.7277131782945736,0.8038963819310639
g384_ov128_55map,0.5,6,4044,3701,343,1459,0.9151829871414441,0.7172480620155038,0.8042155584528465
g384_ov128_55map,0.5,7,3919,3652,267,1508,0.9318703750956877,0.7077519379844961,0.8044938869919596
g384_ov128_55map,0.5,8,3796,3577,219,1583,0.9423076923076923,0.693217054263566,0.7987941045109423
g384_ov128_55map,0.5,9,3648,3472,176,1688,0.9517543859649122,0.6728682170542636,0.7883742052679381
g384_ov128_55map,0.5,10,3363,3230,133,1930,0.96045197740113,0.625968992248062,0.7579490789628066
g384_ov128_55map,0.6,1,5819,3981,1838,1179,0.6841381680701152,0.7715116279069767,0.7252026596229164
g384_ov128_55map,0.6,2,4942,3892,1050,1268,0.7875354107648725,0.7542635658914729,0.7705404870322708
g384_ov128_55map,0.6,3,4561,3836,725,1324,0.841043630782723,0.7434108527131783,0.7892192161300278
g384_ov128_55map,0.6,4,4342,3788,554,1372,0.8724090280976509,0.734108527131783,0.797305830351505
g384_ov128_55map,0.6,5,4181,3754,427,1406,0.8978713226500837,0.7275193798449613,0.8037683331549084
g384_ov128_55map,0.6,6,4043,3700,343,1460,0.9151620084095968,0.7170542635658915,0.8040856242529609
g384_ov128_55map,0.6,7,3918,3651,267,1509,0.9318529862174579,0.7075581395348837,0.8043621943159287
g384_ov128_55map,0.6,8,3795,3576,219,1584,0.9422924901185771,0.6930232558139535,0.7986599664991624
g384_ov128_55map,0.6,9,3647,3471,176,1689,0.9517411571154374,0.6726744186046512,0.7882366299534462
g384_ov128_55map,0.6,10,3362,3229,133,1931,0.9604402141582391,0.6257751937984496,0.7578033325510444
g384_ov128_55map,0.65,1,5816,3980,1836,1180,0.6843191196698762,0.7713178294573644,0.7252186588921283
g384_ov128_55map,0.65,2,4940,3891,1049,1269,0.7876518218623482,0.7540697674418605,0.7704950495049504
g384_ov128_55map,0.65,3,4559,3835,724,1325,0.8411932441324852,0.7432170542635659,0.7891758411359194
g384_ov128_55map,0.65,4,4340,3787,553,1373,0.8725806451612903,0.7339147286821706,0.7972631578947369
g384_ov128_55map,0.65,5,4179,3753,426,1407,0.8980617372577172,0.7273255813953489,0.8037263090266624
g384_ov128_55map,0.65,6,4041,3699,342,1461,0.9153674832962138,0.7168604651162791,0.8040430388001304
g384_ov128_55map,0.65,7,3916,3650,266,1510,0.932073544433095,0.7073643410852714,0.8043190832966065
g384_ov128_55map,0.65,8,3793,3575,218,1585,0.9425257052465067,0.6928294573643411,0.7986149893890315
g384_ov128_55map,0.65,9,3645,3470,175,1690,0.9519890260631001,0.6724806201550387,0.7881885292447472
g384_ov128_55map,0.65,10,3360,3228,132,1932,0.9607142857142857,0.6255813953488372,0.7577464788732394
g384_ov128_55map,0.7,1,5799,3972,1827,1188,0.6849456802897051,0.7697674418604651,0.7248836572679987
g384_ov128_55map,0.7,2,4925,3883,1042,1277,0.7884263959390863,0.7525193798449612,0.7700545364402577
g384_ov128_55map,0.7,3,4547,3829,718,1331,0.8420936881460304,0.7420542635658914,0.7889152158236324
g384_ov128_55map,0.7,4,4329,3781,548,1379,0.8734118734118734,0.7327519379844961,0.7969227526609758
