unit,student,sheet,basis,radius_m,tp,fp,fn,precision,recall,f1,n_det,n_ref
student:B@K-35-052-4_32635,B,K-35-052-4_32635,as-digitised,20,128,3,8,0.9770992366412213,0.9411764705882353,0.9588014981273407,131,136
student:B@K-35-052-4_32635,B,K-35-052-4_32635,as-digitised,30,131,0,5,1.0,0.9632352941176471,0.9812734082397003,131,136
student:B@K-35-052-4_32635,B,K-35-052-4_32635,as-digitised,50,131,0,5,1.0,0.9632352941176471,0.9812734082397003,131,136
student:C@K-35-062-2_Rakovski,C,K-35-062-2_Rakovski,as-digitised,20,139,39,57,0.7808988764044944,0.7091836734693877,0.7433155080213903,178,196
student:C@K-35-062-2_Rakovski,C,K-35-062-2_Rakovski,as-digitised,30,172,6,24,0.9662921348314607,0.8775510204081632,0.9197860962566844,178,196
student:C@K-35-062-2_Rakovski,C,K-35-062-2_Rakovski,as-digitised,50,178,0,18,1.0,0.9081632653061225,0.9518716577540107,178,196
student:D@K-35-078-1_Lesovo,D,K-35-078-1_Lesovo,as-digitised,20,18,1,2,0.9473684210526315,0.9,0.9230769230769231,19,20
student:D@K-35-078-1_Lesovo,D,K-35-078-1_Lesovo,as-digitised,30,19,0,1,1.0,0.95,0.9743589743589743,19,20
student:D@K-35-078-1_Lesovo,D,K-35-078-1_Lesovo,as-digitised,50,19,0,1,1.0,0.95,0.9743589743589743,19,20
student:C@K-35-053-3_Elenovo,C,K-35-053-3_Elenovo,as-digitised,20,40,3,4,0.9302325581395349,0.9090909090909091,0.9195402298850575,43,44
student:C@K-35-053-3_Elenovo,C,K-35-053-3_Elenovo,as-digitised,30,43,0,1,1.0,0.9772727272727273,0.9885057471264368,43,44
student:C@K-35-053-3_Elenovo,C,K-35-053-3_Elenovo,as-digitised,50,43,0,1,1.0,0.9772727272727273,0.9885057471264368,43,44
student:A@K-35-053-3_Elenovo,A,K-35-053-3_Elenovo,as-digitised,20,150,18,23,0.8928571428571429,0.8670520231213873,0.8797653958944283,168,173
student:A@K-35-053-3_Elenovo,A,K-35-053-3_Elenovo,as-digitised,30,167,1,6,0.9940476190476191,0.9653179190751445,0.9794721407624633,168,173
