sheet_id,radius_m,curator_count,student_count,tp,fn,fp,fn_rate,fp_rate,precision,recall,f1
K-35-052-4_32635,50.000000,136,131,131,5,0,0.036765,0.000000,1.000000,0.963235,0.981273
K-35-053-3_Elenovo,50.000000,217,211,211,6,0,0.027650,0.000000,1.000000,0.972350,0.985981
K-35-062-2_Rakovski,50.000000,196,178,178,18,0,0.091837,0.000000,1.000000,0.908163,0.951872
K-35-078-1_Lesovo,50.000000,20,19,19,1,0,0.050000,0.000000,1.000000,0.950000,0.974359
K-35-052-4_32635,75.000000,136,131,131,5,0,0.036765,0.000000,1.000000,0.963235,0.981273
K-35-053-3_Elenovo,75.000000,217,211,211,6,0,0.027650,0.000000,1.000000,0.972350,0.985981
K-35-062-2_Rakovski,75.000000,196,178,178,18,0,0.091837,0.000000,1.000000,0.908163,0.951872
K-35-078-1_Lesovo,75.000000,20,19,19,1,0,0.050000,0.000000,1.000000,0.950000,0.974359
K-35-052-4_32635,100.000000,136,131,131,5,0,0.036765,0.000000,1.000000,0.963235,0.981273
K-35-053-3_Elenovo,100.000000,217,211,211,6,0,0.027650,0.000000,1.000000,0.972350,0.985981
K-35-062-2_Rakovski,100.000000,196,178,178,18,0,0.091837,0.000000,1.000000,0.908163,0.951872
K-35-078-1_Lesovo,100.000000,20,19,19,1,0,0.050000,0.000000,1.000000,0.950000,0.974359
K-35-052-4_32635,150.000000,136,131,131,5,0,0.036765,0.000000,1.000000,0.963235,0.981273
K-35-053-3_Elenovo,150.000000,217,211,211,6,0,0.027650,0.000000,1.000000,0.972350,0.985981
K-35-062-2_Rakovski,150.000000,196,178,178,18,0,0.091837,0.000000,1.000000,0.908163,0.951872
K-35-078-1_Lesovo,150.000000,20,19,19,1,0,0.050000,0.000000,1.000000,0.950000,0.974359
