fp_index,student_row_id,student_uuid,MapSymbol,FeatureType,source_map,student_x_m,student_y_m,student_lat,student_lon,nearest_curator_fid,nearest_curator_distance_m,nearest_within_200_fid,nearest_within_200_distance_m,second_within_200_fid,second_within_200_distance_m
1,132,1000040000000000000,Hairy brown circle,Mound,K-35-052-4_32635,407196.0656,4705909.2750,42.499984,25.870540,435,355.09,-1,,-1,
2,131,1000040000000000000,Hairy brown circle,Mound,K-35-052-4_32635,406287.8394,4705898.9400,42.499781,25.859490,431,547.72,-1,,-1,
3,134,1000060000000000000,Hairy brown circle,Mound,K-35-052-4_32635,397077.2737,4703680.3010,42.478635,25.747818,439,1462.47,-1,,-1,
4,133,1000060000000000000,Hairy brown circle,Mound,K-35-052-4_32635,396941.1584,4704140.7760,42.482763,25.746079,439,1497.85,-1,,-1,
5,347,1000050000000000000,Hairy brown circle,Mound,K-35-053-3_Elenovo,438151.6142,4690661.5970,42.365769,26.248883,205,572.64,-1,,-1,
6,136,1000030000000000000,Hairy brown circle,Mound,K-35-053-3_Elenovo,428528.4155,4705703.7070,42.500397,26.130155,29,889.43,-1,,-1,
7,533,1000050000000000000,Hairy brown circle,Mound,K-35-062-2_Rakovski,330095.2711,4688931.6280,42.334098,24.937666,253,222.18,-1,,-1,
8,532,1000050000000000000,Hairy brown circle,Mound,K-35-062-2_Rakovski,329678.8810,4688844.1730,42.333220,24.932641,255,357.30,-1,,-1,
9,531,1000050000000000000,Hairy brown circle,Mound,K-35-062-2_Rakovski,329230.2291,4689086.8370,42.335306,24.927127,256,387.69,-1,,-1,
10,530,1000050000000000000,Hairy brown circle,Mound,K-35-062-2_Rakovski,322382.9035,4689161.4030,42.334445,24.844044,264,787.05,-1,,-1,
11,385,1000060000000000000,Hairy brown circle,Mound,K-35-062-2_Rakovski,334818.0201,4675796.6160,42.216890,24.998703,407,1081.01,-1,,-1,
12,383,1000060000000000000,Hairy brown circle,Mound,K-35-062-2_Rakovski,335063.4627,4678367.7750,42.240085,25.000944,375,1165.52,-1,,-1,
13,534,1000050000000000000,Hairy brown circle,Mound,K-35-062-2_Rakovski,334946.6958,4688965.1160,42.335444,24.996509,252,1313.47,-1,,-1,
14,384,1000060000000000000,Hairy brown circle,Mound,K-35-062-2_Rakovski,334989.1265,4677482.1880,42.232098,25.000296,375,1540.46,-1,,-1,
15,352,1000040000000000000,Hairy brown circle,Mound,K-35-062-2_Rakovski,325144.8744,4670287.6590,42.165205,24.883237,423,1763.66,-1,,-1,
16,536,1000050000000000000,Hairy brown circle,Mound,K-35-078-1_Lesovo,476868.9760,4649851.7650,42.000341,26.720698,242,770.25,-1,,-1,
17,535,1000050000000000000,Hairy brown circle,Mound,K-35-078-1_Lesovo,468644.8293,4649840.5900,41.999955,26.621395,241,1435.16,-1,,-1,
