R_m,TP,FP,FN,n_ref_student_only,n_reviewer_promoted_at_R,n_phantom_duplicates_dropped,n_ref_extended,precision,precision_CI_lo,precision_CI_hi,recall,recall_CI_lo,recall_CI_hi,F1,F1_CI_lo,F1_CI_hi,MCC,MCC_CI_lo,MCC_CI_hi,tile_TP,tile_TN,tile_FP,tile_FN,sensitivity,specificity
5,352,19278,4658,4731,279,0,5010,0.01793173713703515,0.015964623931575918,0.020019263964383215,0.07025948103792415,0.06304292230239437,0.0778018852914544,0.02857142857142857,0.025498797931964644,0.03178266877050604,0.36487893024303053,0.34906764667040324,0.37990902813598604,3353,1814,3203,171,0.9514755959137344,0.3615706597568268
10,1115,18515,3895,4731,279,0,5010,0.05680081507896077,0.052964907090708654,0.06088319669611789,0.22255489021956087,0.21034725199062038,0.2348996453022947,0.09050324675324674,0.08481402484908464,0.09646506678396226,0.36487893024303053,0.34906764667040324,0.37990902813598604,3353,1814,3203,171,0.9514755959137344,0.3615706597568268
15,1959,17671,3051,4731,279,0,5010,0.09979623025980641,0.09415285968420854,0.10564213650280356,0.3910179640718563,0.37594840910167204,0.4061652251486103,0.15900974025974024,0.15097873865294822,0.16724797489348445,0.36487893024303053,0.34906764667040324,0.37990902813598604,3353,1814,3203,171,0.9514755959137344,0.3615706597568268
20,2702,16928,2308,4731,279,0,5010,0.13764645950076412,0.13057089312746478,0.14495525436553655,0.5393213572854292,0.5237125751329299,0.5554457636568558,0.2193181818181818,0.2094561185668531,0.2293537934101748,0.36487893024303053,0.34906764667040324,0.37990902813598604,3353,1814,3203,171,0.9514755959137344,0.3615706597568268
25,3284,16346,1726,4731,279,0,5010,0.16729495669893021,0.1592385293098459,0.17548235539223075,0.6554890219560878,0.6406183965059052,0.6701359551396078,0.26655844155844155,0.2556642130908663,0.27747580936120136,0.36487893024303053,0.34906764667040324,0.37990902813598604,3353,1814,3203,171,0.9514755959137344,0.3615706597568268
30,3663,15967,1347,4731,279,0,5010,0.18660213958227204,0.17780957785209167,0.19549035889290753,0.7311377245508982,0.7172947845506058,0.7449233389644806,0.29732142857142857,0.2854888858320081,0.30895035670717574,0.36487893024303053,0.34906764667040324,0.37990902813598604,3353,1814,3203,171,0.9514755959137344,0.3615706597568268
35,3935,15695,1075,4731,279,0,5010,0.20045848191543555,0.19122911100580556,0.2098343454869168,0.7854291417165669,0.7728202516986983,0.7980066941903017,0.31939935064935066,0.30720150798728213,0.33162186996173826,0.36487893024303053,0.34906764667040324,0.37990902813598604,3353,1814,3203,171,0.9514755959137344,0.3615706597568268
40,4116,15514,894,4731,279,0,5010,0.20967906265919511,0.2001643184070175,0.21942535308046568,0.8215568862275449,0.8095052571525138,0.8333020893417932,0.3340909090909091,0.3215479150802014,0.34674020602249406,0.36487893024303053,0.34906764667040324,0.37990902813598604,3353,1814,3203,171,0.9514755959137344,0.3615706597568268
45,4244,15386,766,4731,279,0,5010,0.21619969434538971,0.20659022201610114,0.22608866874166875,0.8471057884231536,0.8359233097880928,0.8580751450516751,0.3444805194805195,0.33174422232098805,0.3572602572553316,0.36487893024303053,0.34906764667040324,0.37990902813598604,3353,1814,3203,171,0.9514755959137344,0.3615706597568268
50,4327,15303,683,4731,279,0,5010,0.22042791645440651,0.21076419775204436,0.2304469276244939,0.8636726546906187,0.8528814935064936,0.8741259784160957,0.3512175324675324,0.3385015849985195,0.36404042999220965,0.36487893024303053,0.34906764667040324,0.37990902813598604,3353,1814,3203,171,0.9514755959137344,0.3615706597568268
75,4515,15115,495,4731,279,0,5010,0.23000509424350485,0.220006379864088,0.24038542099025548,0.9011976047904192,0.8922674021843692,0.9100668623623029,0.36647727272727276,0.35338234113385686,0.37978878220337936,0.36487893024303053,0.34906764667040324,0.37990902813598604,3353,1814,3203,171,0.9514755959137344,0.3615706597568268
100,4571,15059,439,4731,279,0,5010,0.232857870606215,0.2228239202442054,0.24333672731347541,0.912375249500998,0.9037923982256201,0.9209052270753664,0.3710227272727273,0.3578819293953747,0.384407561348078,0.36487893024303053,0.34906764667040324,0.37990902813598604,3353,1814,3203,171,0.9514755959137344,0.3615706597568268
125,4599,15031,411,4731,279,0,5010,0.23428425878757003,0.22416705214495783,0.24473297255701085,0.9179640718562875,0.9098272836867828,0.9260010013681922,0.37329545454545454,0.36010690657881195,0.3867263794547198,0.36487893024303053,0.34906764667040324,0.37990902813598604,3353,1814,3203,171,0.9514755959137344,0.3615706597568268
150,4623,15007,387,4731,279,0,5010,0.23550687722873154,0.22534060798926828,0.24602484015021545,0.922754491017964,0.9148969639603325,0.9304366017609095,0.37524350649350646,0.3620391893613628,0.38862949103481487,0.36487893024303053,0.34906764667040324,0.37990902813598604,3353,1814,3203,171,0.9514755959137344,0.3615706597568268
