R_m,TP,FP,FN,n_ref_student_only,n_reviewer_promoted_at_R,n_phantom_duplicates_dropped,n_ref_extended,precision,precision_CI_lo,precision_CI_hi,recall,recall_CI_lo,recall_CI_hi,F1,F1_CI_lo,F1_CI_hi,MCC,MCC_CI_lo,MCC_CI_hi,tile_TP,tile_TN,tile_FP,tile_FN,sensitivity,specificity
5,437,24999,4309,4746,0,0,4746,0.017180374272684384,0.015364782930378408,0.018999159567820927,0.09207753898019384,0.08333333333333333,0.10072098825710019,0.02895765688158505,0.02599771216076803,0.03194692457620257,0.20778370428428639,0.1919439751253953,0.2227138906600107,3277,849,4311,104,0.9692398698609879,0.16453488372093023
10,1339,24097,3407,4746,0,0,4746,0.05264192483094826,0.04898754751091335,0.05638335962010402,0.2821323219553308,0.26762247477903367,0.2965383327380193,0.08872838115433039,0.08297047660690225,0.09459113667244926,0.20778370428428639,0.1919439751253953,0.2227138906600107,3277,849,4311,104,0.9692398698609879,0.16453488372093023
15,2316,23120,2430,4746,0,0,4746,0.0910520522094669,0.08576864005812423,0.09640463947610035,0.4879898862199747,0.471552470038955,0.5046595382105103,0.15346895500629512,0.14540936672492813,0.16157685175690614,0.20778370428428639,0.1919439751253953,0.2227138906600107,3277,849,4311,104,0.9692398698609879,0.16453488372093023
20,3022,22414,1724,4746,0,0,4746,0.118807988677465,0.11256820876347787,0.12518833544794464,0.6367467340918669,0.6207186253610575,0.6530524615330319,0.20025180571201376,0.1908552336968777,0.2097663894889842,0.20778370428428639,0.1919439751253953,0.2227138906600107,3277,849,4311,104,0.9692398698609879,0.16453488372093023
25,3516,21920,1230,4746,0,0,4746,0.138229281333543,0.1311675610175395,0.14532246956224554,0.7408343868520859,0.7264955885517538,0.7551731892406099,0.23298654827380555,0.2227068156395506,0.24334435196442863,0.20778370428428639,0.1919439751253953,0.2227138906600107,3277,849,4311,104,0.9692398698609879,0.16453488372093023
30,3801,21635,945,4746,0,0,4746,0.14943387325051108,0.14192386069927182,0.15696072018058999,0.8008849557522124,0.787782019592872,0.8136649872414071,0.2518719766748393,0.24087067456997102,0.2627154069154586,0.20778370428428639,0.1919439751253953,0.2227138906600107,3277,849,4311,104,0.9692398698609879,0.16453488372093023
35,3967,21469,779,4746,0,0,4746,0.15596005661267495,0.1482669310519727,0.16370084709931818,0.8358617783396545,0.8240468293313686,0.8477297628122576,0.26287191041017827,0.25162219784801676,0.2740858277835487,0.20778370428428639,0.1919439751253953,0.2227138906600107,3277,849,4311,104,0.9692398698609879,0.16453488372093023
40,4053,21383,693,4746,0,0,4746,0.15934109136656707,0.15155582312231633,0.16710354578613087,0.8539823008849557,0.8427012514146304,0.8652011084409753,0.26857067126101647,0.2571942221170551,0.27972768640506107,0.20778370428428639,0.1919439751253953,0.2227138906600107,3277,849,4311,104,0.9692398698609879,0.16453488372093023
45,4103,21333,643,4746,0,0,4746,0.1613068092467369,0.15348447474588345,0.16917310312287306,0.8645174884112937,0.8534811846111797,0.8752073753706217,0.2718839043138294,0.26057704036626106,0.2832151278735738,0.20778370428428639,0.1919439751253953,0.2227138906600107,3277,849,4311,104,0.9692398698609879,0.16453488372093023
50,4514,20922,646,4746,414,1,5160,0.17746501022173297,0.16913655340477662,0.18579075366610637,0.8748062015503876,0.8647264455135147,0.8847578212780162,0.2950712511439404,0.28332747905126476,0.30670931171978566,0.21619082799823458,0.2006389135369565,0.23154178235631878,3417,846,4171,107,0.9696367763904654,0.1686266693242974
75,4665,20771,674,4746,593,1,5339,0.1834014782198459,0.17486907368217428,0.19197921735189197,0.8737591309233939,0.8639152258784161,0.8834529857462544,0.30316815597075547,0.2912968063979452,0.3149786562477018,0.21595971735151168,0.2002329143756252,0.23130229772297245,3432,844,4156,109,0.9692177351030782,0.1688
100,4740,20696,690,4746,684,1,5430,0.18635005504010063,0.17769568016415435,0.19502713517627548,0.8729281767955801,0.8632637156304265,0.8825032520186658,0.3071340633706991,0.29512879226259714,0.31900787103205075,0.2167132929974,0.20091353339066853,0.23211493445138695,3442,844,4146,109,0.9693044212897776,0.1691382765531062
125,4782,20654,692,4746,728,1,5474,0.18800125805944332,0.17926596002660658,0.19682123121832554,0.8735842162952138,0.8639394267296963,0.8831713372417479,0.30941442898738275,0.2973469730070556,0.32135212139185293,0.21633595129459526,0.20049396343237175,0.23170414065599476,3446,843,4142,110,0.969066366704162,0.1691073219658977
150,4823,20613,685,4746,762,1,5508,0.18961314672118257,0.18085891401310533,0.19846698163593787,0.8756354393609296,0.866014599897833,0.88517013625464,0.31172440537745605,0.2995925628590366,0.32374143423990415,0.21633595129459526,0.20049396343237175,0.23170414065599476,3446,843,4142,110,0.969066366704162,0.1691073219658977
