R_m,TP,FP,FN,n_ref_student_only,n_reviewer_promoted_at_R,n_phantom_duplicates_dropped,n_ref_extended,precision,precision_CI_lo,precision_CI_hi,recall,recall_CI_lo,recall_CI_hi,F1,F1_CI_lo,F1_CI_hi,MCC,MCC_CI_lo,MCC_CI_hi,tile_TP,tile_TN,tile_FP,tile_FN,sensitivity,specificity
5,587,24849,4423,4731,279,0,5010,0.0230775279131939,0.020903909256181984,0.025284379750087203,0.11716566866267465,0.10738774655274988,0.12674393794489372,0.03856007357288314,0.0350427329315285,0.04210253589218627,0.21694619604587362,0.20118267386961305,0.23210416141624404,3418,847,4170,106,0.9699205448354143,0.16882599162846323
10,1641,23795,3369,4731,279,0,5010,0.06451486082717409,0.06033802139725629,0.06873609398526355,0.3275449101796407,0.3128523984903837,0.34197128325668685,0.10779741181107536,0.10136906120706005,0.11423178472839697,0.21694619604587362,0.20118267386961305,0.23210416141624404,3418,847,4170,106,0.9699205448354143,0.16882599162846323
15,2620,22816,2390,4731,279,0,5010,0.10300361692089952,0.09736263228163619,0.10882423996973091,0.5229540918163673,0.5068681365243565,0.5392198465118172,0.17210799448203376,0.16366087600019033,0.18068942253206055,0.21694619604587362,0.20118267386961305,0.23210416141624404,3418,847,4170,106,0.9699205448354143,0.16882599162846323
20,3309,22127,1701,4731,279,0,5010,0.13009120930963988,0.12347779403934482,0.1368183124196569,0.6604790419161677,0.6452073716233047,0.6756550306105749,0.21736845562635485,0.20760513230553557,0.22704598226088804,0.21694619604587362,0.20118267386961305,0.23210416141624404,3418,847,4170,106,0.9699205448354143,0.16882599162846323
25,3782,21654,1228,4731,279,0,5010,0.14868690045604654,0.1413769850071568,0.15614152046216806,0.7548902195608782,0.7413891753637692,0.7684148997332204,0.24843986073704266,0.23781509588294292,0.2590698214118346,0.21694619604587362,0.20118267386961305,0.23210416141624404,3418,847,4170,106,0.9699205448354143,0.16882599162846323
30,4065,21371,945,4731,279,0,5010,0.15981286365780784,0.1520953461211417,0.16760405398158265,0.811377245508982,0.7988796486084525,0.8236334987597952,0.26703015174407146,0.25594988344988345,0.2781511633296814,0.21694619604587362,0.20118267386961305,0.23210416141624404,3418,847,4170,106,0.9699205448354143,0.16882599162846323
35,4232,21204,778,4731,279,0,5010,0.16637836137757508,0.15841887786316838,0.17428420377080572,0.8447105788423154,0.8336047737937256,0.8558902341251052,0.2780003941404454,0.26667082676480197,0.28926814398063133,0.21694619604587362,0.20118267386961305,0.23210416141624404,3418,847,4170,106,0.9699205448354143,0.16882599162846323
40,4318,21118,692,4731,279,0,5010,0.1697593961314672,0.16171819724148714,0.17788877891549523,0.86187624750499,0.8513210992966569,0.8725451884160478,0.2836497405242067,0.2721865723096042,0.2950767614011317,0.21694619604587362,0.20118267386961305,0.23210416141624404,3418,847,4170,106,0.9699205448354143,0.16882599162846323
45,4364,21072,646,4731,279,0,5010,0.17156785658122345,0.1635269083601461,0.1798176056779369,0.871057884231537,0.860683219845163,0.8812692260952122,0.28667148393877684,0.2752326779272875,0.298213257940891,0.21694619604587362,0.20118267386961305,0.23210416141624404,3418,847,4170,106,0.9699205448354143,0.16882599162846323
50,4398,21038,612,4731,279,0,5010,0.17290454473973896,0.1647910934244406,0.18109675594289334,0.8778443113772455,0.8678299237866025,0.8877290654479353,0.2889049464625895,0.2774157337642668,0.3004465328731802,0.21694619604587362,0.20118267386961305,0.23210416141624404,3418,847,4170,106,0.9699205448354143,0.16882599162846323
75,4459,20977,551,4731,279,0,5010,0.17530272055354615,0.1670647862998604,0.18357820837582955,0.8900199600798403,0.8804654744904462,0.8994311831137991,0.2929120409906063,0.2812297093200151,0.30452336833201454,0.21694619604587362,0.20118267386961305,0.23210416141624404,3418,847,4170,106,0.9699205448354143,0.16882599162846323
100,4497,20939,513,4731,279,0,5010,0.17679666614247525,0.16850697912607573,0.18522980827558458,0.8976047904191616,0.8883826312740946,0.9068050654606561,0.2954082638113381,0.2836103365611031,0.3072424648771154,0.21694619604587362,0.20118267386961305,0.23210416141624404,3418,847,4170,106,0.9699205448354143,0.16882599162846323
125,4519,20917,491,4731,279,0,5010,0.17766158200974996,0.16936484159750134,0.1861592334028564,0.9019960079840319,0.8928501073564161,0.9109538114063029,0.29685344544439335,0.2850130948849871,0.3087044417481218,0.21694619604587362,0.20118267386961305,0.23210416141624404,3418,847,4170,106,0.9699205448354143,0.16882599162846323
150,4534,20902,476,4731,279,0,5010,0.1782512973738009,0.1699499561695733,0.18667936244543562,0.9049900199600799,0.8960476255727639,0.9138295094550934,0.29783879655784007,0.28598523136100745,0.30966988556705705,0.21694619604587362,0.20118267386961305,0.23210416141624404,3418,847,4170,106,0.9699205448354143,0.16882599162846323
