R_m,TP,FP,FN,n_ref_student_only,n_reviewer_promoted_at_R,n_phantom_duplicates_dropped,n_ref_extended,precision,precision_CI_lo,precision_CI_hi,recall,recall_CI_lo,recall_CI_hi,F1,F1_CI_lo,F1_CI_hi,MCC,MCC_CI_lo,MCC_CI_hi,tile_TP,tile_TN,tile_FP,tile_FN,sensitivity,specificity
5,451,14163,4295,4746,0,0,4746,0.030860818393321474,0.027775722515074184,0.03403911296826783,0.09502739148756847,0.08634304324410345,0.10377598525977608,0.04659090909090909,0.042090872222993604,0.05121119536406166,0.07038705264957362,0.05213856672204095,0.08615246152856736,3346,166,4994,35,0.989648033126294,0.03217054263565892
10,1407,13207,3339,4746,0,0,4746,0.09627754208293417,0.090123051328925,0.10267200254823758,0.29646017699115046,0.28166037562690316,0.31156411125818023,0.14535123966942148,0.13684482313452104,0.15417846316703632,0.07038705264957362,0.05213856672204095,0.08615246152856736,3346,166,4994,35,0.989648033126294,0.03217054263565892
15,2303,12311,2443,4746,0,0,4746,0.15758861365813603,0.14936550086513428,0.16613560110471748,0.48525073746312686,0.4686298473853711,0.5019812925040461,0.23791322314049587,0.22713785202417555,0.24903110752899438,0.07038705264957362,0.05213856672204095,0.08615246152856736,3346,166,4994,35,0.989648033126294,0.03217054263565892
20,2944,11670,1802,4746,0,0,4746,0.20145066374709183,0.1916924887907647,0.21118391063520156,0.6203118415507796,0.6038711933651469,0.6364766948840835,0.30413223140495865,0.29176684711284523,0.3163499213148389,0.07038705264957362,0.05213856672204095,0.08615246152856736,3346,166,4994,35,0.989648033126294,0.03217054263565892
25,3336,11278,1410,4746,0,0,4746,0.22827425756124264,0.21780806147942275,0.23880497979681015,0.7029077117572693,0.6874596582270569,0.7181604223958623,0.3446280991735537,0.331503644864892,0.35751661246155664,0.07038705264957362,0.05213856672204095,0.08615246152856736,3346,166,4994,35,0.989648033126294,0.03217054263565892
30,3546,11068,1200,4746,0,0,4746,0.24264403996168057,0.23186287568521613,0.2535947250948312,0.7471554993678887,0.732473570580616,0.7615894039735099,0.36632231404958676,0.35322207281294454,0.3794963211136714,0.07038705264957362,0.05213856672204095,0.08615246152856736,3346,166,4994,35,0.989648033126294,0.03217054263565892
35,3660,10954,1086,4746,0,0,4746,0.2504447789790612,0.23948374707394685,0.2615418955788901,0.7711757269279393,0.7569192371826653,0.7851050993574976,0.3780991735537191,0.3647888863004483,0.3914609687959935,0.07038705264957362,0.05213856672204095,0.08615246152856736,3346,166,4994,35,0.989648033126294,0.03217054263565892
40,3707,10907,1039,4746,0,0,4746,0.2536608731353497,0.24274302037985068,0.26474411160336164,0.781078803202697,0.7670283484252683,0.7947012030902153,0.3829545454545455,0.3696880418772129,0.39635567479684136,0.07038705264957362,0.05213856672204095,0.08615246152856736,3346,166,4994,35,0.989648033126294,0.03217054263565892
45,3741,10873,1005,4746,0,0,4746,0.2559874093335158,0.24500505481772733,0.2670897169060673,0.7882427307206068,0.7744280698020856,0.8016973835356422,0.3864669421487603,0.37317046855625063,0.3998787118837618,0.07038705264957362,0.05213856672204095,0.08615246152856736,3346,166,4994,35,0.989648033126294,0.03217054263565892
50,4084,10530,1076,4746,414,1,5160,0.2794580539208978,0.26799971791204713,0.29110731390542877,0.7914728682170543,0.7785536195322026,0.8042813690781216,0.4130676646100941,0.39961497299051296,0.42644232319859054,0.07363065547091222,0.055257832305129755,0.08965541119048018,3488,165,4852,36,0.9897843359818388,0.03288818018736297
75,4151,10463,1188,4746,593,1,5339,0.2840426987819899,0.27238016893930045,0.29592685499874005,0.7774864206780296,0.7644999086030544,0.7903050699505398,0.4160777827895555,0.40260056951805795,0.4292930478587982,0.07420567561486766,0.05578352220667908,0.090189413102905,3505,165,4835,36,0.9898333804010166,0.033
100,4197,10417,1233,4746,684,1,5430,0.28719036540303816,0.2754168471912122,0.2991522550016955,0.7729281767955801,0.7599246114291327,0.7857142857142857,0.41877868688884445,0.4053836578506099,0.43197890392386634,0.07454412751147091,0.05618188123754167,0.0905207356247141,3515,165,4825,36,0.9898620107012109,0.033066132264529056
125,4218,10396,1256,4746,728,1,5474,0.28862734364308196,0.2767501700210698,0.3005903349807798,0.7705516989404457,0.7576156091847819,0.7833615172699919,0.4199522102747909,0.4064894203461517,0.4331571791381871,0.074713412408606,0.05635445044497435,0.09073615913761758,3520,165,4820,36,0.9898762654668166,0.033099297893681046
150,4238,10376,1270,4746,762,1,5508,0.2899958943478856,0.2781550462191934,0.301931317253011,0.7694262890341321,0.756351184374477,0.7823216029443633,0.4212304939866812,0.40779114989893195,0.4345000776193598,0.074713412408606,0.05635445044497435,0.09073615913761758,3520,165,4820,36,0.9898762654668166,0.033099297893681046
