label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
55maps-text-min-n10-uplift__verified-5of10-r2-gt-n1,5,0.0671,0.0617,0.0731,0.0452,0.0414,0.0495,0.1301,0.1202,0.1409,0.0612,0.0428,0.0774,0.9932,0.0223,0.0611,0.9932,0.0223,normal,False,0.01510361784334387,8541,processed_tiles,0
55maps-text-min-n10-uplift__verified-5of10-r2-gt-n1,10,0.1784,0.1691,0.1883,0.1201,0.1131,0.1276,0.3462,0.3312,0.3619,0.0612,0.0428,0.0774,0.9932,0.0223,0.0611,0.9932,0.0223,normal,False,0.01510361784334387,8541,processed_tiles,0
55maps-text-min-n10-uplift__verified-5of10-r2-gt-n1,15,0.2657,0.254,0.2777,0.179,0.1696,0.1883,0.5157,0.4995,0.5329,0.0612,0.0428,0.0774,0.9932,0.0223,0.0611,0.9932,0.0223,normal,False,0.015220700152207,8541,processed_tiles,0
55maps-text-min-n10-uplift__verified-5of10-r2-gt-n1,20,0.3274,0.3145,0.3404,0.2205,0.21,0.231,0.6355,0.619,0.6516,0.0612,0.0428,0.0774,0.9932,0.0223,0.0611,0.9932,0.0223,normal,False,0.015806111696522657,8541,processed_tiles,0
55maps-text-min-n10-uplift__verified-5of10-r2-gt-n1,25,0.3691,0.3556,0.3824,0.2486,0.2373,0.2598,0.7164,0.701,0.7312,0.0612,0.0428,0.0774,0.9932,0.0223,0.0611,0.9932,0.0223,normal,False,0.015923194005385787,8541,processed_tiles,0
55maps-text-min-n10-uplift__verified-5of10-r2-gt-n1,30,0.3911,0.3772,0.4048,0.2634,0.2518,0.275,0.7591,0.7447,0.7729,0.0612,0.0428,0.0774,0.9932,0.0223,0.0611,0.9932,0.0223,normal,False,0.015923194005385787,8541,processed_tiles,0
55maps-text-min-n10-uplift__verified-5of10-r2-gt-n1,35,0.4018,0.3878,0.4155,0.2706,0.2587,0.2823,0.7798,0.7663,0.793,0.0612,0.0428,0.0774,0.9932,0.0223,0.0611,0.9932,0.0223,normal,False,0.015923194005385787,8541,processed_tiles,0
55maps-text-min-n10-uplift__verified-5of10-r2-gt-n1,40,0.4076,0.3935,0.4214,0.2746,0.2626,0.2864,0.7912,0.7777,0.804,0.0612,0.0428,0.0774,0.9932,0.0223,0.0611,0.9932,0.0223,normal,False,0.015923194005385787,8541,processed_tiles,0
55maps-text-min-n10-uplift__verified-5of10-r2-gt-n1,45,0.4107,0.3966,0.4244,0.2766,0.2646,0.2885,0.7971,0.784,0.8098,0.0612,0.0428,0.0774,0.9932,0.0223,0.0611,0.9932,0.0223,normal,False,0.015923194005385787,8541,processed_tiles,0
55maps-text-min-n10-uplift__verified-5of10-r2-gt-n1,50,0.4129,0.3987,0.4265,0.2781,0.266,0.2899,0.8013,0.7883,0.8138,0.0612,0.0428,0.0774,0.9932,0.0223,0.0611,0.9932,0.0223,normal,False,0.015923194005385787,8541,processed_tiles,0
55maps-text-min-n10-uplift__verified-5of10-r2-gt-n1,75,0.4161,0.4017,0.4298,0.2802,0.2682,0.2921,0.8075,0.7945,0.8198,0.0612,0.0428,0.0774,0.9932,0.0223,0.0611,0.9932,0.0223,normal,False,0.015923194005385787,8541,processed_tiles,0
55maps-text-min-n10-uplift__verified-5of10-r2-gt-n1,100,0.4175,0.4032,0.4312,0.2812,0.2691,0.2931,0.8103,0.7973,0.8226,0.0612,0.0428,0.0774,0.9932,0.0223,0.0611,0.9932,0.0223,normal,False,0.015923194005385787,8541,processed_tiles,0
55maps-text-min-n10-uplift__verified-5of10-r2-gt-n1,125,0.4181,0.4038,0.4318,0.2816,0.2695,0.2935,0.8115,0.7984,0.8236,0.0612,0.0428,0.0774,0.9932,0.0223,0.0611,0.9932,0.0223,normal,False,0.015923194005385787,8541,processed_tiles,0
55maps-text-min-n10-uplift__verified-5of10-r2-gt-n1,150,0.4193,0.405,0.433,0.2824,0.2703,0.2944,0.8139,0.801,0.826,0.0612,0.0428,0.0774,0.9932,0.0223,0.0611,0.9932,0.0223,normal,False,0.015923194005385787,8541,processed_tiles,0
