R_m,TP,FP,FN,n_ref_student_only,n_reviewer_promoted_at_R,n_phantom_duplicates_dropped,n_ref_extended,precision,precision_CI_lo,precision_CI_hi,recall,recall_CI_lo,recall_CI_hi,F1,F1_CI_lo,F1_CI_hi,MCC,MCC_CI_lo,MCC_CI_hi,tile_TP,tile_TN,tile_FP,tile_FN,sensitivity,specificity
5,652,13808,4358,4731,279,0,5010,0.04508990318118949,0.04116304284388161,0.049184877347672504,0.13013972055888223,0.1198425642214848,0.14055999738689265,0.06697483307652799,0.061388083044054,0.07272009904466713,0.06101207947935951,0.04274492475925588,0.07718677176374053,3500,112,4905,24,0.9931895573212258,0.02232409806657365
10,1734,12726,3276,4731,279,0,5010,0.11991701244813278,0.11277779138847605,0.12726954025209716,0.3461077844311377,0.3306880391631753,0.3613074947883225,0.1781201848998459,0.16849483277146243,0.18774572884601284,0.06101207947935951,0.04274492475925588,0.07718677176374053,3500,112,4905,24,0.9931895573212258,0.02232409806657365
15,2585,11875,2425,4731,279,0,5010,0.17876901798063624,0.16948053618404446,0.18810666721747657,0.5159680638722555,0.49938480056869433,0.5328367292008911,0.2655367231638418,0.2537211258704768,0.27734884666816473,0.06101207947935951,0.04274492475925588,0.07718677176374053,3500,112,4905,24,0.9931895573212258,0.02232409806657365
20,3186,11274,1824,4731,279,0,5010,0.22033195020746887,0.20986319307449092,0.2308923472769732,0.6359281437125749,0.6197810118635628,0.6522414003737779,0.32727272727272727,0.3143784171847824,0.3402104243025815,0.06101207947935951,0.04274492475925588,0.07718677176374053,3500,112,4905,24,0.9931895573212258,0.02232409806657365
25,3592,10868,1418,4731,279,0,5010,0.2484094052558783,0.23718983056202184,0.25961178184936334,0.7169660678642714,0.7018617714509556,0.7321101849779965,0.3689779147406266,0.3555552663543294,0.3823472613388693,0.06101207947935951,0.04274492475925588,0.07718677176374053,3500,112,4905,24,0.9931895573212258,0.02232409806657365
30,3807,10653,1203,4731,279,0,5010,0.2632780082987552,0.25169694797035763,0.2748377617730277,0.7598802395209581,0.7459234716151106,0.7740785918282155,0.3910631741140216,0.37724784679955403,0.4047611360107123,0.06101207947935951,0.04274492475925588,0.07718677176374053,3500,112,4905,24,0.9931895573212258,0.02232409806657365
35,3910,10550,1100,4731,279,0,5010,0.27040110650069155,0.25859711912248856,0.2822313352514717,0.780439121756487,0.7670464483687064,0.793852510823753,0.40164355418592707,0.3878463656850709,0.4154456089306509,0.06101207947935951,0.04274492475925588,0.07718677176374053,3500,112,4905,24,0.9931895573212258,0.02232409806657365
40,3967,10493,1043,4731,279,0,5010,0.27434301521438453,0.26241849917241306,0.2862298816127813,0.7918163672654691,0.778713729173609,0.8049221021203311,0.4074987159732923,0.3935861823573653,0.4213097012401023,0.06101207947935951,0.04274492475925588,0.07718677176374053,3500,112,4905,24,0.9931895573212258,0.02232409806657365
45,3997,10463,1013,4731,279,0,5010,0.276417704011065,0.26447820765481317,0.28840402335406323,0.7978043912175649,0.7849414179651574,0.8107469553237717,0.4105803800719055,0.3966073664824752,0.4243474229467789,0.06101207947935951,0.04274492475925588,0.07718677176374053,3500,112,4905,24,0.9931895573212258,0.02232409806657365
50,4018,10442,992,4731,279,0,5010,0.27786998616874137,0.26584642083877064,0.28979829537469576,0.8019960079840319,0.7893167302389666,0.814637278493958,0.4127375449409348,0.39871472698205984,0.4265371295745099,0.06101207947935951,0.04274492475925588,0.07718677176374053,3500,112,4905,24,0.9931895573212258,0.02232409806657365
75,4049,10411,961,4731,279,0,5010,0.28001383125864454,0.2679777369759988,0.2919229285552934,0.808183632734531,0.795562275039047,0.8207715330627081,0.4159219311761685,0.4018384323797701,0.4298101960082842,0.06101207947935951,0.04274492475925588,0.07718677176374053,3500,112,4905,24,0.9931895573212258,0.02232409806657365
100,4064,10396,946,4731,279,0,5010,0.2810511756569848,0.26893202426843843,0.29304799781796265,0.8111776447105788,0.7985524153296493,0.8237809487591863,0.4174627632254751,0.40332256987104814,0.43140850683675924,0.06101207947935951,0.04274492475925588,0.07718677176374053,3500,112,4905,24,0.9931895573212258,0.02232409806657365
125,4070,10390,940,4731,279,0,5010,0.2814661134163209,0.2693695464968159,0.29352079953238724,0.812375249500998,0.7997640730944249,0.8249212526561139,0.4180790960451977,0.4039126697169041,0.4319813388153563,0.06101207947935951,0.04274492475925588,0.07718677176374053,3500,112,4905,24,0.9931895573212258,0.02232409806657365
150,4082,10378,928,4731,279,0,5010,0.2822959889349931,0.2701926894500187,0.2943706027580331,0.8147704590818363,0.8022469327142966,0.8271855977274015,0.41931176168464307,0.40513517029500207,0.4331303943150748,0.06101207947935951,0.04274492475925588,0.07718677176374053,3500,112,4905,24,0.9931895573212258,0.02232409806657365
