label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
retest-phase3a-high__text-high-t1_0-n30-23of30-n1,5,0.1318,0.1044,0.169,0.0897,0.069,0.1179,0.2486,0.2048,0.3067,0.3375,0.2725,0.4064,1.0,0.1765,0.3361,1.0,0.1763,normal,False,0.07058823529411765,340,processed_tiles,0
retest-phase3a-high__text-high-t1_0-n30-23of30-n1,10,0.2774,0.2308,0.3326,0.1888,0.1512,0.2342,0.5232,0.4584,0.5877,0.3375,0.2725,0.4064,1.0,0.1765,0.3361,1.0,0.1763,normal,False,0.07058823529411765,340,processed_tiles,0
retest-phase3a-high__text-high-t1_0-n30-23of30-n1,15,0.361,0.3056,0.4209,0.2456,0.1999,0.2979,0.6809,0.616,0.7382,0.3375,0.2725,0.4064,1.0,0.1765,0.3361,1.0,0.1763,normal,False,0.07058823529411765,340,processed_tiles,0
retest-phase3a-high__text-high-t1_0-n30-23of30-n1,20,0.4063,0.3474,0.4674,0.2764,0.2266,0.3314,0.7662,0.7091,0.8159,0.3375,0.2725,0.4064,1.0,0.1765,0.3361,1.0,0.1763,normal,False,0.07058823529411765,340,processed_tiles,0
retest-phase3a-high__text-high-t1_0-n30-23of30-n1,25,0.4329,0.3712,0.4945,0.2945,0.2424,0.3513,0.8163,0.7653,0.8583,0.3375,0.2725,0.4064,1.0,0.1765,0.3361,1.0,0.1763,normal,False,0.07058823529411765,340,processed_tiles,0
retest-phase3a-high__text-high-t1_0-n30-23of30-n1,30,0.4496,0.3872,0.5121,0.3059,0.2524,0.3638,0.8479,0.7989,0.8853,0.3375,0.2725,0.4064,1.0,0.1765,0.3361,1.0,0.1763,normal,False,0.07058823529411765,340,processed_tiles,0
retest-phase3a-high__text-high-t1_0-n30-23of30-n1,35,0.4634,0.3998,0.5272,0.3153,0.2606,0.3751,0.8738,0.8337,0.9064,0.3375,0.2725,0.4064,1.0,0.1765,0.3361,1.0,0.1763,normal,False,0.07058823529411765,340,processed_tiles,0
retest-phase3a-high__text-high-t1_0-n30-23of30-n1,40,0.4722,0.4084,0.5366,0.3213,0.2658,0.3816,0.8905,0.854,0.9196,0.3375,0.2725,0.4064,1.0,0.1765,0.3361,1.0,0.1763,normal,False,0.07058823529411765,340,processed_tiles,0
retest-phase3a-high__text-high-t1_0-n30-23of30-n1,45,0.4771,0.4136,0.5413,0.3246,0.2693,0.385,0.8998,0.8669,0.9272,0.3375,0.2725,0.4064,1.0,0.1765,0.3361,1.0,0.1763,normal,False,0.07058823529411765,340,processed_tiles,0
retest-phase3a-high__text-high-t1_0-n30-23of30-n1,50,0.4801,0.4161,0.544,0.3266,0.2707,0.3874,0.9054,0.8741,0.9312,0.3375,0.2725,0.4064,1.0,0.1765,0.3361,1.0,0.1763,normal,False,0.07058823529411765,340,processed_tiles,0
retest-phase3a-high__text-high-t1_0-n30-23of30-n1,75,0.4919,0.4256,0.5563,0.3347,0.2771,0.3965,0.9276,0.9003,0.9489,0.3375,0.2725,0.4064,1.0,0.1765,0.3361,1.0,0.1763,normal,False,0.07058823529411765,340,processed_tiles,0
retest-phase3a-high__text-high-t1_0-n30-23of30-n1,100,0.4948,0.429,0.5595,0.3367,0.2793,0.3987,0.9332,0.907,0.9532,0.3375,0.2725,0.4064,1.0,0.1765,0.3361,1.0,0.1763,normal,False,0.07058823529411765,340,processed_tiles,0
retest-phase3a-high__text-high-t1_0-n30-23of30-n1,125,0.4968,0.431,0.5616,0.338,0.2805,0.4001,0.9369,0.9123,0.9564,0.3375,0.2725,0.4064,1.0,0.1765,0.3361,1.0,0.1763,normal,False,0.07058823529411765,340,processed_tiles,0
retest-phase3a-high__text-high-t1_0-n30-23of30-n1,150,0.4988,0.4324,0.5634,0.3394,0.2814,0.4013,0.9406,0.9161,0.9594,0.3375,0.2725,0.4064,1.0,0.1765,0.3361,1.0,0.1763,normal,False,0.07058823529411765,340,processed_tiles,0
