label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
retest-phase3a__image-t1_0-n30-19of30-n1,5,0.0927,0.0684,0.1251,0.0777,0.0571,0.1057,0.115,0.0848,0.1533,0.281,0.2159,0.3532,1.0,0.125,0.2801,1.0,0.1257,partial_coverage,True,0.05,340,processed_tiles,1
retest-phase3a__image-t1_0-n30-19of30-n1,10,0.2708,0.229,0.3167,0.2268,0.1896,0.2694,0.3358,0.2842,0.3894,0.281,0.2159,0.3532,1.0,0.125,0.2801,1.0,0.1257,partial_coverage,True,0.05,340,processed_tiles,1
retest-phase3a__image-t1_0-n30-19of30-n1,15,0.4144,0.3664,0.4639,0.3471,0.3026,0.3945,0.5139,0.4539,0.572,0.281,0.2159,0.3532,1.0,0.125,0.2801,1.0,0.1257,partial_coverage,True,0.05,340,processed_tiles,1
retest-phase3a__image-t1_0-n30-19of30-n1,20,0.5056,0.4566,0.5559,0.4236,0.3755,0.4738,0.6271,0.5665,0.6836,0.281,0.2159,0.3532,1.0,0.125,0.2801,1.0,0.1257,partial_coverage,True,0.05,340,processed_tiles,1
retest-phase3a__image-t1_0-n30-19of30-n1,25,0.5684,0.5199,0.6169,0.4762,0.4271,0.5267,0.705,0.646,0.7583,0.281,0.2159,0.3532,1.0,0.125,0.2801,1.0,0.1257,partial_coverage,True,0.05,340,processed_tiles,1
retest-phase3a__image-t1_0-n30-19of30-n1,30,0.6073,0.5607,0.6529,0.5088,0.4597,0.5583,0.7532,0.698,0.8015,0.281,0.2159,0.3532,1.0,0.125,0.2801,1.0,0.1257,partial_coverage,True,0.05,340,processed_tiles,1
retest-phase3a__image-t1_0-n30-19of30-n1,35,0.6417,0.5961,0.6858,0.5376,0.487,0.5875,0.7959,0.7463,0.8384,0.281,0.2159,0.3532,1.0,0.125,0.2801,1.0,0.1257,partial_coverage,True,0.05,340,processed_tiles,1
retest-phase3a__image-t1_0-n30-19of30-n1,40,0.6612,0.6162,0.7071,0.5539,0.5019,0.6054,0.82,0.7702,0.8623,0.281,0.2159,0.3532,1.0,0.125,0.2801,1.0,0.1257,partial_coverage,True,0.05,340,processed_tiles,1
retest-phase3a__image-t1_0-n30-19of30-n1,45,0.6791,0.6364,0.7218,0.5689,0.5185,0.6189,0.8423,0.7948,0.881,0.281,0.2159,0.3532,1.0,0.125,0.2801,1.0,0.1257,partial_coverage,True,0.05,340,processed_tiles,1
retest-phase3a__image-t1_0-n30-19of30-n1,50,0.6926,0.6501,0.7339,0.5802,0.529,0.6291,0.859,0.8149,0.8957,0.281,0.2159,0.3532,1.0,0.125,0.2801,1.0,0.1257,partial_coverage,True,0.05,340,processed_tiles,1
retest-phase3a__image-t1_0-n30-19of30-n1,75,0.712,0.6697,0.7515,0.5965,0.5449,0.6449,0.8831,0.8413,0.9163,0.281,0.2159,0.3532,1.0,0.125,0.2801,1.0,0.1257,partial_coverage,True,0.05,340,processed_tiles,1
retest-phase3a__image-t1_0-n30-19of30-n1,100,0.7195,0.6771,0.7579,0.6028,0.5508,0.6512,0.8924,0.8518,0.9232,0.281,0.2159,0.3532,1.0,0.125,0.2801,1.0,0.1257,partial_coverage,True,0.05,340,processed_tiles,1
retest-phase3a__image-t1_0-n30-19of30-n1,125,0.7255,0.683,0.7632,0.6078,0.5556,0.6561,0.8998,0.8605,0.9287,0.281,0.2159,0.3532,1.0,0.125,0.2801,1.0,0.1257,partial_coverage,True,0.05,340,processed_tiles,1
retest-phase3a__image-t1_0-n30-19of30-n1,150,0.73,0.6888,0.7678,0.6115,0.5594,0.6598,0.9054,0.871,0.9325,0.281,0.2159,0.3532,1.0,0.125,0.2801,1.0,0.1257,partial_coverage,True,0.05,340,processed_tiles,1
