label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
retest-phase3a__text-t0_3-n10-8of10-n1,5,0.2652,0.2201,0.3157,0.2147,0.1743,0.2603,0.3469,0.2879,0.4061,,,,1.0,0.0,,1.0,0.0,normal,False,0.0,340,processed_tiles,0
retest-phase3a__text-t0_3-n10-8of10-n1,10,0.4809,0.425,0.5395,0.3892,0.3326,0.449,0.6289,0.5639,0.6893,,,,1.0,0.0,,1.0,0.0,normal,False,0.0,340,processed_tiles,0
retest-phase3a__text-t0_3-n10-8of10-n1,15,0.5816,0.5255,0.6347,0.4707,0.4093,0.5311,0.7607,0.7036,0.8069,,,,1.0,0.0,,1.0,0.0,normal,False,0.0,340,processed_tiles,0
retest-phase3a__text-t0_3-n10-8of10-n1,20,0.6057,0.5496,0.6589,0.4902,0.427,0.5506,0.7922,0.7346,0.8365,,,,1.0,0.0,,1.0,0.0,normal,False,0.0,340,processed_tiles,0
retest-phase3a__text-t0_3-n10-8of10-n1,25,0.627,0.5712,0.6767,0.5075,0.4429,0.5674,0.82,0.7712,0.8591,,,,1.0,0.0,,1.0,0.0,normal,False,0.0,340,processed_tiles,0
retest-phase3a__text-t0_3-n10-8of10-n1,30,0.6383,0.5818,0.6878,0.5166,0.4503,0.5767,0.8349,0.7871,0.871,,,,1.0,0.0,,1.0,0.0,normal,False,0.0,340,processed_tiles,0
retest-phase3a__text-t0_3-n10-8of10-n1,35,0.6468,0.5907,0.6963,0.5235,0.4577,0.5832,0.846,0.8016,0.8813,,,,1.0,0.0,,1.0,0.0,normal,False,0.0,340,processed_tiles,0
retest-phase3a__text-t0_3-n10-8of10-n1,40,0.6511,0.5947,0.6998,0.527,0.4611,0.5869,0.8516,0.8091,0.8856,,,,1.0,0.0,,1.0,0.0,normal,False,0.0,340,processed_tiles,0
retest-phase3a__text-t0_3-n10-8of10-n1,45,0.6553,0.5994,0.7043,0.5304,0.4654,0.5909,0.8571,0.8167,0.8904,,,,1.0,0.0,,1.0,0.0,normal,False,0.0,340,processed_tiles,0
retest-phase3a__text-t0_3-n10-8of10-n1,50,0.6582,0.6019,0.7061,0.5327,0.4676,0.5929,0.8609,0.8214,0.8936,,,,1.0,0.0,,1.0,0.0,normal,False,0.0,340,processed_tiles,0
retest-phase3a__text-t0_3-n10-8of10-n1,75,0.6638,0.6078,0.712,0.5373,0.4715,0.5985,0.8683,0.8298,0.8998,,,,1.0,0.0,,1.0,0.0,normal,False,0.0,340,processed_tiles,0
retest-phase3a__text-t0_3-n10-8of10-n1,100,0.6638,0.6078,0.712,0.5373,0.4715,0.5985,0.8683,0.8298,0.8998,,,,1.0,0.0,,1.0,0.0,normal,False,0.0,340,processed_tiles,0
retest-phase3a__text-t0_3-n10-8of10-n1,125,0.6652,0.6092,0.7136,0.5385,0.4726,0.5993,0.8701,0.8316,0.9015,,,,1.0,0.0,,1.0,0.0,normal,False,0.0,340,processed_tiles,0
retest-phase3a__text-t0_3-n10-8of10-n1,150,0.6652,0.6092,0.7136,0.5385,0.4726,0.5993,0.8701,0.8316,0.9015,,,,1.0,0.0,,1.0,0.0,normal,False,0.0,340,processed_tiles,0
