label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
stride-55map-2026-08-25__g384-ov128-55map-n5-carried-p0_15-k4-r2-gt-n1,5,0.0616,0.0,0.0024,0.0373,0.0,0.0594,0.1766,0.0,0.0012,0.0068,-0.0146,0.0284,0.0071,0.994,0.0068,0.0071,0.994,partial_coverage,True,0.7040159231940054,8541,processed_tiles,8486
stride-55map-2026-08-25__g384-ov128-55map-n5-carried-p0_15-k4-r2-gt-n1,10,0.1475,0.0007,0.0088,0.0893,0.0156,0.1579,0.4227,0.0004,0.0045,0.0068,-0.0146,0.0284,0.0071,0.994,0.0068,0.0071,0.994,partial_coverage,True,0.7634937360964759,8541,processed_tiles,8486
stride-55map-2026-08-25__g384-ov128-55map-n5-carried-p0_15-k4-r2-gt-n1,15,0.2167,0.0039,0.0186,0.1312,0.0511,0.2151,0.621,0.002,0.0098,0.0068,-0.0146,0.0284,0.0071,0.994,0.0068,0.0071,0.994,partial_coverage,True,0.8255473597939351,8541,processed_tiles,8486
stride-55map-2026-08-25__g384-ov128-55map-n5-carried-p0_15-k4-r2-gt-n1,20,0.2581,0.0076,0.0345,0.1563,0.0759,0.2748,0.7397,0.004,0.0185,0.0068,-0.0146,0.0284,0.0071,0.994,0.0068,0.0071,0.994,partial_coverage,True,0.8693361433087461,8541,processed_tiles,8486
stride-55map-2026-08-25__g384-ov128-55map-n5-carried-p0_15-k4-r2-gt-n1,25,0.2836,0.0133,0.0567,0.1718,0.092,0.3294,0.8129,0.0072,0.0312,0.0068,-0.0146,0.0284,0.0071,0.994,0.0068,0.0071,0.994,partial_coverage,True,0.9021191897904227,8541,processed_tiles,8486
stride-55map-2026-08-25__g384-ov128-55map-n5-carried-p0_15-k4-r2-gt-n1,30,0.296,0.0178,0.0698,0.1793,0.1029,0.3415,0.8483,0.0097,0.0392,0.0068,-0.0146,0.0284,0.0071,0.994,0.0068,0.0071,0.994,partial_coverage,True,0.9173398899426297,8541,processed_tiles,8486
stride-55map-2026-08-25__g384-ov128-55map-n5-carried-p0_15-k4-r2-gt-n1,35,0.3024,0.0199,0.0781,0.1832,0.1029,0.3415,0.8667,0.011,0.0444,0.0068,-0.0146,0.0284,0.0071,0.994,0.0068,0.0071,0.994,partial_coverage,True,0.9257698161807751,8541,processed_tiles,8486
stride-55map-2026-08-25__g384-ov128-55map-n5-carried-p0_15-k4-r2-gt-n1,40,0.3053,0.0211,0.0824,0.1849,0.1029,0.3415,0.8749,0.0116,0.0474,0.0068,-0.0146,0.0284,0.0071,0.994,0.0068,0.0071,0.994,partial_coverage,True,0.9299847792998478,8541,processed_tiles,8486
stride-55map-2026-08-25__g384-ov128-55map-n5-carried-p0_15-k4-r2-gt-n1,45,0.3069,0.0217,0.0848,0.1859,0.1029,0.3415,0.8794,0.012,0.0488,0.0068,-0.0146,0.0284,0.0071,0.994,0.0068,0.0071,0.994,partial_coverage,True,0.9317410139327947,8541,processed_tiles,8486
stride-55map-2026-08-25__g384-ov128-55map-n5-carried-p0_15-k4-r2-gt-n1,50,0.3077,0.0221,0.0864,0.1864,0.1029,0.3415,0.8818,0.0123,0.05,0.0068,-0.0146,0.0284,0.0071,0.994,0.0068,0.0071,0.994,partial_coverage,True,0.9329118370214261,8541,processed_tiles,8486
stride-55map-2026-08-25__g384-ov128-55map-n5-carried-p0_15-k4-r2-gt-n1,75,0.3101,0.0233,0.0908,0.1878,0.1029,0.3415,0.8886,0.0131,0.0529,0.0068,-0.0146,0.0284,0.0071,0.994,0.0068,0.0071,0.994,partial_coverage,True,0.9361901416695937,8541,processed_tiles,8486
stride-55map-2026-08-25__g384-ov128-55map-n5-carried-p0_15-k4-r2-gt-n1,100,0.3108,0.0237,0.0919,0.1883,0.1029,0.3415,0.8908,0.0134,0.0538,0.0068,-0.0146,0.0284,0.0071,0.994,0.0068,0.0071,0.994,partial_coverage,True,0.9371268001404988,8541,processed_tiles,8486
stride-55map-2026-08-25__g384-ov128-55map-n5-carried-p0_15-k4-r2-gt-n1,125,0.312,0.0244,0.0946,0.189,0.1029,0.3415,0.8942,0.0138,0.0552,0.0068,-0.0146,0.0284,0.0071,0.994,0.0068,0.0071,0.994,partial_coverage,True,0.9387659524645826,8541,processed_tiles,8486
stride-55map-2026-08-25__g384-ov128-55map-n5-carried-p0_15-k4-r2-gt-n1,150,0.3129,0.0248,0.096,0.1895,0.1029,0.3415,0.8966,0.0142,0.0563,0.0068,-0.0146,0.0284,0.0071,0.994,0.0068,0.0071,0.994,partial_coverage,True,0.9399367755532139,8541,processed_tiles,8486
