R_m,TP,FP,FN,n_ref_student_only,n_reviewer_promoted_at_R,n_phantom_duplicates_dropped,n_ref_extended,precision,precision_CI_lo,precision_CI_hi,recall,recall_CI_lo,recall_CI_hi,F1,F1_CI_lo,F1_CI_hi,MCC,MCC_CI_lo,MCC_CI_hi,tile_TP,tile_TN,tile_FP,tile_FN,sensitivity,specificity
5,272,7606,4474,4746,0,0,4746,0.034526529576034526,0.030337559386298285,0.03884877639001178,0.05731142014327855,0.05058288658441785,0.06427847460597275,0.04309252217997465,0.037967484513199784,0.04837324240755179,0.4248065763429628,0.4056195854998007,0.4425839957750116,2699,3276,1884,682,0.7982845312037858,0.6348837209302326
10,973,6905,3773,4746,0,0,4746,0.12350850469662351,0.11555653283459807,0.13143464845695327,0.20501474926253688,0.192672685241405,0.21735573343830344,0.15415082382762993,0.14472811804316119,0.16339659180573518,0.4248065763429628,0.4056195854998007,0.4425839957750116,2699,3276,1884,682,0.7982845312037858,0.6348837209302326
15,1792,6086,2954,4746,0,0,4746,0.22746890073622747,0.21671746060084474,0.2379861654321142,0.3775811209439528,0.3624971671205957,0.39215328758985535,0.28390367553865653,0.27185694375546265,0.2955247862250917,0.4248065763429628,0.4056195854998007,0.4425839957750116,2699,3276,1884,682,0.7982845312037858,0.6348837209302326
20,2543,5335,2203,4746,0,0,4746,0.3227976643818228,0.3106057489845934,0.33525583655202146,0.5358196375895491,0.5202660569528165,0.5513445911902073,0.4028833967046895,0.39009580896979923,0.41567251130105654,0.4248065763429628,0.4056195854998007,0.4425839957750116,2699,3276,1884,682,0.7982845312037858,0.6348837209302326
25,3103,4775,1643,4746,0,0,4746,0.39388169586189387,0.38061644150248286,0.40729110746428904,0.6538137378845343,0.6387743963561612,0.6689174931420131,0.4916032953105196,0.478581223619494,0.5048407598938365,0.4248065763429628,0.4056195854998007,0.4425839957750116,2699,3276,1884,682,0.7982845312037858,0.6348837209302326
30,3439,4439,1307,4746,0,0,4746,0.43653211474993653,0.4226068391813554,0.4502872117956324,0.7246101980615255,0.7102753065921914,0.7384156180581926,0.5448352344740177,0.5317641792453783,0.5577349105807878,0.4248065763429628,0.4056195854998007,0.4425839957750116,2699,3276,1884,682,0.7982845312037858,0.6348837209302326
35,3638,4240,1108,4746,0,0,4746,0.46179233307946177,0.4477007134307391,0.47589418538311823,0.7665402444163506,0.7531988722619822,0.7797280246536918,0.5763624841571608,0.5634618425822163,0.5891212115079744,0.4248065763429628,0.4056195854998007,0.4425839957750116,2699,3276,1884,682,0.7982845312037858,0.6348837209302326
40,3757,4121,989,4746,0,0,4746,0.4768976897689769,0.46286239800216167,0.4910457908344914,0.7916139907290349,0.7786548783525775,0.8043483916210469,0.5952154626108999,0.5826015979286677,0.6077127229181223,0.4248065763429628,0.4056195854998007,0.4425839957750116,2699,3276,1884,682,0.7982845312037858,0.6348837209302326
45,3826,4052,920,4746,0,0,4746,0.48565625793348566,0.47150446105167937,0.49962638447581065,0.8061525495153814,0.7936076264741911,0.8186029420081834,0.6061470215462611,0.5937100346843642,0.6184466414567747,0.4248065763429628,0.4056195854998007,0.4425839957750116,2699,3276,1884,682,0.7982845312037858,0.6348837209302326
50,4160,3718,1000,4746,414,1,5160,0.528052805280528,0.5138603286286467,0.5420199980583505,0.8062015503875969,0.7938884606992938,0.8180576068541308,0.6381346832336248,0.6261485732025543,0.6497501368647227,0.4368992418343833,0.4180919253664125,0.4551995956434901,2807,3241,1776,717,0.7965380249716232,0.6460035878014749
75,4333,3545,1006,4746,593,1,5339,0.55001269357705,0.5355531304055504,0.5639530055537045,0.8115752013485672,0.7993527353924935,0.8232545351947804,0.6556707270938942,0.6439712110064217,0.667054210158645,0.437484581743859,0.4186545480029257,0.45580696926458886,2818,3235,1765,723,0.7958203897204179,0.647
100,4388,3490,1042,4746,684,1,5430,0.556994160954557,0.5424760617760618,0.5710520940159857,0.8081031307550645,0.7957733649116414,0.8200216890770324,0.6594529606251879,0.6478936508923364,0.6707319317892044,0.43808416113570375,0.41912635515581664,0.45641443310759966,2825,3232,1758,726,0.795550549141087,0.6476953907815631
125,4414,3464,1060,4746,728,1,5474,0.5602944909875603,0.5456856654764861,0.5742965568784103,0.8063573255389113,0.7940292407173939,0.8183305478539402,0.6611743559017376,0.6495830079204296,0.6724634722718072,0.4376702687736915,0.41864283634772764,0.4559162003999214,2827,3229,1756,729,0.7949943757030371,0.6477432296890672
150,4432,3446,1076,4746,762,1,5508,0.5625793348565625,0.5479615184609514,0.576705008756657,0.8046477850399419,0.7922009752166066,0.8165156409464944,0.6621843717316599,0.6506745649789134,0.6734768868964502,0.4376702687736915,0.41864283634772764,0.4559162003999214,2827,3229,1756,729,0.7949943757030371,0.6477432296890672
