label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
55maps-image-generalisation__verified-k4-r2-gt-unverified,5,0.0598,0.0532,0.0667,0.06,0.0535,0.067,0.0596,0.053,0.0666,0.4938,0.4746,0.5124,0.6645,0.822,0.4937,0.6644,0.822,sparse_cross_grid,False,0.5393981969324435,8541,zero_fraction_heuristic,
55maps-image-generalisation__verified-k4-r2-gt-unverified,10,0.203,0.1912,0.2152,0.2037,0.1918,0.2165,0.2023,0.1899,0.2148,0.4938,0.4746,0.5124,0.6645,0.822,0.4937,0.6644,0.822,sparse_cross_grid,False,0.5438473246692425,8541,zero_fraction_heuristic,
55maps-image-generalisation__verified-k4-r2-gt-unverified,15,0.3522,0.3383,0.366,0.3535,0.3389,0.3682,0.3509,0.3363,0.3659,0.4938,0.4746,0.5124,0.6645,0.822,0.4937,0.6644,0.822,sparse_cross_grid,False,0.5484135347149046,8541,zero_fraction_heuristic,
55maps-image-generalisation__verified-k4-r2-gt-unverified,20,0.4712,0.4567,0.4853,0.4729,0.4571,0.4889,0.4695,0.4535,0.4851,0.4938,0.4746,0.5124,0.6645,0.822,0.4937,0.6644,0.822,sparse_cross_grid,False,0.553213909378293,8541,zero_fraction_heuristic,
55maps-image-generalisation__verified-k4-r2-gt-unverified,25,0.5576,0.5438,0.5717,0.5596,0.544,0.5758,0.5556,0.5396,0.5713,0.4938,0.4746,0.5124,0.6645,0.822,0.4937,0.6644,0.822,sparse_cross_grid,False,0.55684346095305,8541,zero_fraction_heuristic,
55maps-image-generalisation__verified-k4-r2-gt-unverified,30,0.6074,0.5942,0.6207,0.6096,0.5938,0.6254,0.6052,0.5894,0.6206,0.4938,0.4746,0.5124,0.6645,0.822,0.4937,0.6644,0.822,sparse_cross_grid,False,0.5590680248214495,8541,zero_fraction_heuristic,
55maps-image-generalisation__verified-k4-r2-gt-unverified,35,0.6362,0.6235,0.6493,0.6385,0.6229,0.6542,0.6339,0.6182,0.6493,0.4938,0.4746,0.5124,0.6645,0.822,0.4937,0.6644,0.822,sparse_cross_grid,False,0.5603559302189439,8541,zero_fraction_heuristic,
55maps-image-generalisation__verified-k4-r2-gt-unverified,40,0.6516,0.6391,0.6645,0.654,0.6383,0.6695,0.6493,0.6337,0.6642,0.4938,0.4746,0.5124,0.6645,0.822,0.4937,0.6644,0.822,sparse_cross_grid,False,0.561292588689849,8541,zero_fraction_heuristic,
55maps-image-generalisation__verified-k4-r2-gt-unverified,45,0.661,0.6487,0.6734,0.6634,0.6479,0.6786,0.6586,0.6432,0.6739,0.4938,0.4746,0.5124,0.6645,0.822,0.4937,0.6644,0.822,sparse_cross_grid,False,0.5617609179253015,8541,zero_fraction_heuristic,
55maps-image-generalisation__verified-k4-r2-gt-unverified,50,0.6668,0.6546,0.6791,0.6692,0.6536,0.6844,0.6644,0.6492,0.6798,0.4938,0.4746,0.5124,0.6645,0.822,0.4937,0.6644,0.822,sparse_cross_grid,False,0.5618780002341646,8541,zero_fraction_heuristic,
55maps-image-generalisation__verified-k4-r2-gt-unverified,75,0.6764,0.6644,0.6886,0.6788,0.6631,0.6939,0.674,0.6588,0.689,0.4938,0.4746,0.5124,0.6645,0.822,0.4937,0.6644,0.822,sparse_cross_grid,False,0.5625804940873435,8541,zero_fraction_heuristic,
55maps-image-generalisation__verified-k4-r2-gt-unverified,100,0.6798,0.6678,0.6921,0.6823,0.6666,0.6973,0.6774,0.6622,0.6923,0.4938,0.4746,0.5124,0.6645,0.822,0.4937,0.6644,0.822,sparse_cross_grid,False,0.5628146587050696,8541,zero_fraction_heuristic,
55maps-image-generalisation__verified-k4-r2-gt-unverified,125,0.6812,0.6693,0.6935,0.6837,0.6677,0.6986,0.6788,0.6636,0.6937,0.4938,0.4746,0.5124,0.6645,0.822,0.4937,0.6644,0.822,sparse_cross_grid,False,0.5629317410139328,8541,zero_fraction_heuristic,
55maps-image-generalisation__verified-k4-r2-gt-unverified,150,0.6816,0.6697,0.6939,0.6841,0.6681,0.699,0.6792,0.6639,0.6941,0.4938,0.4746,0.5124,0.6645,0.822,0.4937,0.6644,0.822,sparse_cross_grid,False,0.5629317410139328,8541,zero_fraction_heuristic,
