R_m,TP,FP,FN,n_ref_student_only,n_reviewer_promoted_at_R,n_phantom_duplicates_dropped,n_ref_extended,precision,precision_CI_lo,precision_CI_hi,recall,recall_CI_lo,recall_CI_hi,F1,F1_CI_lo,F1_CI_hi,MCC,MCC_CI_lo,MCC_CI_hi,tile_TP,tile_TN,tile_FP,tile_FN,sensitivity,specificity
5,417,13155,4329,4746,0,0,4746,0.03072502210433245,0.027524972253052164,0.03394816210535058,0.08786346396965866,0.07931386045474956,0.09629948813570816,0.04552898788077301,0.040875780337457715,0.05014426506756967,0.1977240268998282,0.17899534473367365,0.216619948869783,2906,1623,3537,475,0.8595090209997043,0.31453488372093025
10,1382,12190,3364,4746,0,0,4746,0.1018272914824639,0.09545544705587775,0.1084222375122144,0.29119258322798147,0.2765869632836531,0.30574874907401933,0.15088983513484006,0.14217697043318014,0.15980856635417892,0.1977240268998282,0.17899534473367365,0.216619948869783,2906,1623,3537,475,0.8595090209997043,0.31453488372093025
15,2415,11157,2331,4746,0,0,4746,0.17793987621573829,0.16912565261498272,0.18701016064255047,0.5088495575221239,0.4925970812182741,0.5248274022545385,0.26367507369800197,0.2524651340161255,0.2750444146550877,0.1977240268998282,0.17899534473367365,0.216619948869783,2906,1623,3537,475,0.8595090209997043,0.31453488372093025
20,3175,10397,1571,4746,0,0,4746,0.23393751842027705,0.2235545686933349,0.24445291472236005,0.668984407922461,0.6532037869628688,0.6841241457532458,0.34665356479965065,0.33399250200047165,0.3591748658357862,0.1977240268998282,0.17899534473367365,0.216619948869783,2906,1623,3537,475,0.8595090209997043,0.31453488372093025
25,3627,9945,1119,4746,0,0,4746,0.2672413793103448,0.25612965717853015,0.2785889684420454,0.7642225031605563,0.7504000885518063,0.7775632878956579,0.3960039305601048,0.3829290083536832,0.40918501163772103,0.1977240268998282,0.17899534473367365,0.216619948869783,2906,1623,3537,475,0.8595090209997043,0.31453488372093025
30,3880,9692,866,4746,0,0,4746,0.2858826996758031,0.2741734731363444,0.29759383465917194,0.8175305520438264,0.8049573305695187,0.8297129132070888,0.4236270335189431,0.41,0.43703056182277983,0.1977240268998282,0.17899534473367365,0.216619948869783,2906,1623,3537,475,0.8595090209997043,0.31453488372093025
35,4003,9569,743,4746,0,0,4746,0.29494547597995874,0.28301711608060764,0.3070137069155842,0.8434471133586178,0.832,0.8548729653935381,0.43705644721039416,0.4232012680099925,0.4507596782585495,0.1977240268998282,0.17899534473367365,0.216619948869783,2906,1623,3537,475,0.8595090209997043,0.31453488372093025
40,4060,9512,686,4746,0,0,4746,0.29914529914529914,0.28710043994345336,0.3113633223521574,0.855457227138643,0.8441474549992377,0.8666256362216483,0.4432798340430178,0.42947014172456327,0.4571127819548872,0.1977240268998282,0.17899534473367365,0.216619948869783,2906,1623,3537,475,0.8595090209997043,0.31453488372093025
45,4088,9484,658,4746,0,0,4746,0.3012083701738874,0.28918259735060325,0.31340294563689436,0.8613569321533924,0.8503443467231466,0.8723765792483478,0.44633693634676275,0.4325311468254352,0.46021097395391797,0.1977240268998282,0.17899534473367365,0.216619948869783,2906,1623,3537,475,0.8595090209997043,0.31453488372093025
50,4444,9128,716,4746,414,1,5160,0.327438844680224,0.3148362347470176,0.3399747533979692,0.8612403100775193,0.8505475429608462,0.8716745366224321,0.4744821695494341,0.4605335420227461,0.4880852582650701,0.20697853259842966,0.18820952892894227,0.22586573010030414,3033,1607,3410,491,0.8606696935300795,0.32031094279449873
75,4495,9077,844,4746,593,1,5339,0.3311965811965812,0.31852804651617317,0.3439193899746182,0.8419179621651994,0.8307427141802245,0.8528804821909763,0.4753846967373486,0.46145603273454305,0.4888290353631216,0.2085851884983258,0.18960538566535678,0.22733307012434795,3049,1606,3394,492,0.8610561988138944,0.3212
100,4536,9036,894,4746,684,1,5430,0.33421750663129973,0.32152475404957787,0.3470129383667869,0.8353591160220994,0.8239513727303462,0.8464345008674643,0.4774234291127249,0.4636174236818411,0.4909613760100893,0.20875175237826935,0.1896370508944662,0.22760466848704414,3057,1604,3386,494,0.8608842579555055,0.32144288577154306
125,4559,9013,915,4746,728,1,5474,0.33591217211906865,0.3231204477023709,0.3488287808032015,0.8328461819510413,0.8214218051613746,0.8440266346357668,0.47873569253386533,0.46486060852311006,0.492164305834985,0.2093871958828232,0.19021848092918076,0.22834363531804064,3062,1604,3381,494,0.8610798650168728,0.321765295887663
150,4574,8998,934,4746,762,1,5508,0.33701738874152665,0.324152612072912,0.3498652845500082,0.8304284676833696,0.8190670662823365,0.8416402475341013,0.479454926624738,0.46562171975641986,0.49292310609003925,0.2093871958828232,0.19021848092918076,0.22834363531804064,3062,1604,3381,494,0.8610798650168728,0.321765295887663
