label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
55maps-text-high-generalisation__verified-k3-r2-gt-unverified,5,0.0633,0.0581,0.0688,0.0433,0.0397,0.0473,0.1172,0.1078,0.1269,0.2087,0.1897,0.2276,0.8614,0.321,0.2087,0.8614,0.3211,normal,False,0.21695351832338133,8541,zero_fraction_heuristic,
55maps-text-high-generalisation__verified-k3-r2-gt-unverified,10,0.1856,0.1763,0.1956,0.1271,0.12,0.1348,0.3438,0.3292,0.3592,0.2087,0.1897,0.2276,0.8614,0.321,0.2087,0.8614,0.3211,normal,False,0.22034890528041212,8541,zero_fraction_heuristic,
55maps-text-high-generalisation__verified-k3-r2-gt-unverified,15,0.2974,0.2859,0.3093,0.2037,0.1944,0.2134,0.5508,0.5352,0.5663,0.2087,0.1897,0.2276,0.8614,0.321,0.2087,0.8614,0.3211,normal,False,0.22585177379697927,8541,zero_fraction_heuristic,
55maps-text-high-generalisation__verified-k3-r2-gt-unverified,20,0.3741,0.3613,0.3867,0.2562,0.2454,0.267,0.6929,0.6776,0.707,0.2087,0.1897,0.2276,0.8614,0.321,0.2087,0.8614,0.3211,normal,False,0.2298325722983257,8541,zero_fraction_heuristic,
55maps-text-high-generalisation__verified-k3-r2-gt-unverified,25,0.4194,0.4062,0.4324,0.2872,0.2757,0.2988,0.7768,0.7634,0.7893,0.2087,0.1897,0.2276,0.8614,0.321,0.2087,0.8614,0.3211,normal,False,0.23194005385786207,8541,zero_fraction_heuristic,
55maps-text-high-generalisation__verified-k3-r2-gt-unverified,30,0.4463,0.4326,0.4597,0.3056,0.2934,0.3176,0.8266,0.8147,0.838,0.2087,0.1897,0.2276,0.8614,0.321,0.2087,0.8614,0.3211,normal,False,0.23357920618194591,8541,zero_fraction_heuristic,
55maps-text-high-generalisation__verified-k3-r2-gt-unverified,35,0.4592,0.4453,0.4727,0.3145,0.3021,0.3267,0.8505,0.8393,0.8615,0.2087,0.1897,0.2276,0.8614,0.321,0.2087,0.8614,0.3211,normal,False,0.2342817000351247,8541,zero_fraction_heuristic,
55maps-text-high-generalisation__verified-k3-r2-gt-unverified,40,0.4643,0.4505,0.4779,0.318,0.3055,0.3302,0.8601,0.8491,0.8707,0.2087,0.1897,0.2276,0.8614,0.321,0.2087,0.8614,0.3211,normal,False,0.2342817000351247,8541,zero_fraction_heuristic,
55maps-text-high-generalisation__verified-k3-r2-gt-unverified,45,0.4673,0.4536,0.481,0.3201,0.3076,0.3323,0.8657,0.8549,0.8762,0.2087,0.1897,0.2276,0.8614,0.321,0.2087,0.8614,0.3211,normal,False,0.2343987823439878,8541,zero_fraction_heuristic,
55maps-text-high-generalisation__verified-k3-r2-gt-unverified,50,0.469,0.4552,0.4827,0.3212,0.3087,0.3335,0.8687,0.8579,0.879,0.2087,0.1897,0.2276,0.8614,0.321,0.2087,0.8614,0.3211,normal,False,0.2343987823439878,8541,zero_fraction_heuristic,
55maps-text-high-generalisation__verified-k3-r2-gt-unverified,75,0.4714,0.4575,0.4851,0.3229,0.3102,0.3353,0.8733,0.8626,0.8832,0.2087,0.1897,0.2276,0.8614,0.321,0.2087,0.8614,0.3211,normal,False,0.23463294696171408,8541,zero_fraction_heuristic,
55maps-text-high-generalisation__verified-k3-r2-gt-unverified,100,0.4734,0.4594,0.487,0.3242,0.3116,0.3365,0.8768,0.8663,0.8866,0.2087,0.1897,0.2276,0.8614,0.321,0.2087,0.8614,0.3211,normal,False,0.23486711157944035,8541,zero_fraction_heuristic,
55maps-text-high-generalisation__verified-k3-r2-gt-unverified,125,0.4746,0.4606,0.4882,0.325,0.3123,0.3374,0.879,0.8686,0.8888,0.2087,0.1897,0.2276,0.8614,0.321,0.2087,0.8614,0.3211,normal,False,0.23486711157944035,8541,zero_fraction_heuristic,
55maps-text-high-generalisation__verified-k3-r2-gt-unverified,150,0.4753,0.4613,0.489,0.3255,0.3128,0.3379,0.8804,0.8701,0.8903,0.2087,0.1897,0.2276,0.8614,0.321,0.2087,0.8614,0.3211,normal,False,0.23498419388830347,8541,zero_fraction_heuristic,
