R_m,TP,FP,FN,n_ref_student_only,n_reviewer_promoted_at_R,n_phantom_duplicates_dropped,n_ref_extended,precision,precision_CI_lo,precision_CI_hi,recall,recall_CI_lo,recall_CI_hi,F1,F1_CI_lo,F1_CI_hi,MCC,MCC_CI_lo,MCC_CI_hi,tile_TP,tile_TN,tile_FP,tile_FN,sensitivity,specificity
5,558,8647,4452,4731,279,0,5010,0.06061922868006518,0.055184826062879916,0.0660490455653369,0.11137724550898204,0.10185346155040076,0.12067295495364495,0.07850861765740415,0.07168072302800309,0.08520753906629329,0.28860440879114774,0.26938001421217017,0.30789422659152615,2732,2564,2453,792,0.775255391600454,0.511062387881204
10,1605,7600,3405,4731,279,0,5010,0.17436175991309072,0.16459799180105653,0.18419369131046123,0.3203592814371258,0.30544159767016466,0.33504039331185,0.225817798100598,0.214501573307781,0.23718761450827316,0.28860440879114774,0.26938001421217017,0.30789422659152615,2732,2564,2453,792,0.775255391600454,0.511062387881204
15,2559,6646,2451,4731,279,0,5010,0.2780010863661054,0.26586326963056156,0.29029802456094306,0.5107784431137724,0.4950098070227076,0.5266799940909505,0.36004220893422434,0.34701789821359597,0.3732364343347534,0.28860440879114774,0.26938001421217017,0.30789422659152615,2732,2564,2453,792,0.775255391600454,0.511062387881204
20,3214,5991,1796,4731,279,0,5010,0.3491580662683324,0.33568466955134557,0.362548598074835,0.6415169660678642,0.6257453028087052,0.6567430280596007,0.45219838199085477,0.438253296701254,0.46575403962469963,0.28860440879114774,0.26938001421217017,0.30789422659152615,2732,2564,2453,792,0.775255391600454,0.511062387881204
25,3588,5617,1422,4731,279,0,5010,0.3897881586094514,0.37553647327157985,0.40393242713378397,0.7161676646706587,0.70144824706483,0.7303705580591474,0.5048188533239535,0.49076250758172446,0.5186883117508431,0.28860440879114774,0.26938001421217017,0.30789422659152615,2732,2564,2453,792,0.775255391600454,0.511062387881204
30,3802,5403,1208,4731,279,0,5010,0.4130363932645301,0.39826696249586,0.4276416360589871,0.7588822355289421,0.7446678463680448,0.7724868521705871,0.5349278930706999,0.5205694682625603,0.548829542098215,0.28860440879114774,0.26938001421217017,0.30789422659152615,2732,2564,2453,792,0.775255391600454,0.511062387881204
35,3895,5310,1115,4731,279,0,5010,0.423139598044541,0.4081923462138715,0.4379193471354344,0.7774451097804391,0.7638724071738425,0.7908028158145107,0.5480126626802674,0.5336608597608311,0.5618789865704938,0.28860440879114774,0.26938001421217017,0.30789422659152615,2732,2564,2453,792,0.775255391600454,0.511062387881204
40,3930,5275,1080,4731,279,0,5010,0.4269418794133623,0.41182148305098126,0.4417754002659332,0.7844311377245509,0.7708284670038732,0.7976479319666052,0.5529370383397819,0.5387467675706065,0.5669411438078565,0.28860440879114774,0.26938001421217017,0.30789422659152615,2732,2564,2453,792,0.775255391600454,0.511062387881204
45,3950,5255,1060,4731,279,0,5010,0.42911461162411735,0.4140011706910713,0.44403215080638364,0.7884231536926147,0.77492519632231,0.8015521018849745,0.5557509672880759,0.5415774999266472,0.5696184740581077,0.28860440879114774,0.26938001421217017,0.30789422659152615,2732,2564,2453,792,0.775255391600454,0.511062387881204
50,3963,5242,1047,4731,279,0,5010,0.4305268875611081,0.41535133344277464,0.4454415170487284,0.7910179640718563,0.7776026445177695,0.8040489078703413,0.5575800211044671,0.5433937320940484,0.5714285714285714,0.28860440879114774,0.26938001421217017,0.30789422659152615,2732,2564,2453,792,0.775255391600454,0.511062387881204
75,3976,5229,1034,4731,279,0,5010,0.43193916349809885,0.41668484848262355,0.44687034299864703,0.7936127744510978,0.7803028045653194,0.8065296326468144,0.5594090749208582,0.5450742748697996,0.5732852140323547,0.28860440879114774,0.26938001421217017,0.30789422659152615,2732,2564,2453,792,0.775255391600454,0.511062387881204
100,3986,5219,1024,4731,279,0,5010,0.43302552960347634,0.41778190318777525,0.4479601981607823,0.7956087824351298,0.7823402334497214,0.8085537644143717,0.5608160393950054,0.5464548142599585,0.5747014551340229,0.28860440879114774,0.26938001421217017,0.30789422659152615,2732,2564,2453,792,0.775255391600454,0.511062387881204
125,3991,5214,1019,4731,279,0,5010,0.43356871265616514,0.4182739065418334,0.4485185184331507,0.7966067864271457,0.7832997407484217,0.8094665112174101,0.5615195216320789,0.5471173960065674,0.5752917073225895,0.28860440879114774,0.26938001421217017,0.30789422659152615,2732,2564,2453,792,0.775255391600454,0.511062387881204
150,3996,5209,1014,4731,279,0,5010,0.4341118957088539,0.41881155678490595,0.44915272728617556,0.7976047904191617,0.7843638533516402,0.8105473016158657,0.5622230038691522,0.5477467488497746,0.575973524315306,0.28860440879114774,0.26938001421217017,0.30789422659152615,2732,2564,2453,792,0.775255391600454,0.511062387881204
