R_m,TP,FP,FN,n_ref_student_only,n_reviewer_promoted_at_R,n_phantom_duplicates_dropped,n_ref_extended,precision,precision_CI_lo,precision_CI_hi,recall,recall_CI_lo,recall_CI_hi,F1,F1_CI_lo,F1_CI_hi,MCC,MCC_CI_lo,MCC_CI_hi,tile_TP,tile_TN,tile_FP,tile_FN,sensitivity,specificity
5,618,13327,4392,4731,279,0,5010,0.04431695948368591,0.04049552884633811,0.048216762482427525,0.12335329341317365,0.11372231098626985,0.13309985206387756,0.06520706937483514,0.059845155890353635,0.07067656237143614,0.1978757959332092,0.17854217448768633,0.2166996875125901,3076,1481,3536,448,0.8728717366628831,0.29519633246960336
10,1730,12215,3280,4731,279,0,5010,0.12405880243814987,0.11714830803156082,0.1310335556865053,0.34530938123752497,0.3306842244327591,0.3598797409670873,0.18253758902664205,0.1733351709957994,0.19168755081925423,0.1978757959332092,0.17854217448768633,0.2166996875125901,3076,1481,3536,448,0.8728717366628831,0.29519633246960336
15,2740,11205,2270,4731,279,0,5010,0.19648619576909288,0.187442367815694,0.20574541721259137,0.5469061876247505,0.5315236148076574,0.5625003095898553,0.2891057768398839,0.2777927889035346,0.30050672139392176,0.1978757959332092,0.17854217448768633,0.2166996875125901,3076,1481,3536,448,0.8728717366628831,0.29519633246960336
20,3506,10439,1504,4731,279,0,5010,0.2514162782359269,0.24094418490767616,0.2620574181708751,0.6998003992015968,0.6857658514096581,0.7140898821410491,0.3699287786863624,0.3574517626305899,0.38248038912723453,0.1978757959332092,0.17854217448768633,0.2166996875125901,3076,1481,3536,448,0.8728717366628831,0.29519633246960336
25,3942,10003,1068,4731,279,0,5010,0.2826819648619577,0.27135421450449826,0.294076933506827,0.7868263473053893,0.7740510142598915,0.7994690762302368,0.41593247164336583,0.40281949308502074,0.42892131305492553,0.1978757959332092,0.17854217448768633,0.2166996875125901,3076,1481,3536,448,0.8728717366628831,0.29519633246960336
30,4169,9776,841,4731,279,0,5010,0.2989602007888132,0.28740289851599804,0.3106733883989809,0.8321357285429142,0.8205018413108731,0.8435079958594258,0.4398839356370351,0.4265904152717301,0.4531662932580357,0.1978757959332092,0.17854217448768633,0.2166996875125901,3076,1481,3536,448,0.8728717366628831,0.29519633246960336
35,4290,9655,720,4731,279,0,5010,0.307637145930441,0.2957127615856896,0.3195552450384272,0.8562874251497006,0.8455200823892894,0.8668339024438448,0.4526510155631759,0.4391255191654722,0.4660959895307765,0.1978757959332092,0.17854217448768633,0.2166996875125901,3076,1481,3536,448,0.8728717366628831,0.29519633246960336
40,4349,9596,661,4731,279,0,5010,0.31186805306561494,0.29989200783671044,0.3238966946572833,0.868063872255489,0.8576070519228751,0.8780686933414583,0.4588762859403851,0.445329300351313,0.47228571086586507,0.1978757959332092,0.17854217448768633,0.2166996875125901,3076,1481,3536,448,0.8728717366628831,0.29519633246960336
45,4386,9559,624,4731,279,0,5010,0.31452133381140196,0.3026171819022772,0.3265800108464687,0.8754491017964072,0.8652241006569225,0.8853786027286705,0.462780269058296,0.44925123677264667,0.4762624253331855,0.1978757959332092,0.17854217448768633,0.2166996875125901,3076,1481,3536,448,0.8728717366628831,0.29519633246960336
50,4408,9537,602,4731,279,0,5010,0.3160989602007888,0.30414513655151515,0.32816447066927756,0.8798403193612775,0.8698113833281261,0.8896959599296534,0.46510155631759437,0.4515003566743642,0.47855753504675824,0.1978757959332092,0.17854217448768633,0.2166996875125901,3076,1481,3536,448,0.8728717366628831,0.29519633246960336
75,4437,9508,573,4731,279,0,5010,0.3181785586231624,0.3061592259127947,0.330416001219164,0.88562874251497,0.8758898815571823,0.8951597509143535,0.46816143497757845,0.45456951292854025,0.48174199563116327,0.1978757959332092,0.17854217448768633,0.2166996875125901,3076,1481,3536,448,0.8728717366628831,0.29519633246960336
100,4462,9483,548,4731,279,0,5010,0.3199713158838293,0.30786700995191046,0.33232132349269006,0.8906187624750499,0.8809337446272933,0.8998625832264857,0.4707992614085993,0.45704690044003826,0.4844575655692428,0.1978757959332092,0.17854217448768633,0.2166996875125901,3076,1481,3536,448,0.8728717366628831,0.29519633246960336
125,4473,9472,537,4731,279,0,5010,0.32076012907852275,0.3086937111226716,0.333070616710428,0.8928143712574851,0.8833066288962261,0.9020681935324026,0.4719599050382485,0.45813298581328576,0.4856059678685649,0.1978757959332092,0.17854217448768633,0.2166996875125901,3076,1481,3536,448,0.8728717366628831,0.29519633246960336
150,4482,9463,528,4731,279,0,5010,0.32140552169236286,0.3092818697559115,0.3337083137838074,0.8946107784431138,0.8851617934351718,0.9037924765852909,0.47290952255341595,0.45915187708746885,0.48660488359382914,0.1978757959332092,0.17854217448768633,0.2166996875125901,3076,1481,3536,448,0.8728717366628831,0.29519633246960336
