label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
55maps-text-high-t0-3-generalisation__verified-oracle-p0_20-k3-standardised-gt-unverified,5,0.0652,0.0599,0.0708,0.0443,0.0406,0.0483,0.1234,0.1139,0.1334,0.1979,0.1785,0.2167,0.8729,0.2952,0.198,0.8729,0.2953,normal,False,0.19962533661163798,8541,zero_fraction_heuristic,
55maps-text-high-t0-3-generalisation__verified-oracle-p0_20-k3-standardised-gt-unverified,10,0.1825,0.1737,0.1919,0.1241,0.1174,0.1313,0.3453,0.3311,0.3601,0.1979,0.1785,0.2167,0.8729,0.2952,0.198,0.8729,0.2953,normal,False,0.2034890528041213,8541,zero_fraction_heuristic,
55maps-text-high-t0-3-generalisation__verified-oracle-p0_20-k3-standardised-gt-unverified,15,0.2891,0.2779,0.3006,0.1965,0.1876,0.2059,0.5469,0.5316,0.5626,0.1979,0.1785,0.2167,0.8729,0.2952,0.198,0.8729,0.2953,normal,False,0.20711860437887836,8541,zero_fraction_heuristic,
55maps-text-high-t0-3-generalisation__verified-oracle-p0_20-k3-standardised-gt-unverified,20,0.3699,0.3574,0.3825,0.2514,0.241,0.2621,0.6998,0.6858,0.7141,0.1979,0.1785,0.2167,0.8729,0.2952,0.198,0.8729,0.2953,normal,False,0.21133356749795107,8541,zero_fraction_heuristic,
55maps-text-high-t0-3-generalisation__verified-oracle-p0_20-k3-standardised-gt-unverified,25,0.4159,0.403,0.429,0.2827,0.2714,0.2941,0.7868,0.7739,0.7993,0.1979,0.1785,0.2167,0.8729,0.2952,0.198,0.8729,0.2953,normal,False,0.21402646060180308,8541,zero_fraction_heuristic,
55maps-text-high-t0-3-generalisation__verified-oracle-p0_20-k3-standardised-gt-unverified,30,0.4399,0.4266,0.4532,0.299,0.2874,0.3107,0.8321,0.8204,0.8434,0.1979,0.1785,0.2167,0.8729,0.2952,0.198,0.8729,0.2953,normal,False,0.21554853061702378,8541,zero_fraction_heuristic,
55maps-text-high-t0-3-generalisation__verified-oracle-p0_20-k3-standardised-gt-unverified,35,0.4527,0.4392,0.4662,0.3076,0.2957,0.3196,0.8563,0.8455,0.8668,0.1979,0.1785,0.2167,0.8729,0.2952,0.198,0.8729,0.2953,normal,False,0.2160168598524763,8541,zero_fraction_heuristic,
55maps-text-high-t0-3-generalisation__verified-oracle-p0_20-k3-standardised-gt-unverified,40,0.4589,0.4454,0.4723,0.3119,0.2998,0.3238,0.8681,0.8575,0.878,0.1979,0.1785,0.2167,0.8729,0.2952,0.198,0.8729,0.2953,normal,False,0.2161339421613394,8541,zero_fraction_heuristic,
55maps-text-high-t0-3-generalisation__verified-oracle-p0_20-k3-standardised-gt-unverified,45,0.4628,0.4493,0.4763,0.3145,0.3026,0.3265,0.8754,0.8651,0.8853,0.1979,0.1785,0.2167,0.8729,0.2952,0.198,0.8729,0.2953,normal,False,0.21625102447020256,8541,zero_fraction_heuristic,
55maps-text-high-t0-3-generalisation__verified-oracle-p0_20-k3-standardised-gt-unverified,50,0.4651,0.4515,0.4785,0.3161,0.3041,0.3282,0.8798,0.8696,0.8895,0.1979,0.1785,0.2167,0.8729,0.2952,0.198,0.8729,0.2953,normal,False,0.21636810677906568,8541,zero_fraction_heuristic,
55maps-text-high-t0-3-generalisation__verified-oracle-p0_20-k3-standardised-gt-unverified,75,0.4682,0.4546,0.4818,0.3182,0.3062,0.3304,0.8856,0.8756,0.8949,0.1979,0.1785,0.2167,0.8729,0.2952,0.198,0.8729,0.2953,normal,False,0.21648518908792883,8541,zero_fraction_heuristic,
55maps-text-high-t0-3-generalisation__verified-oracle-p0_20-k3-standardised-gt-unverified,100,0.4708,0.457,0.4845,0.32,0.3079,0.3323,0.8906,0.8808,0.8997,0.1979,0.1785,0.2167,0.8729,0.2952,0.198,0.8729,0.2953,normal,False,0.21648518908792883,8541,zero_fraction_heuristic,
55maps-text-high-t0-3-generalisation__verified-oracle-p0_20-k3-standardised-gt-unverified,125,0.472,0.4581,0.4855,0.3208,0.3087,0.3331,0.8928,0.8832,0.9019,0.1979,0.1785,0.2167,0.8729,0.2952,0.198,0.8729,0.2953,normal,False,0.21648518908792883,8541,zero_fraction_heuristic,
55maps-text-high-t0-3-generalisation__verified-oracle-p0_20-k3-standardised-gt-unverified,150,0.4729,0.4591,0.4865,0.3214,0.3093,0.3337,0.8946,0.885,0.9036,0.1979,0.1785,0.2167,0.8729,0.2952,0.198,0.8729,0.2953,normal,False,0.21648518908792883,8541,zero_fraction_heuristic,
