R_m,TP,FP,FN,n_ref_student_only,n_reviewer_promoted_at_R,n_phantom_duplicates_dropped,n_ref_extended,precision,precision_CI_lo,precision_CI_hi,recall,recall_CI_lo,recall_CI_hi,F1,F1_CI_lo,F1_CI_hi,MCC,MCC_CI_lo,MCC_CI_hi,tile_TP,tile_TN,tile_FP,tile_FN,sensitivity,specificity
5,461,11929,4285,4746,0,0,4746,0.03720742534301856,0.033472434305646365,0.041017379672494074,0.09713442899283607,0.08816051636876161,0.10610256339803031,0.05380485527544351,0.04859199960045891,0.059076739556488886,0.05202916991906353,0.031033407124602633,0.07211715900090072,3004,762,4398,377,0.888494528246081,0.14767441860465116
10,1439,10951,3307,4746,0,0,4746,0.11614205004035512,0.10879462310006657,0.12371169198806425,0.3032026970080067,0.28853658420072253,0.31800943315159846,0.16795051353874882,0.15842531061036322,0.17771797747792517,0.05202916991906353,0.031033407124602633,0.07211715900090072,3004,762,4398,377,0.888494528246081,0.14767441860465116
15,2365,10025,2381,4746,0,0,4746,0.19087974172719935,0.18106071005411908,0.2009315959750641,0.49831436999578593,0.48159550563086573,0.5149542633637777,0.27602707749766575,0.26392486894319916,0.2882793470962158,0.05202916991906353,0.031033407124602633,0.07211715900090072,3004,762,4398,377,0.888494528246081,0.14767441860465116
20,3010,9380,1736,4746,0,0,4746,0.24293785310734464,0.23169250217844323,0.25438844924843895,0.6342182890855457,0.6181046610992426,0.6505020388137577,0.3513071895424837,0.33800197594002446,0.36483652163949604,0.05202916991906353,0.031033407124602633,0.07211715900090072,3004,762,4398,377,0.888494528246081,0.14767441860465116
25,3380,9010,1366,4746,0,0,4746,0.27280064568200163,0.2607744441642106,0.2848604500109096,0.7121786767804467,0.6971267678834797,0.7274290087629331,0.3944911297852474,0.3806143500927578,0.40824103428900854,0.05202916991906353,0.031033407124602633,0.07211715900090072,3004,762,4398,377,0.888494528246081,0.14767441860465116
30,3571,8819,1175,4746,0,0,4746,0.2882163034705408,0.27587819377571593,0.30065446538204654,0.7524230931310577,0.7379827069320449,0.7669523019999682,0.41678338001867415,0.4027618658677373,0.4306098970261501,0.05202916991906353,0.031033407124602633,0.07211715900090072,3004,762,4398,377,0.888494528246081,0.14767441860465116
35,3662,8728,1084,4746,0,0,4746,0.29556093623890234,0.2829772741969753,0.30814987520928816,0.7715971344289928,0.7576410634669374,0.7856415457971726,0.42740429505135386,0.41327352462879013,0.441484481524498,0.05202916991906353,0.031033407124602633,0.07211715900090072,3004,762,4398,377,0.888494528246081,0.14767441860465116
40,3706,8684,1040,4746,0,0,4746,0.2991121872477805,0.2864748364929838,0.3117260534878337,0.7808680994521703,0.767169981245281,0.7945217193572393,0.43253968253968256,0.4184160392676336,0.4465788055269295,0.05202916991906353,0.031033407124602633,0.07211715900090072,3004,762,4398,377,0.888494528246081,0.14767441860465116
45,3728,8662,1018,4746,0,0,4746,0.30088781275221954,0.2881905729767867,0.31355911532038555,0.7855035819637589,0.7717748049090559,0.7989918556278508,0.4351073762838469,0.42089110469559116,0.4492418666467326,0.05202916991906353,0.031033407124602633,0.07211715900090072,3004,762,4398,377,0.888494528246081,0.14767441860465116
50,4049,8341,1111,4746,414,1,5160,0.3267958030669895,0.3134642678706179,0.34011598764918793,0.7846899224806202,0.7714819697988687,0.7976057237938262,0.46142450142450153,0.4470655931699432,0.47542925603425856,0.04963405275035082,0.028203717038529207,0.06995900037788441,3125,740,4277,399,0.8867763904653803,0.14749850508271875
75,4081,8309,1258,4746,593,1,5339,0.32937853107344633,0.31596788369228807,0.34272973993458783,0.7643753511893613,0.7510250519193037,0.7775332933108983,0.46037565570534156,0.44627250877276525,0.4742134255847357,0.04978556746397992,0.0283646141041611,0.07000166082405426,3140,738,4262,401,0.8867551539113245,0.1476
100,4104,8286,1326,4746,684,1,5430,0.33123486682808717,0.3178033195012629,0.34459189082351316,0.7558011049723757,0.7424928847615672,0.7690310617928046,0.46060606060606063,0.44659880355156456,0.47434682955090385,0.04999830103307292,0.028478520623586724,0.07025209077641494,3149,737,4253,402,0.8867924528301887,0.14769539078156313
125,4117,8273,1357,4746,728,1,5474,0.33228410008071024,0.31892296997236097,0.34564326806913326,0.7521008403361344,0.7386958871756465,0.7653439341451093,0.46092700403045234,0.44687739351969485,0.474660883606562,0.04975538736183988,0.02828096680321835,0.07006144462516944,3153,736,4249,403,0.8866704161979753,0.14764292878635907
150,4135,8255,1373,4746,762,1,5508,0.3337368845843422,0.32029020276051107,0.34711970872340875,0.7507262164124909,0.7373227913249127,0.764122505940689,0.46206280031288416,0.44804033046703756,0.47574291637213667,0.04975538736183988,0.02828096680321835,0.07006144462516944,3153,736,4249,403,0.8866704161979753,0.14764292878635907
