label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
55maps-text-min-generalisation__verified-unverified,5,0.0558,0.0505,0.0621,0.0409,0.0369,0.0457,0.0877,0.0796,0.097,0.1263,0.1059,0.1465,0.7865,0.33,0.1265,0.7865,0.3301,normal,False,0.2343987823439878,8541,zero_fraction_heuristic,
55maps-text-min-generalisation__verified-unverified,10,0.1732,0.1634,0.1841,0.127,0.1191,0.1357,0.2722,0.2578,0.2874,0.1263,0.1059,0.1465,0.7865,0.33,0.1265,0.7865,0.3301,normal,False,0.2384966631541974,8541,zero_fraction_heuristic,
55maps-text-min-generalisation__verified-unverified,15,0.2814,0.2692,0.2947,0.2064,0.196,0.2177,0.4423,0.4254,0.4593,0.1263,0.1059,0.1465,0.7865,0.33,0.1265,0.7865,0.3301,normal,False,0.24165788549350192,8541,zero_fraction_heuristic,
55maps-text-min-generalisation__verified-unverified,20,0.3565,0.3428,0.3704,0.2615,0.2493,0.2741,0.5603,0.5433,0.5774,0.1263,0.1059,0.1465,0.7865,0.33,0.1265,0.7865,0.3301,normal,False,0.2445849432150802,8541,zero_fraction_heuristic,
55maps-text-min-generalisation__verified-unverified,25,0.3978,0.3838,0.4118,0.2917,0.279,0.3048,0.6252,0.6086,0.6412,0.1263,0.1059,0.1465,0.7865,0.33,0.1265,0.7865,0.3301,normal,False,0.24692658939234283,8541,zero_fraction_heuristic,
55maps-text-min-generalisation__verified-unverified,30,0.4181,0.404,0.4323,0.3066,0.2935,0.32,0.657,0.6407,0.6731,0.1263,0.1059,0.1465,0.7865,0.33,0.1265,0.7865,0.3301,normal,False,0.2476290832455216,8541,zero_fraction_heuristic,
55maps-text-min-generalisation__verified-unverified,35,0.4285,0.4144,0.443,0.3143,0.3011,0.3279,0.6734,0.6571,0.6893,0.1263,0.1059,0.1465,0.7865,0.33,0.1265,0.7865,0.3301,normal,False,0.2480974124809741,8541,zero_fraction_heuristic,
55maps-text-min-generalisation__verified-unverified,40,0.4332,0.4189,0.4477,0.3177,0.3043,0.3314,0.6808,0.6645,0.6963,0.1263,0.1059,0.1465,0.7865,0.33,0.1265,0.7865,0.3301,normal,False,0.24821449478983726,8541,zero_fraction_heuristic,
55maps-text-min-generalisation__verified-unverified,45,0.4352,0.4209,0.4497,0.3192,0.3057,0.333,0.6839,0.6677,0.6994,0.1263,0.1059,0.1465,0.7865,0.33,0.1265,0.7865,0.3301,normal,False,0.24879990633415291,8541,zero_fraction_heuristic,
55maps-text-min-generalisation__verified-unverified,50,0.4364,0.4221,0.4508,0.3201,0.3067,0.3339,0.6858,0.6695,0.7014,0.1263,0.1059,0.1465,0.7865,0.33,0.1265,0.7865,0.3301,normal,False,0.24879990633415291,8541,zero_fraction_heuristic,
55maps-text-min-generalisation__verified-unverified,75,0.4382,0.4238,0.4526,0.3213,0.308,0.3351,0.6886,0.6723,0.704,0.1263,0.1059,0.1465,0.7865,0.33,0.1265,0.7865,0.3301,normal,False,0.24879990633415291,8541,zero_fraction_heuristic,
55maps-text-min-generalisation__verified-unverified,100,0.439,0.4247,0.4534,0.3219,0.3085,0.3357,0.6898,0.6735,0.7052,0.1263,0.1059,0.1465,0.7865,0.33,0.1265,0.7865,0.3301,normal,False,0.24879990633415291,8541,zero_fraction_heuristic,
55maps-text-min-generalisation__verified-unverified,125,0.4398,0.4255,0.4542,0.3225,0.3091,0.3362,0.6911,0.6748,0.7064,0.1263,0.1059,0.1465,0.7865,0.33,0.1265,0.7865,0.3301,normal,False,0.24903407095187918,8541,zero_fraction_heuristic,
55maps-text-min-generalisation__verified-unverified,150,0.4405,0.4261,0.4548,0.323,0.3096,0.3367,0.6922,0.676,0.7074,0.1263,0.1059,0.1465,0.7865,0.33,0.1265,0.7865,0.3301,normal,False,0.2491511532607423,8541,zero_fraction_heuristic,
