R_m,TP,FP,FN,n_ref_student_only,n_reviewer_promoted_at_R,n_phantom_duplicates_dropped,n_ref_extended,precision,precision_CI_lo,precision_CI_hi,recall,recall_CI_lo,recall_CI_hi,F1,F1_CI_lo,F1_CI_hi,MCC,MCC_CI_lo,MCC_CI_hi,tile_TP,tile_TN,tile_FP,tile_FN,sensitivity,specificity
5,484,11792,4262,4746,0,0,4746,0.03942652329749104,0.03560050899460749,0.04339728194286187,0.10198061525495154,0.09281606587367687,0.11123126323492687,0.056867583127717065,0.05153650509997257,0.062341372023099854,0.058682810013878275,0.03802337425485277,0.07895461477722517,2964,857,4303,417,0.8766637089618456,0.16608527131782946
10,1502,10774,3244,4746,0,0,4746,0.1223525578364288,0.11478597485665676,0.13016181679143524,0.3164770332911926,0.3015094640849088,0.3315296847432565,0.17647749970626248,0.16660673402792264,0.18660896673423363,0.058682810013878275,0.03802337425485277,0.07895461477722517,2964,857,4303,417,0.8766637089618456,0.16608527131782946
15,2402,9874,2344,4746,0,0,4746,0.19566634082763115,0.18581716929659547,0.2059503371614153,0.506110408765276,0.4895614904618036,0.5230515525945533,0.2822230055222653,0.27017919427545223,0.2947369324702473,0.058682810013878275,0.03802337425485277,0.07895461477722517,2964,857,4303,417,0.8766637089618456,0.16608527131782946
20,3079,9197,1667,4746,0,0,4746,0.25081459758879115,0.23949092723965273,0.26252572559309556,0.6487568478718921,0.6326956140193192,0.6649574083368125,0.36176712489719187,0.3483566685777183,0.37545043475168,0.058682810013878275,0.03802337425485277,0.07895461477722517,2964,857,4303,417,0.8766637089618456,0.16608527131782946
25,3486,8790,1260,4746,0,0,4746,0.28396871945259045,0.2717150232090531,0.29628121497702603,0.7345132743362832,0.719550177440748,0.7493134526530868,0.40958759252731763,0.3955421805340673,0.42354299960979336,0.058682810013878275,0.03802337425485277,0.07895461477722517,2964,857,4303,417,0.8766637089618456,0.16608527131782946
30,3669,8607,1077,4746,0,0,4746,0.29887585532746824,0.2863228909256883,0.3114491260582692,0.7730720606826802,0.7588210576132777,0.7869612654562367,0.4310891787099049,0.41691685494179764,0.4450430852853427,0.058682810013878275,0.03802337425485277,0.07895461477722517,2964,857,4303,417,0.8766637089618456,0.16608527131782946
35,3754,8522,992,4746,0,0,4746,0.3057999348321929,0.29304007145300326,0.3184641699833057,0.7909818794774547,0.7771046309854832,0.8044106303841658,0.44107625425919395,0.4268577872501872,0.455345999687281,0.058682810013878275,0.03802337425485277,0.07895461477722517,2964,857,4303,417,0.8766637089618456,0.16608527131782946
40,3801,8475,945,4746,0,0,4746,0.30962854349951124,0.2969115197859034,0.32239344557550953,0.8008849557522124,0.7873494167311805,0.813948710787052,0.4465985195629186,0.43217457524052355,0.46076161464208737,0.058682810013878275,0.03802337425485277,0.07895461477722517,2964,857,4303,417,0.8766637089618456,0.16608527131782946
45,3821,8455,925,4746,0,0,4746,0.3112577386770935,0.2984321585372035,0.3241162429188932,0.8050990307627476,0.79180881994436,0.8181220766449885,0.44894841969216304,0.4346532077106429,0.4631168641024987,0.058682810013878275,0.03802337425485277,0.07895461477722517,2964,857,4303,417,0.8766637089618456,0.16608527131782946
50,4140,8136,1020,4746,414,1,5160,0.33724340175953077,0.3237703576824436,0.3504869176700044,0.8023255813953488,0.7893987868469006,0.8148292897267894,0.47487955953200267,0.46044843874154784,0.48894912166285975,0.055843416115217606,0.034702192347143876,0.076559610694188,3082,832,4185,442,0.8745743473325767,0.16583615706597568
75,4171,8105,1168,4746,593,1,5339,0.3397686542847833,0.32615926931653993,0.3531509756737514,0.7812324405319349,0.7680664341208182,0.7939142524505586,0.4735736588135112,0.45925581465252585,0.48743673248280894,0.05616124814608028,0.035009874582823196,0.076736374871744,3097,830,4170,444,0.8746116916125388,0.166
100,4192,8084,1238,4746,684,1,5430,0.3414793092212447,0.3279230014997302,0.3550075022179408,0.7720073664825046,0.7585878685223763,0.7848606503698853,0.4735118039082796,0.4592989506955193,0.48722657608219544,0.05646611770194082,0.03567768542973848,0.07699496334979485,3106,829,4161,445,0.8746831878344128,0.1661322645290581
125,4204,8072,1270,4746,728,1,5474,0.34245682632779406,0.32886062932594307,0.355975537268498,0.7679941541834125,0.7546051759164836,0.7809133072690758,0.47369014084507044,0.45960544958865257,0.4873895791223625,0.05628523038318297,0.03515714763629515,0.07680061337962273,3110,828,4157,446,0.874578177727784,0.16609829488465397
150,4218,8058,1290,4746,762,1,5508,0.34359726295210163,0.33003755483816494,0.3571075784753209,0.7657952069716776,0.7523454351842352,0.7786446470702386,0.4743589743589744,0.46026622597058664,0.48802552613109085,0.05628523038318297,0.03515714763629515,0.07680061337962273,3110,828,4157,446,0.874578177727784,0.16609829488465397
