label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-diag-384__verified-adv-text-4of5-unverified,5,0.2512,0.2117,0.2928,0.2192,0.182,0.2602,0.2943,0.25,0.3411,0.504,0.4278,0.5755,0.869,0.624,0.5041,0.869,0.6242,normal,False,0.3470225872689938,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-4of5-unverified,10,0.579,0.5315,0.6271,0.5051,0.4498,0.5596,0.6782,0.6277,0.7254,0.504,0.4278,0.5755,0.869,0.624,0.5041,0.869,0.6242,normal,False,0.35728952772073924,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-4of5-unverified,15,0.685,0.6354,0.7298,0.5976,0.536,0.6544,0.8023,0.7544,0.8452,0.504,0.4278,0.5755,0.869,0.624,0.5041,0.869,0.6242,normal,False,0.3655030800821355,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-4of5-unverified,20,0.7223,0.6746,0.7641,0.6301,0.5687,0.6859,0.846,0.8026,0.8837,0.504,0.4278,0.5755,0.869,0.624,0.5041,0.869,0.6242,normal,False,0.3675564681724846,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-4of5-unverified,25,0.7341,0.6872,0.775,0.6404,0.5781,0.6968,0.8598,0.8182,0.8948,0.504,0.4278,0.5755,0.869,0.624,0.5041,0.869,0.6242,normal,False,0.3675564681724846,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-4of5-unverified,30,0.7439,0.697,0.785,0.649,0.5871,0.7059,0.8713,0.829,0.9053,0.504,0.4278,0.5755,0.869,0.624,0.5041,0.869,0.6242,normal,False,0.3675564681724846,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-4of5-unverified,35,0.7439,0.697,0.785,0.649,0.5871,0.7059,0.8713,0.829,0.9053,0.504,0.4278,0.5755,0.869,0.624,0.5041,0.869,0.6242,normal,False,0.3675564681724846,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-4of5-unverified,40,0.7439,0.697,0.785,0.649,0.5871,0.7059,0.8713,0.829,0.9053,0.504,0.4278,0.5755,0.869,0.624,0.5041,0.869,0.6242,normal,False,0.3675564681724846,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-4of5-unverified,45,0.7439,0.697,0.785,0.649,0.5871,0.7059,0.8713,0.829,0.9053,0.504,0.4278,0.5755,0.869,0.624,0.5041,0.869,0.6242,normal,False,0.3675564681724846,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-4of5-unverified,50,0.7439,0.697,0.785,0.649,0.5871,0.7059,0.8713,0.829,0.9053,0.504,0.4278,0.5755,0.869,0.624,0.5041,0.869,0.6242,normal,False,0.3675564681724846,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-4of5-unverified,75,0.7458,0.6995,0.7872,0.6507,0.589,0.7073,0.8736,0.8314,0.9073,0.504,0.4278,0.5755,0.869,0.624,0.5041,0.869,0.6242,normal,False,0.3675564681724846,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-4of5-unverified,100,0.7478,0.7014,0.7889,0.6524,0.5904,0.7089,0.8759,0.8342,0.9097,0.504,0.4278,0.5755,0.869,0.624,0.5041,0.869,0.6242,normal,False,0.3675564681724846,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-4of5-unverified,125,0.7478,0.7014,0.7889,0.6524,0.5904,0.7089,0.8759,0.8342,0.9097,0.504,0.4278,0.5755,0.869,0.624,0.5041,0.869,0.6242,normal,False,0.3675564681724846,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-4of5-unverified,150,0.7478,0.7014,0.7889,0.6524,0.5904,0.7089,0.8759,0.8342,0.9097,0.504,0.4278,0.5755,0.869,0.624,0.5041,0.869,0.6242,normal,False,0.3675564681724846,487,zero_fraction_heuristic,
