label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
stride-55map-2026-08-25__g384-ov192-55map-n5-oracle-p0_20-k5-standardised-gt-unverified,5,0.076,0.0709,0.0819,0.0508,0.0473,0.055,0.1509,0.1413,0.1617,0.1472,0.1273,0.1665,0.8709,0.2486,0.1474,0.871,0.2486,normal,False,0.18159466104671584,8541,zero_fraction_heuristic,
stride-55map-2026-08-25__g384-ov192-55map-n5-oracle-p0_20-k5-standardised-gt-unverified,10,0.2006,0.1915,0.2101,0.1341,0.1272,0.1413,0.3984,0.3841,0.4135,0.1472,0.1273,0.1665,0.8709,0.2486,0.1474,0.871,0.2486,normal,False,0.18393630722397847,8541,zero_fraction_heuristic,
stride-55map-2026-08-25__g384-ov192-55map-n5-oracle-p0_20-k5-standardised-gt-unverified,15,0.3072,0.2959,0.3185,0.2053,0.1964,0.2144,0.61,0.5949,0.6253,0.1472,0.1273,0.1665,0.8709,0.2486,0.1474,0.871,0.2486,normal,False,0.18698044725441987,8541,zero_fraction_heuristic,
stride-55map-2026-08-25__g384-ov192-55map-n5-oracle-p0_20-k5-standardised-gt-unverified,20,0.3738,0.3618,0.3858,0.2498,0.2398,0.2598,0.7423,0.7288,0.7559,0.1472,0.1273,0.1665,0.8709,0.2486,0.1474,0.871,0.2486,normal,False,0.1887366818873668,8541,zero_fraction_heuristic,
stride-55map-2026-08-25__g384-ov192-55map-n5-oracle-p0_20-k5-standardised-gt-unverified,25,0.4116,0.3992,0.4239,0.275,0.2646,0.2857,0.8174,0.8051,0.8292,0.1472,0.1273,0.1665,0.8709,0.2486,0.1474,0.871,0.2486,normal,False,0.19002458728486127,8541,zero_fraction_heuristic,
stride-55map-2026-08-25__g384-ov192-55map-n5-oracle-p0_20-k5-standardised-gt-unverified,30,0.429,0.4165,0.4416,0.2867,0.2761,0.2975,0.8519,0.8407,0.8629,0.1472,0.1273,0.1665,0.8709,0.2486,0.1474,0.871,0.2486,normal,False,0.19084416344690316,8541,zero_fraction_heuristic,
stride-55map-2026-08-25__g384-ov192-55map-n5-oracle-p0_20-k5-standardised-gt-unverified,35,0.4353,0.4229,0.448,0.2909,0.2801,0.3018,0.8645,0.8536,0.8751,0.1472,0.1273,0.1665,0.8709,0.2486,0.1474,0.871,0.2486,normal,False,0.19107832806462943,8541,zero_fraction_heuristic,
stride-55map-2026-08-25__g384-ov192-55map-n5-oracle-p0_20-k5-standardised-gt-unverified,40,0.4404,0.4278,0.4531,0.2943,0.2834,0.3054,0.8747,0.8641,0.8848,0.1472,0.1273,0.1665,0.8709,0.2486,0.1474,0.871,0.2486,normal,False,0.1913124926823557,8541,zero_fraction_heuristic,
stride-55map-2026-08-25__g384-ov192-55map-n5-oracle-p0_20-k5-standardised-gt-unverified,45,0.4417,0.4291,0.4545,0.2952,0.2844,0.3063,0.8772,0.8669,0.8874,0.1472,0.1273,0.1665,0.8709,0.2486,0.1474,0.871,0.2486,normal,False,0.1913124926823557,8541,zero_fraction_heuristic,
stride-55map-2026-08-25__g384-ov192-55map-n5-oracle-p0_20-k5-standardised-gt-unverified,50,0.4424,0.4298,0.4552,0.2957,0.2848,0.3067,0.8786,0.8683,0.8887,0.1472,0.1273,0.1665,0.8709,0.2486,0.1474,0.871,0.2486,normal,False,0.1913124926823557,8541,zero_fraction_heuristic,
stride-55map-2026-08-25__g384-ov192-55map-n5-oracle-p0_20-k5-standardised-gt-unverified,75,0.4435,0.4309,0.4563,0.2964,0.2855,0.3075,0.8808,0.8707,0.8909,0.1472,0.1273,0.1665,0.8709,0.2486,0.1474,0.871,0.2486,normal,False,0.1913124926823557,8541,zero_fraction_heuristic,
stride-55map-2026-08-25__g384-ov192-55map-n5-oracle-p0_20-k5-standardised-gt-unverified,100,0.4444,0.4318,0.4572,0.297,0.2861,0.3081,0.8826,0.8724,0.8925,0.1472,0.1273,0.1665,0.8709,0.2486,0.1474,0.871,0.2486,normal,False,0.1913124926823557,8541,zero_fraction_heuristic,
stride-55map-2026-08-25__g384-ov192-55map-n5-oracle-p0_20-k5-standardised-gt-unverified,125,0.4448,0.4321,0.4575,0.2973,0.2864,0.3083,0.8834,0.8732,0.8933,0.1472,0.1273,0.1665,0.8709,0.2486,0.1474,0.871,0.2486,normal,False,0.1913124926823557,8541,zero_fraction_heuristic,
stride-55map-2026-08-25__g384-ov192-55map-n5-oracle-p0_20-k5-standardised-gt-unverified,150,0.4457,0.433,0.4583,0.2978,0.2869,0.3088,0.885,0.875,0.8948,0.1472,0.1273,0.1665,0.8709,0.2486,0.1474,0.871,0.2486,normal,False,0.1913124926823557,8541,zero_fraction_heuristic,
