label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper
flash-high-image-n5-t3-consensus-only,5,0.1637,0.1283,0.1996,0.1522,0.1185,0.1872,0.177,0.1382,0.2159
flash-high-image-n5-t3-consensus-only,10,0.4378,0.3918,0.4852,0.4071,0.3603,0.4556,0.4736,0.423,0.5244
flash-high-image-n5-t3-consensus-only,15,0.6291,0.5876,0.6733,0.585,0.5373,0.6335,0.6805,0.6333,0.7302
flash-high-image-n5-t3-consensus-only,20,0.7269,0.687,0.7646,0.6759,0.6284,0.7208,0.7862,0.7413,0.8311
flash-high-image-n5-t3-consensus-only,25,0.7673,0.7285,0.8017,0.7134,0.6633,0.7558,0.8299,0.7879,0.8728
flash-high-image-n5-t3-consensus-only,30,0.7991,0.7618,0.8293,0.7431,0.6931,0.7841,0.8644,0.8247,0.9031
flash-high-image-n5-t3-consensus-only,35,0.8119,0.7767,0.8421,0.7549,0.7045,0.7973,0.8782,0.8395,0.9143
flash-high-image-n5-t3-consensus-only,40,0.8183,0.7832,0.8485,0.7609,0.7112,0.8044,0.8851,0.8483,0.9196
flash-high-image-n5-t3-consensus-only,45,0.8225,0.7905,0.8519,0.7648,0.7149,0.8077,0.8897,0.8539,0.9231
flash-high-image-n5-t3-consensus-only,50,0.8268,0.7932,0.856,0.7688,0.7198,0.811,0.8943,0.8584,0.9287
