label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
pro-high-text-n10-t6-consensus-only,5,0.1591,0.1508,0.1664,0.1765,0.1674,0.1852,0.1448,0.1366,0.1514,0.7265,0.7131,0.7393,0.7292,0.9691,sparse_cross_grid,True,0.5687885010266941,487
pro-high-text-n10-t6-consensus-only,10,0.5556,0.5452,0.566,0.6162,0.6048,0.6264,0.5057,0.4945,0.5163,0.7265,0.7131,0.7393,0.7292,0.9691,sparse_cross_grid,True,0.5790554414784395,487
pro-high-text-n10-t6-consensus-only,15,0.7803,0.7706,0.7893,0.8655,0.8574,0.8742,0.7103,0.6979,0.7221,0.7265,0.7131,0.7393,0.7292,0.9691,sparse_cross_grid,True,0.5811088295687885,487
pro-high-text-n10-t6-consensus-only,20,0.8359,0.827,0.8434,0.9272,0.9196,0.9334,0.7609,0.7485,0.7718,0.7265,0.7131,0.7393,0.7292,0.9691,sparse_cross_grid,True,0.5811088295687885,487
pro-high-text-n10-t6-consensus-only,25,0.851,0.8422,0.8581,0.944,0.9372,0.9499,0.7747,0.7623,0.7852,0.7265,0.7131,0.7393,0.7292,0.9691,sparse_cross_grid,True,0.5811088295687885,487
pro-high-text-n10-t6-consensus-only,30,0.851,0.8422,0.8581,0.944,0.9372,0.9499,0.7747,0.7623,0.7852,0.7265,0.7131,0.7393,0.7292,0.9691,sparse_cross_grid,True,0.5811088295687885,487
pro-high-text-n10-t6-consensus-only,35,0.8535,0.8457,0.8611,0.9468,0.9404,0.9524,0.777,0.7645,0.7875,0.7265,0.7131,0.7393,0.7292,0.9691,sparse_cross_grid,True,0.5811088295687885,487
pro-high-text-n10-t6-consensus-only,40,0.8535,0.8457,0.8611,0.9468,0.9404,0.9524,0.777,0.7645,0.7875,0.7265,0.7131,0.7393,0.7292,0.9691,sparse_cross_grid,True,0.5811088295687885,487
pro-high-text-n10-t6-consensus-only,45,0.8535,0.8457,0.8611,0.9468,0.9404,0.9524,0.777,0.7645,0.7875,0.7265,0.7131,0.7393,0.7292,0.9691,sparse_cross_grid,True,0.5811088295687885,487
pro-high-text-n10-t6-consensus-only,50,0.8535,0.8457,0.8611,0.9468,0.9404,0.9524,0.777,0.7645,0.7875,0.7265,0.7131,0.7393,0.7292,0.9691,sparse_cross_grid,True,0.5811088295687885,487
