label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
session-78-image-adversarial-text-opt,5,0.1801,0.1709,0.1878,0.1858,0.1762,0.1935,0.1747,0.1661,0.1823,0.7934,0.783,0.8047,0.8297,0.9535,sparse_cross_grid,True,0.5338809034907598,487
session-78-image-adversarial-text-opt,10,0.4716,0.4601,0.4812,0.4866,0.475,0.496,0.4575,0.4456,0.468,0.7934,0.783,0.8047,0.8297,0.9535,sparse_cross_grid,True,0.5482546201232033,487
session-78-image-adversarial-text-opt,15,0.6682,0.6575,0.6783,0.6895,0.6792,0.7007,0.6483,0.6374,0.6598,0.7934,0.783,0.8047,0.8297,0.9535,sparse_cross_grid,True,0.5544147843942505,487
session-78-image-adversarial-text-opt,20,0.7725,0.7637,0.7825,0.7971,0.7877,0.8079,0.7494,0.7394,0.7608,0.7934,0.783,0.8047,0.8297,0.9535,sparse_cross_grid,True,0.5564681724845996,487
session-78-image-adversarial-text-opt,25,0.8128,0.8052,0.8211,0.8386,0.8309,0.8477,0.7885,0.7786,0.7998,0.7934,0.783,0.8047,0.8297,0.9535,sparse_cross_grid,True,0.5585215605749486,487
session-78-image-adversarial-text-opt,30,0.846,0.8384,0.8532,0.8729,0.8655,0.8813,0.8207,0.8109,0.8304,0.7934,0.783,0.8047,0.8297,0.9535,sparse_cross_grid,True,0.5585215605749486,487
session-78-image-adversarial-text-opt,35,0.8578,0.8504,0.8645,0.8851,0.878,0.893,0.8322,0.8232,0.8423,0.7934,0.783,0.8047,0.8297,0.9535,sparse_cross_grid,True,0.5585215605749486,487
session-78-image-adversarial-text-opt,40,0.8649,0.8576,0.8713,0.8924,0.8846,0.8997,0.8391,0.8309,0.849,0.7934,0.783,0.8047,0.8297,0.9535,sparse_cross_grid,True,0.5585215605749486,487
session-78-image-adversarial-text-opt,45,0.8673,0.8611,0.8733,0.8949,0.8873,0.9018,0.8414,0.8335,0.8512,0.7934,0.783,0.8047,0.8297,0.9535,sparse_cross_grid,True,0.5585215605749486,487
session-78-image-adversarial-text-opt,50,0.8697,0.8638,0.8759,0.8973,0.89,0.9042,0.8437,0.8357,0.8536,0.7934,0.783,0.8047,0.8297,0.9535,sparse_cross_grid,True,0.5585215605749486,487
