label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
session-78-image-adversarial-opt,5,0.1776,0.1693,0.1853,0.1782,0.1698,0.1858,0.177,0.1686,0.1847,0.8306,0.8212,0.8417,0.8515,0.969,sparse_cross_grid,True,0.5420944558521561,487
session-78-image-adversarial-opt,10,0.4752,0.4635,0.4848,0.4769,0.4652,0.4862,0.4736,0.4615,0.4838,0.8306,0.8212,0.8417,0.8515,0.969,sparse_cross_grid,True,0.5585215605749486,487
session-78-image-adversarial-opt,15,0.6828,0.6727,0.6923,0.6852,0.6744,0.6947,0.6805,0.6697,0.6914,0.8306,0.8212,0.8417,0.8515,0.969,sparse_cross_grid,True,0.5626283367556468,487
session-78-image-adversarial-opt,20,0.7866,0.7782,0.7961,0.7894,0.7797,0.7993,0.7839,0.7747,0.7957,0.8306,0.8212,0.8417,0.8515,0.969,sparse_cross_grid,True,0.5646817248459959,487
session-78-image-adversarial-opt,25,0.8304,0.8226,0.839,0.8333,0.8261,0.8424,0.8276,0.8186,0.8378,0.8306,0.8212,0.8417,0.8515,0.969,sparse_cross_grid,True,0.5667351129363449,487
session-78-image-adversarial-opt,30,0.8651,0.8585,0.8724,0.8681,0.8614,0.8762,0.8621,0.8529,0.8709,0.8306,0.8212,0.8417,0.8515,0.969,sparse_cross_grid,True,0.5667351129363449,487
session-78-image-adversarial-opt,35,0.8789,0.8725,0.8855,0.8819,0.875,0.8896,0.8759,0.8677,0.8839,0.8306,0.8212,0.8417,0.8515,0.969,sparse_cross_grid,True,0.5667351129363449,487
session-78-image-adversarial-opt,40,0.8858,0.8801,0.8926,0.8889,0.8818,0.8965,0.8828,0.8752,0.8903,0.8306,0.8212,0.8417,0.8515,0.969,sparse_cross_grid,True,0.5667351129363449,487
session-78-image-adversarial-opt,45,0.8904,0.8847,0.8964,0.8935,0.8866,0.9008,0.8874,0.8797,0.8948,0.8306,0.8212,0.8417,0.8515,0.969,sparse_cross_grid,True,0.5667351129363449,487
session-78-image-adversarial-opt,50,0.895,0.8894,0.9004,0.8981,0.891,0.9048,0.892,0.8844,0.8988,0.8306,0.8212,0.8417,0.8515,0.969,sparse_cross_grid,True,0.5667351129363449,487
