label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper
session-78-image-brief-opt,5,0.1766,0.1379,0.2161,0.1762,0.1376,0.2156,0.177,0.1376,0.2173
session-78-image-brief-opt,10,0.4725,0.4227,0.522,0.4714,0.4222,0.5208,0.4736,0.4202,0.5266
session-78-image-brief-opt,15,0.6812,0.6372,0.7254,0.6796,0.636,0.7241,0.6828,0.6322,0.7323
session-78-image-brief-opt,20,0.7844,0.7435,0.823,0.7826,0.741,0.8217,0.7862,0.7401,0.8309
session-78-image-brief-opt,25,0.828,0.7916,0.8619,0.8261,0.7886,0.8612,0.8299,0.7867,0.8711
session-78-image-brief-opt,30,0.8624,0.8292,0.8927,0.8604,0.8237,0.8929,0.8644,0.8241,0.9018
session-78-image-brief-opt,35,0.8761,0.8448,0.9044,0.8741,0.8386,0.9064,0.8782,0.84,0.9136
session-78-image-brief-opt,40,0.883,0.853,0.91,0.881,0.8458,0.9127,0.8851,0.8487,0.919
session-78-image-brief-opt,45,0.8876,0.8594,0.9133,0.8856,0.8518,0.9165,0.8897,0.8546,0.9223
session-78-image-brief-opt,50,0.8922,0.8646,0.9174,0.8902,0.8565,0.9205,0.8943,0.8598,0.9268
