label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
session-78-image-checklist-opt,5,0.1768,0.1396,0.2177,0.1766,0.1398,0.2182,0.177,0.1391,0.219,0.8172,0.7637,0.8635,0.8515,0.9574,0.817,0.8514,0.9573,sparse_cross_grid,False,0.5359342915811088,487,zero_fraction_heuristic,
session-78-image-checklist-opt,10,0.473,0.4238,0.5228,0.4725,0.4239,0.5228,0.4736,0.4193,0.5254,0.8172,0.7637,0.8635,0.8515,0.9574,0.817,0.8514,0.9573,sparse_cross_grid,False,0.5523613963039015,487,zero_fraction_heuristic,
session-78-image-checklist-opt,15,0.6797,0.6348,0.7227,0.6789,0.6347,0.7226,0.6805,0.6277,0.7289,0.8172,0.7637,0.8635,0.8515,0.9574,0.817,0.8514,0.9573,sparse_cross_grid,False,0.5564681724845996,487,zero_fraction_heuristic,
session-78-image-checklist-opt,20,0.783,0.7407,0.8196,0.7821,0.7391,0.8202,0.7839,0.7344,0.8258,0.8172,0.7637,0.8635,0.8515,0.9574,0.817,0.8514,0.9573,sparse_cross_grid,False,0.5585215605749486,487,zero_fraction_heuristic,
session-78-image-checklist-opt,25,0.8266,0.7892,0.8589,0.8257,0.7869,0.8597,0.8276,0.7817,0.8668,0.8172,0.7637,0.8635,0.8515,0.9574,0.817,0.8514,0.9573,sparse_cross_grid,False,0.5605749486652978,487,zero_fraction_heuristic,
session-78-image-checklist-opt,30,0.8611,0.827,0.8899,0.8601,0.8219,0.8916,0.8621,0.8181,0.8961,0.8172,0.7637,0.8635,0.8515,0.9574,0.817,0.8514,0.9573,sparse_cross_grid,False,0.5605749486652978,487,zero_fraction_heuristic,
session-78-image-checklist-opt,35,0.8749,0.841,0.9009,0.8739,0.8361,0.9043,0.8759,0.8326,0.9085,0.8172,0.7637,0.8635,0.8515,0.9574,0.817,0.8514,0.9573,sparse_cross_grid,False,0.5605749486652978,487,zero_fraction_heuristic,
session-78-image-checklist-opt,40,0.8817,0.8497,0.9073,0.8807,0.8433,0.9108,0.8828,0.8427,0.9139,0.8172,0.7637,0.8635,0.8515,0.9574,0.817,0.8514,0.9573,sparse_cross_grid,False,0.5605749486652978,487,zero_fraction_heuristic,
session-78-image-checklist-opt,45,0.8863,0.8568,0.9105,0.8853,0.8493,0.9143,0.8874,0.8484,0.9175,0.8172,0.7637,0.8635,0.8515,0.9574,0.817,0.8514,0.9573,sparse_cross_grid,False,0.5605749486652978,487,zero_fraction_heuristic,
session-78-image-checklist-opt,50,0.8909,0.8624,0.9147,0.8899,0.8544,0.919,0.892,0.8541,0.9218,0.8172,0.7637,0.8635,0.8515,0.9574,0.817,0.8514,0.9573,sparse_cross_grid,False,0.5605749486652978,487,zero_fraction_heuristic,
