label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper
session-78-text-adversarial-opt-final-v2,5,0.3077,0.2616,0.3553,0.3224,0.2732,0.3732,0.2943,0.25,0.3411
session-78-text-adversarial-opt-final-v2,10,0.7067,0.6631,0.75,0.7406,0.6953,0.7847,0.6759,0.6272,0.7237
session-78-text-adversarial-opt-final-v2,15,0.8365,0.7989,0.8712,0.8766,0.8392,0.9096,0.8,0.7539,0.844
session-78-text-adversarial-opt-final-v2,20,0.8822,0.8527,0.9095,0.9244,0.8961,0.9494,0.8437,0.8028,0.8835
session-78-text-adversarial-opt-final-v2,25,0.8966,0.8699,0.9212,0.9395,0.914,0.9621,0.8575,0.8188,0.8951
session-78-text-adversarial-opt-final-v2,30,0.9087,0.8833,0.9316,0.9521,0.9291,0.9724,0.869,0.8299,0.9056
session-78-text-adversarial-opt-final-v2,35,0.9087,0.8833,0.9316,0.9521,0.9291,0.9724,0.869,0.8299,0.9056
session-78-text-adversarial-opt-final-v2,40,0.9087,0.8833,0.9316,0.9521,0.9291,0.9724,0.869,0.8299,0.9056
session-78-text-adversarial-opt-final-v2,45,0.9087,0.8833,0.9316,0.9521,0.9291,0.9724,0.869,0.8299,0.9056
session-78-text-adversarial-opt-final-v2,50,0.9087,0.8833,0.9316,0.9521,0.9291,0.9724,0.869,0.8299,0.9056
