label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
session-78-text-brief-text-opt,5,0.2917,0.2464,0.3381,0.3123,0.2636,0.3629,0.2736,0.2304,0.3192,0.7582,0.6988,0.8107,0.7948,0.9496,0.7585,0.7949,0.9497,sparse_cross_grid,False,0.5400410677618069,487,zero_fraction_heuristic,
session-78-text-brief-text-opt,10,0.6716,0.6259,0.7133,0.7192,0.6717,0.7643,0.6299,0.5794,0.6769,0.7582,0.6988,0.8107,0.7948,0.9496,0.7585,0.7949,0.9497,sparse_cross_grid,False,0.5564681724845996,487,zero_fraction_heuristic,
session-78-text-brief-text-opt,15,0.8039,0.7641,0.8395,0.8609,0.8186,0.8942,0.754,0.7057,0.7984,0.7582,0.6988,0.8107,0.7948,0.9496,0.7585,0.7949,0.9497,sparse_cross_grid,False,0.5646817248459959,487,zero_fraction_heuristic,
session-78-text-brief-text-opt,20,0.8456,0.8104,0.8747,0.9055,0.8698,0.9327,0.7931,0.7465,0.8338,0.7582,0.6988,0.8107,0.7948,0.9496,0.7585,0.7949,0.9497,sparse_cross_grid,False,0.5667351129363449,487,zero_fraction_heuristic,
session-78-text-brief-text-opt,25,0.8578,0.8249,0.886,0.9186,0.8856,0.9441,0.8046,0.7589,0.8443,0.7582,0.6988,0.8107,0.7948,0.9496,0.7585,0.7949,0.9497,sparse_cross_grid,False,0.5667351129363449,487,zero_fraction_heuristic,
session-78-text-brief-text-opt,30,0.8701,0.8382,0.8969,0.9318,0.9002,0.9545,0.8161,0.7703,0.8545,0.7582,0.6988,0.8107,0.7948,0.9496,0.7585,0.7949,0.9497,sparse_cross_grid,False,0.5667351129363449,487,zero_fraction_heuristic,
session-78-text-brief-text-opt,35,0.8701,0.8382,0.8969,0.9318,0.9002,0.9545,0.8161,0.7703,0.8545,0.7582,0.6988,0.8107,0.7948,0.9496,0.7585,0.7949,0.9497,sparse_cross_grid,False,0.5667351129363449,487,zero_fraction_heuristic,
session-78-text-brief-text-opt,40,0.8701,0.8382,0.8969,0.9318,0.9002,0.9545,0.8161,0.7703,0.8545,0.7582,0.6988,0.8107,0.7948,0.9496,0.7585,0.7949,0.9497,sparse_cross_grid,False,0.5667351129363449,487,zero_fraction_heuristic,
session-78-text-brief-text-opt,45,0.8701,0.8382,0.8969,0.9318,0.9002,0.9545,0.8161,0.7703,0.8545,0.7582,0.6988,0.8107,0.7948,0.9496,0.7585,0.7949,0.9497,sparse_cross_grid,False,0.5667351129363449,487,zero_fraction_heuristic,
session-78-text-brief-text-opt,50,0.8701,0.8382,0.8969,0.9318,0.9002,0.9545,0.8161,0.7703,0.8545,0.7582,0.6988,0.8107,0.7948,0.9496,0.7585,0.7949,0.9497,sparse_cross_grid,False,0.5667351129363449,487,zero_fraction_heuristic,
