label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper
session-78-text-brief-opt,5,0.3048,0.2593,0.3517,0.316,0.2681,0.3661,0.2943,0.25,0.3411
session-78-text-brief-opt,10,0.7024,0.6583,0.7453,0.7284,0.6834,0.7728,0.6782,0.6291,0.7264
session-78-text-brief-opt,15,0.831,0.7926,0.8651,0.8617,0.824,0.8955,0.8023,0.7557,0.8464
session-78-text-brief-opt,20,0.8762,0.8455,0.9041,0.9086,0.8779,0.9357,0.846,0.805,0.886
session-78-text-brief-opt,25,0.8905,0.8629,0.9156,0.9235,0.8949,0.9487,0.8598,0.821,0.8975
session-78-text-brief-opt,30,0.9024,0.876,0.926,0.9358,0.9091,0.9588,0.8713,0.8326,0.908
session-78-text-brief-opt,35,0.9024,0.876,0.926,0.9358,0.9091,0.9588,0.8713,0.8326,0.908
session-78-text-brief-opt,40,0.9024,0.876,0.926,0.9358,0.9091,0.9588,0.8713,0.8326,0.908
session-78-text-brief-opt,45,0.9024,0.876,0.926,0.9358,0.9091,0.9588,0.8713,0.8326,0.908
session-78-text-brief-opt,50,0.9024,0.876,0.926,0.9358,0.9091,0.9588,0.8713,0.8326,0.908
