label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
session-78-text-checklist-text-opt,5,0.2969,0.2503,0.3452,0.3071,0.2586,0.3587,0.2874,0.2419,0.3358,0.7561,0.6957,0.8091,0.8079,0.938,0.756,0.8077,0.938,sparse_cross_grid,False,0.5338809034907598,487,zero_fraction_heuristic,
session-78-text-checklist-text-opt,10,0.6888,0.6434,0.7326,0.7125,0.6641,0.7593,0.6667,0.6167,0.7145,0.7561,0.6957,0.8091,0.8079,0.938,0.756,0.8077,0.938,sparse_cross_grid,False,0.5482546201232033,487,zero_fraction_heuristic,
session-78-text-checklist-text-opt,15,0.8147,0.775,0.8498,0.8428,0.799,0.8794,0.7885,0.7406,0.8315,0.7561,0.6957,0.8091,0.8079,0.938,0.756,0.8077,0.938,sparse_cross_grid,False,0.5564681724845996,487,zero_fraction_heuristic,
session-78-text-checklist-text-opt,20,0.8599,0.8277,0.8879,0.8894,0.8521,0.919,0.8322,0.7883,0.8706,0.7561,0.6957,0.8091,0.8079,0.938,0.756,0.8077,0.938,sparse_cross_grid,False,0.5585215605749486,487,zero_fraction_heuristic,
session-78-text-checklist-text-opt,25,0.8741,0.8443,0.9001,0.9042,0.8678,0.9325,0.846,0.8038,0.8824,0.7561,0.6957,0.8091,0.8079,0.938,0.756,0.8077,0.938,sparse_cross_grid,False,0.5585215605749486,487,zero_fraction_heuristic,
session-78-text-checklist-text-opt,30,0.886,0.8564,0.9106,0.9165,0.881,0.9424,0.8575,0.8144,0.8926,0.7561,0.6957,0.8091,0.8079,0.938,0.756,0.8077,0.938,sparse_cross_grid,False,0.5585215605749486,487,zero_fraction_heuristic,
session-78-text-checklist-text-opt,35,0.886,0.8564,0.9106,0.9165,0.881,0.9424,0.8575,0.8144,0.8926,0.7561,0.6957,0.8091,0.8079,0.938,0.756,0.8077,0.938,sparse_cross_grid,False,0.5585215605749486,487,zero_fraction_heuristic,
session-78-text-checklist-text-opt,40,0.886,0.8564,0.9106,0.9165,0.881,0.9424,0.8575,0.8144,0.8926,0.7561,0.6957,0.8091,0.8079,0.938,0.756,0.8077,0.938,sparse_cross_grid,False,0.5585215605749486,487,zero_fraction_heuristic,
session-78-text-checklist-text-opt,45,0.886,0.8564,0.9106,0.9165,0.881,0.9424,0.8575,0.8144,0.8926,0.7561,0.6957,0.8091,0.8079,0.938,0.756,0.8077,0.938,sparse_cross_grid,False,0.5585215605749486,487,zero_fraction_heuristic,
session-78-text-checklist-text-opt,50,0.886,0.8564,0.9106,0.9165,0.881,0.9424,0.8575,0.8144,0.8926,0.7561,0.6957,0.8091,0.8079,0.938,0.756,0.8077,0.938,sparse_cross_grid,False,0.5585215605749486,487,zero_fraction_heuristic,
