label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
session-78-text-checklist-opt,5,0.3055,0.2932,0.3147,0.3176,0.3044,0.3273,0.2943,0.2831,0.3036,0.7757,0.7642,0.7888,0.799,0.9612,sparse_cross_grid,True,0.5482546201232033,487
session-78-text-checklist-opt,10,0.7041,0.6946,0.7132,0.732,0.722,0.7412,0.6782,0.6675,0.6886,0.7757,0.7642,0.7888,0.799,0.9612,sparse_cross_grid,True,0.5646817248459959,487
session-78-text-checklist-opt,15,0.8329,0.8255,0.8423,0.866,0.8584,0.8736,0.8023,0.7923,0.8133,0.7757,0.7642,0.7888,0.799,0.9612,sparse_cross_grid,True,0.5728952772073922,487
session-78-text-checklist-opt,20,0.8783,0.872,0.8842,0.9132,0.9076,0.9194,0.846,0.8369,0.8557,0.7757,0.7642,0.7888,0.799,0.9612,sparse_cross_grid,True,0.5749486652977412,487
session-78-text-checklist-opt,25,0.8926,0.8873,0.8989,0.928,0.923,0.9342,0.8598,0.8515,0.8685,0.7757,0.7642,0.7888,0.799,0.9612,sparse_cross_grid,True,0.5749486652977412,487
session-78-text-checklist-opt,30,0.9045,0.8996,0.9104,0.9404,0.9358,0.946,0.8713,0.8631,0.8801,0.7757,0.7642,0.7888,0.799,0.9612,sparse_cross_grid,True,0.5749486652977412,487
session-78-text-checklist-opt,35,0.9045,0.8996,0.9104,0.9404,0.9358,0.946,0.8713,0.8631,0.8801,0.7757,0.7642,0.7888,0.799,0.9612,sparse_cross_grid,True,0.5749486652977412,487
session-78-text-checklist-opt,40,0.9045,0.8996,0.9104,0.9404,0.9358,0.946,0.8713,0.8631,0.8801,0.7757,0.7642,0.7888,0.799,0.9612,sparse_cross_grid,True,0.5749486652977412,487
session-78-text-checklist-opt,45,0.9045,0.8996,0.9104,0.9404,0.9358,0.946,0.8713,0.8631,0.8801,0.7757,0.7642,0.7888,0.799,0.9612,sparse_cross_grid,True,0.5749486652977412,487
session-78-text-checklist-opt,50,0.9045,0.8996,0.9104,0.9404,0.9358,0.946,0.8713,0.8631,0.8801,0.7757,0.7642,0.7888,0.799,0.9612,sparse_cross_grid,True,0.5749486652977412,487
