label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
verified-384-16of30-t0-3-n5-opmax,5,0.3333,0.3001,0.3619,0.3381,0.3042,0.3666,0.3287,0.2949,0.3592,0.7932,0.7569,0.8296,0.8242,0.9574,sparse_cross_grid,True,0.5462012320328542,487
verified-384-16of30-t0-3-n5-opmax,10,0.7203,0.6924,0.7512,0.7305,0.6973,0.7625,0.7103,0.6797,0.7443,0.7932,0.7569,0.8296,0.8242,0.9574,sparse_cross_grid,True,0.5626283367556468,487
verified-384-16of30-t0-3-n5-opmax,15,0.8625,0.8416,0.8864,0.8747,0.8509,0.898,0.8506,0.8253,0.8801,0.7932,0.7569,0.8296,0.8242,0.9574,sparse_cross_grid,True,0.5728952772073922,487
verified-384-16of30-t0-3-n5-opmax,20,0.8951,0.8787,0.9138,0.9078,0.8836,0.9255,0.8828,0.8605,0.9088,0.7932,0.7569,0.8296,0.8242,0.9574,sparse_cross_grid,True,0.5728952772073922,487
verified-384-16of30-t0-3-n5-opmax,25,0.9044,0.8894,0.9217,0.9173,0.8946,0.9354,0.892,0.8707,0.9156,0.7932,0.7569,0.8296,0.8242,0.9574,sparse_cross_grid,True,0.5749486652977412,487
verified-384-16of30-t0-3-n5-opmax,30,0.9161,0.9018,0.9327,0.9291,0.9093,0.9471,0.9034,0.8825,0.9258,0.7932,0.7569,0.8296,0.8242,0.9574,sparse_cross_grid,True,0.5749486652977412,487
verified-384-16of30-t0-3-n5-opmax,35,0.9161,0.9018,0.9327,0.9291,0.9093,0.9471,0.9034,0.8825,0.9258,0.7932,0.7569,0.8296,0.8242,0.9574,sparse_cross_grid,True,0.5749486652977412,487
verified-384-16of30-t0-3-n5-opmax,40,0.9161,0.9018,0.9327,0.9291,0.9093,0.9471,0.9034,0.8825,0.9258,0.7932,0.7569,0.8296,0.8242,0.9574,sparse_cross_grid,True,0.5749486652977412,487
verified-384-16of30-t0-3-n5-opmax,45,0.9161,0.9018,0.9327,0.9291,0.9093,0.9471,0.9034,0.8825,0.9258,0.7932,0.7569,0.8296,0.8242,0.9574,sparse_cross_grid,True,0.5749486652977412,487
verified-384-16of30-t0-3-n5-opmax,50,0.9161,0.9018,0.9327,0.9291,0.9093,0.9471,0.9034,0.8825,0.9258,0.7932,0.7569,0.8296,0.8242,0.9574,sparse_cross_grid,True,0.5749486652977412,487
verified-384-16of30-t0-3-n5-opmax,75,0.9184,0.9038,0.9345,0.9314,0.9126,0.9481,0.9057,0.8839,0.928,0.7932,0.7569,0.8296,0.8242,0.9574,sparse_cross_grid,True,0.5749486652977412,487
verified-384-16of30-t0-3-n5-opmax,100,0.9207,0.907,0.9373,0.9338,0.9144,0.9514,0.908,0.8862,0.9306,0.7932,0.7569,0.8296,0.8242,0.9574,sparse_cross_grid,True,0.5749486652977412,487
verified-384-16of30-t0-3-n5-opmax,125,0.9231,0.9097,0.94,0.9362,0.9169,0.952,0.9103,0.8879,0.9318,0.7932,0.7569,0.8296,0.8242,0.9574,sparse_cross_grid,True,0.5749486652977412,487
verified-384-16of30-t0-3-n5-opmax,150,0.9231,0.9097,0.94,0.9362,0.9169,0.952,0.9103,0.8879,0.9318,0.7932,0.7569,0.8296,0.8242,0.9574,sparse_cross_grid,True,0.5749486652977412,487
