label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
verified-adv-image-3of5,5,0.1797,0.1425,0.2207,0.1849,0.1472,0.2276,0.1747,0.1378,0.2159,0.8268,0.7745,0.8708,0.8472,0.969,0.8268,0.8472,0.969,sparse_cross_grid,False,0.5420944558521561,487,zero_fraction_heuristic,
verified-adv-image-3of5,10,0.4752,0.4252,0.5236,0.4891,0.4401,0.539,0.4621,0.4077,0.5133,0.8268,0.7745,0.8708,0.8472,0.969,0.8268,0.8472,0.969,sparse_cross_grid,False,0.5585215605749486,487,zero_fraction_heuristic,
verified-adv-image-3of5,15,0.6761,0.6289,0.7202,0.6959,0.6497,0.7407,0.6575,0.6023,0.708,0.8268,0.7745,0.8708,0.8472,0.969,0.8268,0.8472,0.969,sparse_cross_grid,False,0.5626283367556468,487,zero_fraction_heuristic,
verified-adv-image-3of5,20,0.7778,0.7338,0.8154,0.8005,0.7567,0.8379,0.7563,0.7031,0.8013,0.8268,0.7745,0.8708,0.8472,0.969,0.8268,0.8472,0.969,sparse_cross_grid,False,0.5646817248459959,487,zero_fraction_heuristic,
verified-adv-image-3of5,25,0.8156,0.775,0.8497,0.8394,0.7991,0.8729,0.7931,0.7423,0.8353,0.8268,0.7745,0.8708,0.8472,0.969,0.8268,0.8472,0.969,sparse_cross_grid,False,0.5667351129363449,487,zero_fraction_heuristic,
verified-adv-image-3of5,30,0.8511,0.814,0.8808,0.8759,0.8367,0.9067,0.8276,0.7792,0.8655,0.8268,0.7745,0.8708,0.8472,0.969,0.8268,0.8472,0.969,sparse_cross_grid,False,0.5667351129363449,487,zero_fraction_heuristic,
verified-adv-image-3of5,35,0.8652,0.8293,0.8926,0.8905,0.852,0.9203,0.8414,0.794,0.8777,0.8268,0.7745,0.8708,0.8472,0.969,0.8268,0.8472,0.969,sparse_cross_grid,False,0.5667351129363449,487,zero_fraction_heuristic,
verified-adv-image-3of5,40,0.8723,0.8386,0.8985,0.8978,0.8593,0.927,0.8483,0.8041,0.8838,0.8268,0.7745,0.8708,0.8472,0.969,0.8268,0.8472,0.969,sparse_cross_grid,False,0.5667351129363449,487,zero_fraction_heuristic,
verified-adv-image-3of5,45,0.8747,0.8434,0.9002,0.9002,0.8636,0.9284,0.8506,0.8068,0.8855,0.8268,0.7745,0.8708,0.8472,0.969,0.8268,0.8472,0.969,sparse_cross_grid,False,0.5667351129363449,487,zero_fraction_heuristic,
verified-adv-image-3of5,50,0.8771,0.8463,0.9025,0.9027,0.8659,0.9306,0.8529,0.8099,0.8881,0.8268,0.7745,0.8708,0.8472,0.969,0.8268,0.8472,0.969,sparse_cross_grid,False,0.5667351129363449,487,zero_fraction_heuristic,
verified-adv-image-3of5,75,0.8771,0.8463,0.9025,0.9027,0.8659,0.9306,0.8529,0.8099,0.8881,0.8268,0.7745,0.8708,0.8472,0.969,0.8268,0.8472,0.969,sparse_cross_grid,False,0.5667351129363449,487,zero_fraction_heuristic,
verified-adv-image-3of5,100,0.8771,0.8463,0.9025,0.9027,0.8659,0.9306,0.8529,0.8099,0.8881,0.8268,0.7745,0.8708,0.8472,0.969,0.8268,0.8472,0.969,sparse_cross_grid,False,0.5667351129363449,487,zero_fraction_heuristic,
verified-adv-image-3of5,125,0.8842,0.8553,0.908,0.91,0.8747,0.9374,0.8598,0.818,0.894,0.8268,0.7745,0.8708,0.8472,0.969,0.8268,0.8472,0.969,sparse_cross_grid,False,0.5667351129363449,487,zero_fraction_heuristic,
verified-adv-image-3of5,150,0.8842,0.8553,0.908,0.91,0.8747,0.9374,0.8598,0.818,0.894,0.8268,0.7745,0.8708,0.8472,0.969,0.8268,0.8472,0.969,sparse_cross_grid,False,0.5667351129363449,487,zero_fraction_heuristic,
