label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
verified-adv-image-min-3of5,5,0.2012,0.1745,0.2317,0.2048,0.1767,0.2375,0.1977,0.171,0.2258,0.8458,0.8135,0.8759,0.8683,0.9693,sparse_cross_grid,True,0.5441478439425051,487
verified-adv-image-min-3of5,10,0.517,0.4841,0.5552,0.5262,0.4908,0.5653,0.508,0.4739,0.5497,0.8458,0.8135,0.8759,0.8683,0.9693,sparse_cross_grid,True,0.5482546201232033,487
verified-adv-image-min-3of5,15,0.6713,0.6392,0.7041,0.6833,0.647,0.7151,0.6598,0.627,0.694,0.8458,0.8135,0.8759,0.8683,0.9693,sparse_cross_grid,True,0.5564681724845996,487
verified-adv-image-min-3of5,20,0.7673,0.7398,0.7927,0.781,0.7513,0.8094,0.754,0.723,0.7814,0.8458,0.8135,0.8759,0.8683,0.9693,sparse_cross_grid,True,0.5585215605749486,487
verified-adv-image-min-3of5,25,0.8234,0.7948,0.8433,0.8381,0.8062,0.8607,0.8092,0.7783,0.8362,0.8458,0.8135,0.8759,0.8683,0.9693,sparse_cross_grid,True,0.5585215605749486,487
verified-adv-image-min-3of5,30,0.8374,0.8107,0.8578,0.8524,0.8246,0.8759,0.823,0.794,0.8503,0.8458,0.8135,0.8759,0.8683,0.9693,sparse_cross_grid,True,0.5585215605749486,487
verified-adv-image-min-3of5,35,0.8515,0.8311,0.8711,0.8667,0.8424,0.8892,0.8368,0.8109,0.8609,0.8458,0.8135,0.8759,0.8683,0.9693,sparse_cross_grid,True,0.5585215605749486,487
verified-adv-image-min-3of5,40,0.8632,0.8436,0.8801,0.8786,0.8525,0.8995,0.8483,0.8248,0.8753,0.8458,0.8135,0.8759,0.8683,0.9693,sparse_cross_grid,True,0.5585215605749486,487
verified-adv-image-min-3of5,45,0.8725,0.8547,0.8903,0.8881,0.8631,0.9093,0.8575,0.8307,0.8794,0.8458,0.8135,0.8759,0.8683,0.9693,sparse_cross_grid,True,0.5605749486652978,487
verified-adv-image-min-3of5,50,0.8749,0.8553,0.8907,0.8905,0.8631,0.9102,0.8598,0.8333,0.882,0.8458,0.8135,0.8759,0.8683,0.9693,sparse_cross_grid,True,0.5605749486652978,487
verified-adv-image-min-3of5,75,0.8842,0.866,0.901,0.9,0.8762,0.9185,0.869,0.8417,0.8917,0.8458,0.8135,0.8759,0.8683,0.9693,sparse_cross_grid,True,0.5605749486652978,487
verified-adv-image-min-3of5,100,0.8842,0.866,0.901,0.9,0.8762,0.9185,0.869,0.8417,0.8917,0.8458,0.8135,0.8759,0.8683,0.9693,sparse_cross_grid,True,0.5605749486652978,487
verified-adv-image-min-3of5,125,0.8889,0.8712,0.9038,0.9048,0.8811,0.9245,0.8736,0.8467,0.8957,0.8458,0.8135,0.8759,0.8683,0.9693,sparse_cross_grid,True,0.5626283367556468,487
verified-adv-image-min-3of5,150,0.8889,0.8712,0.9038,0.9048,0.8811,0.9245,0.8736,0.8467,0.8957,0.8458,0.8135,0.8759,0.8683,0.9693,sparse_cross_grid,True,0.5626283367556468,487
