label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
verified-adv-pro-text-baseline-pro-vf,5,0.172,0.1457,0.1953,0.1791,0.1516,0.2026,0.1655,0.1408,0.1901,0.791,0.7528,0.8232,0.7774,0.9884,sparse_cross_grid,True,0.5605749486652978,487
verified-adv-pro-text-baseline-pro-vf,10,0.54,0.5043,0.581,0.5622,0.527,0.6027,0.5195,0.4785,0.5648,0.791,0.7528,0.8232,0.7774,0.9884,sparse_cross_grid,True,0.5687885010266941,487
verified-adv-pro-text-baseline-pro-vf,15,0.7264,0.6884,0.7597,0.7562,0.7216,0.7885,0.6989,0.6525,0.7433,0.791,0.7528,0.8232,0.7774,0.9884,sparse_cross_grid,True,0.5708418891170431,487
verified-adv-pro-text-baseline-pro-vf,20,0.7861,0.7518,0.818,0.8184,0.7895,0.8517,0.7563,0.7108,0.7987,0.791,0.7528,0.8232,0.7774,0.9884,sparse_cross_grid,True,0.5708418891170431,487
verified-adv-pro-text-baseline-pro-vf,25,0.8005,0.7697,0.8318,0.8333,0.8057,0.864,0.7701,0.7224,0.8092,0.791,0.7528,0.8232,0.7774,0.9884,sparse_cross_grid,True,0.5728952772073922,487
verified-adv-pro-text-baseline-pro-vf,30,0.8029,0.7711,0.8335,0.8358,0.8083,0.8673,0.7724,0.7241,0.8115,0.791,0.7528,0.8232,0.7774,0.9884,sparse_cross_grid,True,0.5728952772073922,487
verified-adv-pro-text-baseline-pro-vf,35,0.8124,0.7802,0.8396,0.8458,0.8202,0.8735,0.7816,0.7337,0.8205,0.791,0.7528,0.8232,0.7774,0.9884,sparse_cross_grid,True,0.5728952772073922,487
verified-adv-pro-text-baseline-pro-vf,40,0.8148,0.7835,0.8418,0.8483,0.8235,0.8748,0.7839,0.7361,0.8227,0.791,0.7528,0.8232,0.7774,0.9884,sparse_cross_grid,True,0.5728952772073922,487
verified-adv-pro-text-baseline-pro-vf,45,0.8172,0.7859,0.8437,0.8507,0.8251,0.876,0.7862,0.738,0.8255,0.791,0.7528,0.8232,0.7774,0.9884,sparse_cross_grid,True,0.5728952772073922,487
verified-adv-pro-text-baseline-pro-vf,50,0.822,0.7915,0.8497,0.8557,0.8306,0.8809,0.7908,0.7418,0.831,0.791,0.7528,0.8232,0.7774,0.9884,sparse_cross_grid,True,0.5749486652977412,487
verified-adv-pro-text-baseline-pro-vf,75,0.8268,0.796,0.8546,0.8607,0.8356,0.8853,0.7954,0.7454,0.8351,0.791,0.7528,0.8232,0.7774,0.9884,sparse_cross_grid,True,0.5749486652977412,487
verified-adv-pro-text-baseline-pro-vf,100,0.8268,0.796,0.8546,0.8607,0.8356,0.8853,0.7954,0.7454,0.8351,0.791,0.7528,0.8232,0.7774,0.9884,sparse_cross_grid,True,0.5749486652977412,487
verified-adv-pro-text-baseline-pro-vf,125,0.8268,0.796,0.8546,0.8607,0.8356,0.8853,0.7954,0.7454,0.8351,0.791,0.7528,0.8232,0.7774,0.9884,sparse_cross_grid,True,0.5749486652977412,487
verified-adv-pro-text-baseline-pro-vf,150,0.8268,0.796,0.8546,0.8607,0.8356,0.8853,0.7954,0.7454,0.8351,0.791,0.7528,0.8232,0.7774,0.9884,sparse_cross_grid,True,0.5749486652977412,487
