label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
verified-adv-text-4of5,5,0.3034,0.2588,0.3518,0.3213,0.2737,0.3727,0.2874,0.2441,0.3342,0.7693,0.7138,0.8204,0.786,0.9651,0.7694,0.786,0.9652,sparse_cross_grid,False,0.5523613963039015,487,zero_fraction_heuristic,
verified-adv-text-4of5,10,0.6917,0.6467,0.7342,0.7326,0.6862,0.7778,0.6552,0.6051,0.7025,0.7693,0.7138,0.8204,0.786,0.9651,0.7694,0.786,0.9652,sparse_cross_grid,False,0.5687885010266941,487,zero_fraction_heuristic,
verified-adv-text-4of5,15,0.8204,0.7812,0.8555,0.8689,0.8285,0.9024,0.777,0.7287,0.822,0.7693,0.7138,0.8204,0.786,0.9651,0.7694,0.786,0.9652,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
verified-adv-text-4of5,20,0.8641,0.832,0.893,0.9152,0.8823,0.9407,0.8184,0.7732,0.8592,0.7693,0.7138,0.8204,0.786,0.9651,0.7694,0.786,0.9652,sparse_cross_grid,False,0.5790554414784395,487,zero_fraction_heuristic,
verified-adv-text-4of5,25,0.8786,0.8486,0.9045,0.9306,0.8998,0.9533,0.8322,0.7881,0.8701,0.7693,0.7138,0.8204,0.786,0.9651,0.7694,0.786,0.9652,sparse_cross_grid,False,0.5790554414784395,487,zero_fraction_heuristic,
verified-adv-text-4of5,30,0.8908,0.8619,0.9147,0.9434,0.9148,0.964,0.8437,0.8,0.8807,0.7693,0.7138,0.8204,0.786,0.9651,0.7694,0.786,0.9652,sparse_cross_grid,False,0.5790554414784395,487,zero_fraction_heuristic,
verified-adv-text-4of5,35,0.8908,0.8619,0.9147,0.9434,0.9148,0.964,0.8437,0.8,0.8807,0.7693,0.7138,0.8204,0.786,0.9651,0.7694,0.786,0.9652,sparse_cross_grid,False,0.5790554414784395,487,zero_fraction_heuristic,
verified-adv-text-4of5,40,0.8908,0.8619,0.9147,0.9434,0.9148,0.964,0.8437,0.8,0.8807,0.7693,0.7138,0.8204,0.786,0.9651,0.7694,0.786,0.9652,sparse_cross_grid,False,0.5790554414784395,487,zero_fraction_heuristic,
verified-adv-text-4of5,45,0.8908,0.8619,0.9147,0.9434,0.9148,0.964,0.8437,0.8,0.8807,0.7693,0.7138,0.8204,0.786,0.9651,0.7694,0.786,0.9652,sparse_cross_grid,False,0.5790554414784395,487,zero_fraction_heuristic,
verified-adv-text-4of5,50,0.8908,0.8619,0.9147,0.9434,0.9148,0.964,0.8437,0.8,0.8807,0.7693,0.7138,0.8204,0.786,0.9651,0.7694,0.786,0.9652,sparse_cross_grid,False,0.5790554414784395,487,zero_fraction_heuristic,
verified-adv-text-4of5,75,0.8932,0.8644,0.9166,0.946,0.9174,0.9662,0.846,0.8019,0.8825,0.7693,0.7138,0.8204,0.786,0.9651,0.7694,0.786,0.9652,sparse_cross_grid,False,0.5790554414784395,487,zero_fraction_heuristic,
verified-adv-text-4of5,100,0.8956,0.8668,0.9184,0.9486,0.9205,0.9678,0.8483,0.8043,0.8845,0.7693,0.7138,0.8204,0.786,0.9651,0.7694,0.786,0.9652,sparse_cross_grid,False,0.5790554414784395,487,zero_fraction_heuristic,
verified-adv-text-4of5,125,0.8956,0.8668,0.9184,0.9486,0.9205,0.9678,0.8483,0.8043,0.8845,0.7693,0.7138,0.8204,0.786,0.9651,0.7694,0.786,0.9652,sparse_cross_grid,False,0.5790554414784395,487,zero_fraction_heuristic,
verified-adv-text-4of5,150,0.8956,0.8668,0.9184,0.9486,0.9205,0.9678,0.8483,0.8043,0.8845,0.7693,0.7138,0.8204,0.786,0.9651,0.7694,0.786,0.9652,sparse_cross_grid,False,0.5790554414784395,487,zero_fraction_heuristic,
