label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
verified-adv-text-6of10,5,0.3118,0.28,0.3406,0.3182,0.2812,0.347,0.3057,0.274,0.3345,0.7894,0.7531,0.8288,0.8198,0.9576,sparse_cross_grid,True,0.5462012320328542,487
verified-adv-text-6of10,10,0.7081,0.6791,0.738,0.7225,0.6892,0.751,0.6943,0.6644,0.7248,0.7894,0.7531,0.8288,0.8198,0.9576,sparse_cross_grid,True,0.5626283367556468,487
verified-adv-text-6of10,15,0.8417,0.8192,0.8632,0.8589,0.8321,0.8804,0.8253,0.8024,0.8561,0.7894,0.7531,0.8288,0.8198,0.9576,sparse_cross_grid,True,0.5708418891170431,487
verified-adv-text-6of10,20,0.8769,0.8584,0.8943,0.8947,0.8649,0.9104,0.8598,0.8365,0.8821,0.7894,0.7531,0.8288,0.8198,0.9576,sparse_cross_grid,True,0.5708418891170431,487
verified-adv-text-6of10,25,0.8863,0.8685,0.9019,0.9043,0.8795,0.9206,0.869,0.8471,0.8931,0.7894,0.7531,0.8288,0.8198,0.9576,sparse_cross_grid,True,0.5708418891170431,487
verified-adv-text-6of10,30,0.898,0.882,0.9132,0.9163,0.8916,0.9313,0.8805,0.8565,0.9013,0.7894,0.7531,0.8288,0.8198,0.9576,sparse_cross_grid,True,0.5708418891170431,487
verified-adv-text-6of10,35,0.898,0.882,0.9132,0.9163,0.8916,0.9313,0.8805,0.8565,0.9013,0.7894,0.7531,0.8288,0.8198,0.9576,sparse_cross_grid,True,0.5708418891170431,487
verified-adv-text-6of10,40,0.9004,0.8847,0.9149,0.9187,0.8942,0.9343,0.8828,0.8593,0.904,0.7894,0.7531,0.8288,0.8198,0.9576,sparse_cross_grid,True,0.5708418891170431,487
verified-adv-text-6of10,45,0.9004,0.8847,0.9149,0.9187,0.8942,0.9343,0.8828,0.8593,0.904,0.7894,0.7531,0.8288,0.8198,0.9576,sparse_cross_grid,True,0.5708418891170431,487
verified-adv-text-6of10,50,0.9004,0.8847,0.9149,0.9187,0.8942,0.9343,0.8828,0.8593,0.904,0.7894,0.7531,0.8288,0.8198,0.9576,sparse_cross_grid,True,0.5708418891170431,487
verified-adv-text-6of10,75,0.9027,0.8873,0.9172,0.9211,0.8963,0.9358,0.8851,0.8613,0.9059,0.7894,0.7531,0.8288,0.8198,0.9576,sparse_cross_grid,True,0.5708418891170431,487
verified-adv-text-6of10,100,0.905,0.8887,0.9187,0.9234,0.8994,0.9379,0.8874,0.8631,0.9086,0.7894,0.7531,0.8288,0.8198,0.9576,sparse_cross_grid,True,0.5708418891170431,487
verified-adv-text-6of10,125,0.905,0.8887,0.9187,0.9234,0.8994,0.9379,0.8874,0.8631,0.9086,0.7894,0.7531,0.8288,0.8198,0.9576,sparse_cross_grid,True,0.5708418891170431,487
verified-adv-text-6of10,150,0.905,0.8887,0.9187,0.9234,0.8994,0.9379,0.8874,0.8631,0.9086,0.7894,0.7531,0.8288,0.8198,0.9576,sparse_cross_grid,True,0.5708418891170431,487
