label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
verified-adv-text-baseline-medium-vf,5,0.4267,0.3901,0.4637,0.4129,0.3774,0.4501,0.4414,0.4011,0.4797,0.8363,0.8077,0.8725,0.8685,0.9607,sparse_cross_grid,True,0.5400410677618069,487
verified-adv-text-baseline-medium-vf,10,0.7044,0.6729,0.736,0.6817,0.6482,0.7144,0.7287,0.6953,0.763,0.8363,0.8077,0.8725,0.8685,0.9607,sparse_cross_grid,True,0.5503080082135524,487
verified-adv-text-baseline-medium-vf,15,0.7911,0.7628,0.8158,0.7656,0.7338,0.7989,0.8184,0.7862,0.843,0.8363,0.8077,0.8725,0.8685,0.9607,sparse_cross_grid,True,0.5523613963039015,487
verified-adv-text-baseline-medium-vf,20,0.8244,0.8001,0.8465,0.7978,0.7671,0.8275,0.8529,0.8262,0.8761,0.8363,0.8077,0.8725,0.8685,0.9607,sparse_cross_grid,True,0.5544147843942505,487
verified-adv-text-baseline-medium-vf,25,0.8356,0.8124,0.8552,0.8086,0.779,0.8373,0.8644,0.8394,0.8875,0.8363,0.8077,0.8725,0.8685,0.9607,sparse_cross_grid,True,0.5544147843942505,487
verified-adv-text-baseline-medium-vf,30,0.84,0.8176,0.8591,0.8129,0.7829,0.8419,0.869,0.844,0.8904,0.8363,0.8077,0.8725,0.8685,0.9607,sparse_cross_grid,True,0.5544147843942505,487
verified-adv-text-baseline-medium-vf,35,0.8444,0.8223,0.8636,0.8172,0.7876,0.8435,0.8736,0.8492,0.8956,0.8363,0.8077,0.8725,0.8685,0.9607,sparse_cross_grid,True,0.5544147843942505,487
verified-adv-text-baseline-medium-vf,40,0.8489,0.8264,0.8684,0.8215,0.7925,0.8486,0.8782,0.8527,0.9005,0.8363,0.8077,0.8725,0.8685,0.9607,sparse_cross_grid,True,0.5544147843942505,487
verified-adv-text-baseline-medium-vf,45,0.8489,0.8264,0.8684,0.8215,0.7925,0.8486,0.8782,0.8527,0.9005,0.8363,0.8077,0.8725,0.8685,0.9607,sparse_cross_grid,True,0.5544147843942505,487
verified-adv-text-baseline-medium-vf,50,0.8489,0.8264,0.8684,0.8215,0.7925,0.8486,0.8782,0.8527,0.9005,0.8363,0.8077,0.8725,0.8685,0.9607,sparse_cross_grid,True,0.5544147843942505,487
verified-adv-text-baseline-medium-vf,75,0.8511,0.8292,0.8694,0.8237,0.7946,0.8514,0.8805,0.8553,0.9016,0.8363,0.8077,0.8725,0.8685,0.9607,sparse_cross_grid,True,0.5544147843942505,487
verified-adv-text-baseline-medium-vf,100,0.8533,0.8323,0.8718,0.8258,0.7972,0.8529,0.8828,0.8566,0.9047,0.8363,0.8077,0.8725,0.8685,0.9607,sparse_cross_grid,True,0.5544147843942505,487
verified-adv-text-baseline-medium-vf,125,0.8556,0.8346,0.8741,0.828,0.7988,0.8548,0.8851,0.8599,0.9072,0.8363,0.8077,0.8725,0.8685,0.9607,sparse_cross_grid,True,0.5544147843942505,487
verified-adv-text-baseline-medium-vf,150,0.8556,0.8346,0.8741,0.828,0.7988,0.8548,0.8851,0.8599,0.9072,0.8363,0.8077,0.8725,0.8685,0.9607,sparse_cross_grid,True,0.5544147843942505,487
